De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID3 (44.34%) & Signature ID8 (55.66%), 74.47,  56.24, 0.518, 0.83, 0.80
Signature 83-B, Signature 83-B, 0, 0, 0, 1, 1
