Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	15	0.802	16.198	107.987%	3.686	60.597%	1.05727	0.785
TCGA_38_4626_01A	11	0.775	11.274	102.491%	2.763	63.388%	0.81095	0.754
TCGA_38_4627_01A	3	0.152	5.688	189.6%	2.27	101.517%	3.08419	0.104
TCGA_38_4631_01A	34	0.863	28.439	83.644%	7.575	53.563%	0.5519	0.855
TCGA_38_7271_01A	4	0.629	5.296	132.4%	1.945	79.404%	1.27641	0.617
TCGA_44_2655_01A	10	0.431	13.629	136.29%	3.598	96.161%	1.56931	0.36
TCGA_44_2657_01A	9	0.735	11.163	124.033%	3.906	72.533%	1.16675	0.733
TCGA_44_2659_01A	28	0.588	29.291	104.611%	7.732	86.446%	0.82975	0.526
TCGA_44_3396_01A	11	0.435	15.888	144.436%	4.116	94.428%	1.6599	0.371
TCGA_44_3917_01A	4	0.736	5.686	142.15%	2.447	77.381%	1.26451	0.747
TCGA_44_3918_01A	38	0.799	33.329	87.708%	9.154	60.624%	0.63307	0.781
TCGA_44_4112_01A	21	0.819	16.18	77.048%	3.749	58.55%	0.60212	0.79
TCGA_44_5644_01A	41	0.858	29.646	72.307%	7.023	51.357%	0.43341	0.839
TCGA_44_6145_01A	11	0.761	13.557	123.245%	4.074	68.863%	1.08118	0.755
TCGA_44_6147_01A	7	0.558	9.6	137.143%	2.756	83.097%	1.5301	0.522
TCGA_44_6774_01A	10	0.728	11.795	117.95%	3.264	69.589%	1.09843	0.711
TCGA_44_6775_01A	4	0.325	6.517	162.925%	1.954	97.7%	2.50908	0.267
TCGA_44_6776_01A	13	0.791	12.245	94.192%	2.937	61.241%	0.99402	0.767
TCGA_44_6779_01A	5	0.583	6.616	132.32%	2.153	81.376%	1.50895	0.557
TCGA_44_7661_01A	11	0.759	13.181	119.827%	3.63	67.407%	0.99081	0.748
TCGA_44_7667_01A	19	0.747	19.232	101.221%	4.843	66.524%	0.88162	0.72
TCGA_44_7670_01A	46	0.755	41.034	89.204%	11.14	65.643%	0.66379	0.726
TCGA_44_7672_01A	15	0.673	16.12	107.467%	3.92	75.44%	0.90641	0.63
TCGA_44_8117_01A	23	0.779	23.587	102.552%	6.5	64.046%	0.84579	0.765
TCGA_44_A47G_01A	17	0.573	20.482	120.482%	5.378	83.99%	1.09379	0.522
TCGA_44_A4SU_01A	5	0.623	7.856	157.12%	2.672	80.564%	2.33409	0.614
TCGA_49_4487_01A	24	0.648	22.311	92.962%	6.969	76.96%	0.9389	0.607
TCGA_49_4488_01A	16	0.714	15.968	99.8%	5.083	70.489%	0.83322	0.693
TCGA_49_4490_01A	4	0.267	6.783	169.575%	2.021	101.05%	2.30745	0.202
TCGA_49_4505_01A	11	0.555	13.505	122.773%	3.369	86.987%	1.18417	0.496
TCGA_49_4506_01A	9	0.659	9.856	109.511%	2.332	77.733%	1.13462	0.611
TCGA_49_4507_01A	8	0.554	10.587	132.338%	2.907	83.918%	1.34845	0.511
TCGA_49_6744_01A	9	0.602	10.952	121.689%	2.905	80.57%	1.71278	0.56
TCGA_49_6761_01A	5	0.232	8.698	173.96%	2.699	102.013%	2.14594	0.169
TCGA_49_6767_01A	17	0.794	15.27	89.824%	3.999	60.984%	0.70538	0.774
TCGA_50_5051_01A	9	0.516	12.294	136.6%	3.169	87.892%	1.56646	0.462
TCGA_50_5941_01A	26	0.669	25.049	96.342%	6.605	76.782%	0.94715	0.622
TCGA_50_5942_01A	5	0.57	6.147	122.94%	2.176	82.245%	1.63989	0.543
TCGA_50_6590_01A	33	0.708	28.574	86.588%	7.989	72.034%	0.74492	0.667
TCGA_50_6592_01A	15	0.631	16.744	111.627%	4.269	79.273%	1.05846	0.584
