MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	6.634240698986105e-06	3.455931815921076e-07	5.472942926871838e-06	8.520763296928635e-06	2.3615623442907463e-06	1.4262757522374159e-05
1:Del:C:1	0.5884409210085869	0.005008276778779361	0.13450085348904922	0.056741472338098904	0.006148635968575036	0.04348094779647298
1:Del:C:2	0.06750685668613186	0.006855515043397418	0.35439282599836586	0.021813871767359955	0.04849772240845596	0.010422893946434017
1:Del:C:3	0.021322714909804006	1.5347065154269756e-08	0.096426376016409	0.07750721509365292	0.03565552304353559	0.019000973415515147
1:Del:C:4	0.017766948783935275	0.00158056915434571	0.027369615177871936	0.051381416012741286	0.1430731813186685	0.02598995777363598
1:Del:C:5	0.004277498361300304	1.3201995537670542e-07	0.012312106808515466	0.014586135468896089	0.13978132664168924	0.0002457014781258238
1:Del:T:0	6.634240698986105e-06	3.455931815921076e-07	5.472942926871838e-06	8.520763296928635e-06	2.3615623442907463e-06	1.4262757522374159e-05
1:Del:T:1	0.022601968115628212	0.008500376983028558	0.024506556733754223	0.15852588618178742	0.017238731582015134	0.09321769282348669
1:Del:T:2	0.01195675227164017	2.0047927505180725e-08	0.014280458247230286	0.04079754757296143	0.0018915997544394257	0.02623183528899858
1:Del:T:3	0.005059147957965049	7.868037311453691e-08	0.011833273159573707	0.021574056611211746	0.0414542475510143	0.010893440766433855
1:Del:T:4	0.010888809545793165	0.0007114663639272222	0.009081208722842371	0.015331890593112013	0.013655740861497456	0.014862606337338206
1:Del:T:5	0.0003528178395420767	0.0017550211547739164	0.0017615286273371567	0.0014719591632452022	0.0982802018460825	0.00043121260252974023
1:Ins:C:0	0.0013046940318332644	0.027385470643639564	0.008425680050114544	0.013877869152070623	0.00031583001013959946	0.007645702234923561
1:Ins:C:1	0.007341871547866212	0.005437202521018865	0.006870025689670882	0.01163520360681673	0.005051941917560434	0.009227354373731424
1:Ins:C:2	0.008671798926632163	0.00011680469698286178	0.010442502447874737	0.009168638901395383	0.009206788400389314	0.0036314311276537804
1:Ins:C:3	0.0048286008330603635	6.342601717612695e-08	0.012683802932779145	0.011634242420650481	0.002404032779809029	0.00750000444358875
1:Ins:C:4	0.006096195854706395	0.0025394651956518644	0.003971324083869021	0.006243957198057082	0.024685420943401367	0.0019145356300427352
1:Ins:C:5	0.002380138597808923	0.00010765427377464221	0.006158737031992148	0.015027880104529743	0.07721767352950337	0.004604235565821568
1:Ins:T:0	0.026431868691713732	0.03949296260252595	0.020204717282358047	0.04264788412605327	0.0065399311676307545	0.012386327033943587
1:Ins:T:1	0.053681521851488015	0.014559194682041152	0.08718668852017344	0.05601316764731457	0.008179744644370057	0.008744634690240219
1:Ins:T:2	0.02792480384047934	0.005191987250172332	0.04012143117528495	0.04351131518941088	0.020743223809517986	0.019084027368605233
1:Ins:T:3	0.009361859238836168	0.0026962356992515256	0.010728141854559397	0.007347283463440641	0.008717932423763237	0.0005985122120682717
1:Ins:T:4	0.00469878112606807	0.00021981443661723833	0.003482980738428978	0.00888014880177181	0.012332759812006771	0.007037872935730434
1:Ins:T:5	0.00023169378290930354	1.2264672234252315e-07	0.0023220743130086376	0.008668491757095751	0.11769220173024224	0.0026046600821604217
2:Del:R:0	0.00181784194690934	0.005928317441441777	0.005223317850237841	0.02345483141007776	0.0388312467428841	0.013016246063185122
2:Del:R:1	0.005535641272209588	7.636272130184807e-08	0.00199663513810961	0.006707559818085542	0.014103705946538411	0.00971591248222012
