MutationType	ID3
1:Del:C:0	0.12472711
1:Del:C:1	0.20887617
1:Del:C:2	0.17632422
1:Del:C:3	0.06404276
1:Del:C:4	0.04398981
1:Del:C:5	0.02241749
1:Del:T:0	0.03759923
1:Del:T:1	0.01330982
1:Del:T:2	0.01650185
1:Del:T:3	0.02014148
1:Del:T:4	0.01581436
1:Del:T:5	0.00806631
1:Ins:C:0	0.00208309
1:Ins:C:1	0.00157889
1:Ins:C:2	0.00174795
1:Ins:C:3	0.00617765
1:Ins:C:4	0.00710445
1:Ins:C:5	0.00735110
1:Ins:T:0	0.01872237
1:Ins:T:1	0.04311903
1:Ins:T:2	0.04015704
1:Ins:T:3	0.02512543
1:Ins:T:4	0.00656331
1:Ins:T:5	0.02618124
2:Del:R:0	0.00689755
2:Del:R:1	0.00847465
2:Del:R:2	0.01180064
2:Del:R:3	0.00667113
2:Del:R:4	0.00282253
2:Del:R:5	0.00010124
3:Del:R:0	0.00058912
3:Del:R:1	0.00037239
3:Del:R:2	0.00009630
3:Del:R:3	0.00002450
3:Del:R:4	0.00000382
3:Del:R:5	0.00000038
4:Del:R:0	0.00017765
4:Del:R:1	0.00063457
4:Del:R:2	0.00011680
4:Del:R:3	0.00000000
4:Del:R:4	0.00000000
4:Del:R:5	0.00000283
5:Del:R:0	0.00177679
5:Del:R:1	0.00007410
5:Del:R:2	0.00000278
5:Del:R:3	0.00000000
5:Del:R:4	0.00004370
5:Del:R:5	0.00000382
2:Ins:R:0	0.00263595
2:Ins:R:1	0.00224268
2:Ins:R:2	0.00095560
2:Ins:R:3	0.00089724
2:Ins:R:4	0.00025309
2:Ins:R:5	0.00000667
3:Ins:R:0	0.00009600
3:Ins:R:1	0.00028614
3:Ins:R:2	0.00009750
3:Ins:R:3	0.00001360
3:Ins:R:4	0.00000156
3:Ins:R:5	0.00000000
4:Ins:R:0	0.00000000
4:Ins:R:1	0.00017598
4:Ins:R:2	0.00002740
4:Ins:R:3	0.00004770
4:Ins:R:4	0.00000418
4:Ins:R:5	0.00003290
5:Ins:R:0	0.00008830
5:Ins:R:1	0.00065622
5:Ins:R:2	0.00000551
5:Ins:R:3	0.00003320
5:Ins:R:4	0.00000787
5:Ins:R:5	0.00000348
2:Del:M:1	0.00693076
3:Del:M:1	0.00034461
3:Del:M:2	0.00030285
4:Del:M:1	0.00007350
4:Del:M:2	0.00034022
4:Del:M:3	0.00013046
5:Del:M:1	0.00136963
5:Del:M:2	0.00175127
5:Del:M:3	0.00077496
5:Del:M:4	0.00064056
5:Del:M:5	0.00036297
