Samples	DBS78A	DBS78B	DBS78C
TCGA_38_4628_01A	1.41E-02	0.00E+00	1.41E-02
TCGA_49_AAQV_01A	4.51E-02	5.02E-02	4.29E-02
TCGA_50_6591_01A	6.17E-02	9.89E-02	9.44E-02
TCGA_62_8394_01A	1.41E-02	0.00E+00	1.41E-02
TCGA_62_8397_01A	3.38E-02	1.00E-02	3.49E-02
TCGA_86_7953_01A	1.41E-02	0.00E+00	1.41E-02
TCGA_86_8278_01A	1.41E-02	0.00E+00	1.41E-02
TCGA_86_8280_01A	4.09E-02	4.98E-02	4.16E-02
TCGA_97_8552_01A	4.35E-02	5.02E-02	4.23E-02
TCGA_99_8033_01A	1.45E-01	5.62E-02	1.52E-01
