De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID3 (100.00%), 56.31,  50.31, 0.572, 0.86, 0.85
Signature 83-B, Signature 83-B, 0, 0, 0, 1, 1
