Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	672	0.975	166.375	24.758%	26.359	22.257%	0.07298	0.962
TCGA_38_4626_01A	269	0.932	118.123	43.912%	17.064	36.439%	0.22016	0.896
TCGA_38_4627_01A	28	0.684	31.699	113.211%	5.379	73.199%	1.05039	0.612
TCGA_38_4631_01A	849	0.983	170.648	20.1%	24.26	18.157%	0.05149	0.971
TCGA_38_7271_01A	64	0.876	47.225	73.789%	6.957	48.709%	0.5279	0.843
TCGA_44_2655_01A	182	0.931	84.509	46.434%	12.256	36.622%	0.25024	0.9
TCGA_44_2657_01A	465	0.971	130.363	28.035%	18.464	24.309%	0.09462	0.952
TCGA_44_2659_01A	463	0.973	137.103	29.612%	18.041	23.041%	0.11651	0.957
TCGA_44_3396_01A	219	0.939	96.451	44.042%	14.831	34.491%	0.21519	0.916
TCGA_44_3917_01A	254	0.908	118.897	46.81%	17.353	42.362%	0.22985	0.845
TCGA_44_3918_01A	1087	0.988	198.665	18.276%	28.79	15.407%	0.04306	0.982
TCGA_44_4112_01A	508	0.966	151.35	29.793%	20.865	25.73%	0.0936	0.942
TCGA_44_5644_01A	1044	0.985	209.214	20.04%	27.865	17.448%	0.04973	0.973
TCGA_44_6145_01A	346	0.944	138.961	40.162%	20.947	33.029%	0.16779	0.918
TCGA_44_6147_01A	130	0.896	72.266	55.589%	10.141	44.471%	0.37346	0.839
TCGA_44_6774_01A	326	0.952	111.402	34.172%	16.861	30.551%	0.1314	0.924
TCGA_44_6775_01A	72	0.754	57.841	80.335%	7.775	65.711%	0.56605	0.549
TCGA_44_6776_01A	215	0.925	96.011	44.656%	14.04	38.085%	0.19147	0.881
TCGA_44_6779_01A	107	0.853	75.58	70.636%	9.975	52.5%	0.45943	0.773
TCGA_44_7661_01A	289	0.934	107.295	37.126%	15.681	35.666%	0.14997	0.877
TCGA_44_7667_01A	539	0.968	140.842	26.13%	20.028	25.299%	0.09292	0.937
TCGA_44_7670_01A	1231	0.984	245.639	19.954%	35.599	17.819%	0.04116	0.974
TCGA_44_7672_01A	188	0.922	83.894	44.624%	11.599	38.88%	0.23839	0.864
TCGA_44_8117_01A	867	0.991	140.838	16.244%	19.13	13.484%	0.03642	0.985
TCGA_44_A47G_01A	84	0.844	56.32	67.048%	7.318	53.658%	0.46702	0.724
TCGA_44_A4SU_01A	171	0.898	79.007	46.203%	11.75	44.19%	0.27069	0.816
TCGA_49_4487_01A	388	0.962	120.91	31.162%	16.069	27.493%	0.12423	0.929
TCGA_49_4488_01A	316	0.967	94.52	29.911%	13.281	25.626%	0.12209	0.945
TCGA_49_4490_01A	54	0.842	43.071	79.761%	6.24	53.905%	0.63234	0.79
TCGA_49_4505_01A	245	0.943	99.481	40.604%	13.108	33.413%	0.19444	0.903
TCGA_49_4506_01A	121	0.828	76.764	63.441%	11.076	56.302%	0.40879	0.696
TCGA_49_4507_01A	230	0.925	101.884	44.297%	13.498	37.936%	0.21974	0.863
TCGA_49_6744_01A	240	0.954	90.228	37.595%	11.895	30.233%	0.17732	0.924
TCGA_49_6761_01A	205	0.934	98.95	48.268%	14.436	36.585%	0.23985	0.911
TCGA_49_6767_01A	536	0.974	137.601	25.672%	18.674	22.807%	0.09244	0.952
