MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
4:Del:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Del:R:0	6.19E-03	5.89E-03	4.82E-03	4.18E-03	5.23E-03	2.24E-02	6.63E-03	1.01E-02	1.16E-02	1.66E-02
5:Del:R:1	4.80E-07	2.74E-07	2.88E-07	2.92E-03	6.54E-07	2.87E-04	5.55E-04	5.32E-07	3.41E-07	5.04E-07
5:Del:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Del:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Del:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Del:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:0	5.98E-04	1.14E-03	5.89E-03	1.41E-03	1.90E-03	2.78E-03	1.76E-03	4.68E-04	4.38E-03	3.07E-03
2:Ins:R:1	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Ins:R:0	1.95E-03	5.14E-04	2.63E-03	7.11E-04	4.42E-03	5.39E-04	6.60E-03	4.13E-03	3.44E-03	8.74E-04
3:Ins:R:1	1.34E-03	4.50E-07	2.50E-03	1.86E-03	1.09E-03	5.34E-03	4.98E-03	4.17E-03	2.25E-03	8.17E-03
3:Ins:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Ins:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Ins:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Ins:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Ins:R:0	2.30E-03	9.30E-04	2.01E-03	8.84E-04	6.18E-04	1.49E-03	2.43E-03	3.23E-03	2.31E-03	2.64E-03
4:Ins:R:1	3.12E-04	2.78E-07	2.99E-07	3.14E-03	6.05E-07	2.87E-04	3.70E-07	5.35E-07	3.44E-07	5.30E-07
4:Ins:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Ins:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Ins:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Ins:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Ins:R:0	6.51E-03	7.58E-03	3.10E-03	2.10E-03	8.74E-03	7.16E-03	3.29E-03	5.99E-03	6.15E-03	1.32E-02
5:Ins:R:1	2.90E-03	7.91E-04	6.78E-03	2.01E-07	5.51E-03	5.24E-03	4.02E-03	6.63E-03	6.50E-03	4.21E-03
5:Ins:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Ins:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Ins:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Ins:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Del:M:1	2.54E-03	1.62E-03	4.85E-03	5.15E-03	5.10E-03	2.87E-03	1.79E-02	5.87E-03	5.22E-03	3.94E-03
3:Del:M:1	4.37E-07	9.39E-04	7.66E-04	1.60E-03	2.12E-03	3.27E-03	1.25E-03	4.07E-03	2.39E-03	4.58E-03
3:Del:M:2	5.26E-04	2.79E-04	1.13E-03	2.02E-07	1.17E-03	2.24E-03	1.69E-03	1.42E-03	2.44E-03	1.69E-03
4:Del:M:1	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:M:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:M:3	4.59E-04	3.34E-07	2.72E-03	2.15E-07	1.63E-03	5.29E-07	2.16E-03	2.99E-03	3.54E-03	2.01E-03
5:Del:M:1	3.00E-03	4.32E-03	4.58E-03	2.35E-03	4.83E-03	5.68E-03	4.72E-03	5.28E-03	5.48E-03	1.80E-02
5:Del:M:2	1.58E-03	4.88E-04	8.32E-04	2.80E-03	2.59E-03	2.31E-03	2.71E-03	1.15E-03	3.16E-03	1.34E-03
5:Del:M:3	4.95E-04	2.32E-03	1.68E-03	1.22E-03	1.02E-02	8.22E-03	7.14E-03	1.04E-02	2.42E-03	1.47E-02
5:Del:M:4	1.43E-03	2.06E-04	5.12E-04	3.64E-04	1.65E-03	5.27E-07	2.73E-04	5.25E-04	8.07E-04	6.17E-04
5:Del:M:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
