Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA_44_5645_01A	2.10E-01	7.28E-01	0.00E+00	2.31E-01	0.00E+00	5.14E-01	5.56E-01	1.50E+00	6.77E-01	8.99E-01
TCGA_44_A479_01A	8.57E+00	5.19E+00	1.00E+01	8.63E-01	3.84E+00	2.51E+00	1.17E+01	1.98E+00	3.08E+00	3.37E+00
TCGA_49_4510_01A	8.47E-01	1.45E+00	3.25E-01	2.00E-02	2.33E+00	5.11E-01	1.63E+00	1.73E+00	1.37E+00	9.53E-01
TCGA_49_AARE_01A	2.39E+01	2.54E+01	2.54E+01	9.86E-01	2.41E+01	1.06E+01	2.90E+01	1.06E+01	2.09E+01	2.12E+01
TCGA_49_AARN_01A	0.00E+00	6.57E-01	1.80E-01	1.91E+00	9.67E-01	1.14E+00	0.00E+00	1.01E+00	0.00E+00	5.00E-01
TCGA_49_AARO_01A	2.26E+01	7.56E+00	2.12E+01	5.11E-01	4.68E+00	2.62E+00	1.08E+01	1.28E+00	8.32E+00	4.38E+00
TCGA_49_AARQ_01A	2.19E+01	1.93E+01	1.03E+01	3.74E-01	9.42E+00	9.86E+00	1.62E+01	7.72E+00	1.29E+01	1.46E+01
TCGA_4B_A93V_01A	1.97E+00	1.94E+00	3.13E+00	1.31E-01	3.50E+00	1.09E+00	4.17E+00	3.06E+00	2.41E+00	2.93E+00
TCGA_50_8457_01A	7.91E-01	7.47E-01	1.00E+00	3.27E-01	1.72E+00	1.64E+00	7.72E-01	1.68E+00	1.10E+00	1.76E+00
TCGA_55_7910_01A	4.87E+00	5.17E+00	6.61E+00	0.00E+00	5.98E+00	1.01E+00	8.41E+00	4.62E+00	7.39E+00	3.13E+00
TCGA_55_7913_01B	4.70E+00	4.67E+00	4.02E+00	6.55E-01	1.14E+01	6.59E+00	6.14E+00	4.17E+00	6.72E+00	7.28E+00
TCGA_55_8508_01A	1.44E+00	2.04E+00	1.99E+00	1.01E+00	5.79E+00	2.12E+00	1.53E+00	4.44E+00	2.39E+00	7.57E+00
TCGA_55_8514_01A	4.86E+00	4.13E+00	3.07E+00	3.59E-02	3.34E+00	2.17E+00	3.61E+00	4.41E+00	1.15E+01	5.18E+00
TCGA_69_8253_01A	1.87E+00	2.52E+00	1.37E+00	6.85E-01	4.36E+00	3.26E+00	1.60E+00	3.46E+00	2.35E+00	6.72E+00
TCGA_69_A59K_01A	1.93E+01	4.88E+00	7.23E+00	0.00E+00	7.92E+00	3.92E+00	1.47E+01	4.80E+00	1.39E+01	7.01E+00
TCGA_86_7714_01A	2.57E-01	5.81E-01	9.45E-01	5.00E-02	3.08E+00	6.59E-01	1.65E+00	3.15E+00	1.17E+00	1.61E+00
TCGA_99_8025_01A	2.84E+00	1.32E+00	1.95E+00	3.37E-01	2.42E+00	7.40E+00	1.82E+00	2.37E+00	4.70E+00	1.04E+00
TCGA_99_8028_01A	6.18E+00	9.75E+00	1.27E+01	0.00E+00	4.16E+00	6.55E-01	6.59E+00	2.22E+00	2.68E+00	5.41E+00
TCGA_99_AA5R_01A	1.23E+00	1.66E+00	1.63E+00	5.80E-02	6.96E-01	2.25E-01	1.51E+00	5.45E-01	1.87E+00	1.26E+00
TCGA_L9_A5IP_01A	2.93E+00	4.24E+00	8.57E+00	0.00E+00	5.40E+00	1.28E+00	1.29E+01	3.14E+00	6.03E+00	2.92E+00
TCGA_L9_A8F4_01A	2.55E+01	2.47E+01	7.82E+00	5.97E-01	1.84E+01	2.40E+00	1.01E+01	1.39E+01	1.36E+01	1.63E+01
TCGA_NJ_A4YF_01A	1.51E+01	1.95E+01	1.06E+01	4.56E-01	5.39E+00	2.51E+00	8.26E+00	3.94E+00	1.18E+01	8.02E+00
TCGA_S2_AA1A_01A	1.31E+00	5.63E+00	1.45E+00	1.74E-01	2.31E+00	5.91E-01	3.78E+00	1.98E+00	2.79E+00	4.60E+00
