Samples	SBS96A	SBS96B
TCGA_44_5645_01A	23	18
TCGA_44_A479_01A	346	0
TCGA_49_4510_01A	46	8
TCGA_49_AARE_01A	1337	61
TCGA_49_AARN_01A	1	919
TCGA_49_AARO_01A	666	0
TCGA_49_AARQ_01A	778	45
TCGA_4B_A93V_01A	138	20
TCGA_50_8457_01A	57	8
TCGA_55_7910_01A	329	0
TCGA_55_7913_01B	329	64
TCGA_55_8508_01A	165	41
TCGA_55_8514_01A	322	0
TCGA_69_8253_01A	139	40
TCGA_69_A59K_01A	560	12
TCGA_86_7714_01A	66	19
TCGA_99_8025_01A	320	235
TCGA_99_8028_01A	513	0
TCGA_99_AA5R_01A	56	0
TCGA_L9_A5IP_01A	314	9
TCGA_L9_A8F4_01A	844	71
TCGA_NJ_A4YF_01A	718	0
TCGA_S2_AA1A_01A	140	0
