Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,52.76%,72.04%,161.2%,59.7%,90.79,0.9212,1.9597,0.289,0.58,0.694,0.396
2,0.5,0.39,NO,N/A,21.24%,13.2%,144.3%,13.65%,87.82,0.6106,1.7477,0.177,0.514,0.816,0.467
