MutationType	ID83A	ID83B
1:Del:C:0	6.952298099349718e-06	7.979057168086001e-06
1:Del:C:1	0.18392932934761574	0.23124891590071456
1:Del:C:2	0.1693888759240508	0.04420716201816015
1:Del:C:3	0.048324228552271205	0.07122242706837369
1:Del:C:4	0.023387224232382296	0.02820044228614531
1:Del:C:5	0.010735642630371276	0.023374084503043378
1:Del:T:0	6.952298099349718e-06	7.979057168086001e-06
1:Del:T:1	0.08594622793900637	0.03875620028014995
1:Del:T:2	0.01653212619766805	0.019734848842529545
1:Del:T:3	0.001272779970882425	0.005283140242888749
1:Del:T:4	6.952298099349718e-06	7.979057168086001e-06
1:Del:T:5	0.005815906789210885	0.007273188148422491
1:Ins:C:0	0.006432563034768464	0.005765801541514293
1:Ins:C:1	0.012907502663515515	0.004793520282612462
1:Ins:C:2	0.0021405712944050494	0.005985147360238443
1:Ins:C:3	0.0036160841580760916	0.011069212699296713
1:Ins:C:4	0.00856176171969139	0.010248317362454004
1:Ins:C:5	0.004640048458766728	0.0015760787931390042
1:Ins:T:0	0.018551423928131926	0.034969466599562765
1:Ins:T:1	0.05726819968499749	0.03234170751346235
1:Ins:T:2	0.03220057419742148	0.02791702534611898
1:Ins:T:3	0.00534462745503788	0.005358924416090077
1:Ins:T:4	0.0060311080474241404	0.005434480848953172
1:Ins:T:5	0.015046514660072603	0.02320077498545885
2:Del:R:0	0.026276265042814658	0.015694212165080365
2:Del:R:1	0.005033729792651229	0.003869625055468191
2:Del:R:2	6.952298099349718e-06	7.979057168086001e-06
2:Del:R:3	6.952298131182033e-06	7.979057072589057e-06
2:Del:R:4	6.952298099349718e-06	7.979057168086001e-06
2:Del:R:5	6.952298131182033e-06	7.979057072589057e-06
3:Del:R:0	0.00880809398667111	0.005360567152562226
3:Del:R:1	0.0024107888502743436	0.004302923407863091
3:Del:R:2	6.952298099349718e-06	7.979057168086001e-06
3:Del:R:3	6.952298131182033e-06	7.979057072589057e-06
3:Del:R:4	6.952298099349718e-06	7.979057168086001e-06
3:Del:R:5	6.952298131182033e-06	7.979057072589057e-06
4:Del:R:0	0.01764002396190307	0.00817741615516411
4:Del:R:1	6.952298131182033e-06	7.979057072589057e-06
4:Del:R:2	6.952298099349718e-06	7.979057168086001e-06
4:Del:R:3	6.952298131182033e-06	7.979057072589057e-06
4:Del:R:4	6.952298099349718e-06	7.979057168086001e-06
4:Del:R:5	6.952298131182033e-06	7.979057072589057e-06
5:Del:R:0	0.07135535982438779	0.12039386264179484
5:Del:R:1	0.003996041629887941	0.0028052954173483613
5:Del:R:2	6.952298099349718e-06	7.979057168086001e-06
5:Del:R:3	6.952298131182033e-06	7.979057072589057e-06
5:Del:R:4	6.952298099349718e-06	7.979057168086001e-06
5:Del:R:5	6.952298131182033e-06	7.979057072589057e-06
2:Ins:R:0	0.004448087406750574	0.007562567939220912
2:Ins:R:1	6.952298131182033e-06	7.979057072589057e-06
2:Ins:R:2	6.952298099349718e-06	7.979057168086001e-06
2:Ins:R:3	6.952298131182033e-06	7.979057072589057e-06
2:Ins:R:4	6.952298099349718e-06	7.979057168086001e-06
2:Ins:R:5	6.952298131182033e-06	7.979057072589057e-06
3:Ins:R:0	0.007989245541837704	0.01049364113098818
3:Ins:R:1	0.005243007644802447	0.008923017262239786
3:Ins:R:2	6.952298099349718e-06	7.979057168086001e-06
3:Ins:R:3	6.952298131182033e-06	7.979057072589057e-06
3:Ins:R:4	6.952298099349718e-06	7.979057168086001e-06
3:Ins:R:5	6.952298131182033e-06	7.979057072589057e-06
4:Ins:R:0	0.0015936935275453834	0.005642492690819836
4:Ins:R:1	0.0045315094886694855	0.0035814919981987715
4:Ins:R:2	6.952298099349718e-06	7.979057168086001e-06
4:Ins:R:3	6.952298131182033e-06	7.979057072589057e-06
4:Ins:R:4	6.952298099349718e-06	7.979057168086001e-06
4:Ins:R:5	6.952298131182033e-06	7.979057072589057e-06
5:Ins:R:0	0.03706284138192131	0.01913518268327355
5:Ins:R:1	0.007352843467684238	0.019729894037027407
5:Ins:R:2	6.952298099349718e-06	7.979057168086001e-06
5:Ins:R:3	6.952298131182033e-06	7.979057072589057e-06
5:Ins:R:4	6.952298099349718e-06	7.979057168086001e-06
5:Ins:R:5	6.952298131182033e-06	7.979057072589057e-06
2:Del:M:1	0.030391250033667435	0.050362391159661686
3:Del:M:1	0.002010831800948267	0.005915888072134976
3:Del:M:2	0.0021184740534306457	0.004354666807804506
4:Del:M:1	6.952298131182033e-06	7.979057072589057e-06
4:Del:M:2	6.952298099349718e-06	7.979057168086001e-06
4:Del:M:3	0.0016174109274385273	0.005091600181231115
5:Del:M:1	0.01954571288658599	0.03449457030609267
5:Del:M:2	0.01001672740261256	0.008418188004159787
5:Del:M:3	0.009649164613806958	0.014500435959485003
5:Del:M:4	0.0025574754508159003	0.0029100389160259966
5:Del:M:5	6.952298099349718e-06	7.979057168086001e-06
