Samples	DBS78A	DBS78B
TCGA_38_4628_01A	0.00E+00	0.00E+00
TCGA_49_AAQV_01A	4.92E-02	4.92E-02
TCGA_50_6591_01A	9.48E-02	9.48E-02
TCGA_62_8394_01A	0.00E+00	0.00E+00
TCGA_62_8397_01A	4.61E-02	4.61E-02
TCGA_86_7953_01A	0.00E+00	0.00E+00
TCGA_86_8278_01A	0.00E+00	0.00E+00
TCGA_86_8280_01A	5.02E-02	5.02E-02
TCGA_97_8552_01A	4.85E-02	4.85E-02
TCGA_99_8033_01A	2.08E-01	2.08E-01
