MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	5.974583387171606e-06	6.538544747627384e-06	7.578761155855318e-06	5.511860199476359e-06	1.2564128639951378e-05	9.96223211927827e-06
1:Del:C:1	0.25025511983038085	0.2234574177977629	0.43708683401346204	0.11071196350713393	0.015912807605390215	0.07487319084020327
1:Del:C:2	0.3466316452622414	0.028375900110541207	0.009268822950971582	0.09573667188505657	0.011632824266377356	0.06906930192445969
1:Del:C:3	0.02198118871625922	0.13063921420997077	0.07363136472328734	0.0442264082712407	0.013633826458313365	0.06775851604810441
1:Del:C:4	0.009797063192812061	0.02950609888962731	0.04555076527431232	0.029075890458623802	0.008618528959165418	0.026422998406411508
1:Del:C:5	0.001978997531896525	0.010909624445525274	0.01332176380635758	0.010871081392921554	0.05149190717222609	0.03176152786076585
1:Del:T:0	5.974583387171606e-06	6.538544747627384e-06	7.578761155855318e-06	5.511860199476359e-06	1.2564128639951378e-05	9.96223211927827e-06
1:Del:T:1	0.07897593909066244	0.028344419398072383	0.028920374273796484	0.12092133690438686	0.013028852003024479	0.08752582659838709
1:Del:T:2	0.01102750848848217	0.024266997070320713	0.005025633656256687	0.004345515045885725	0.04397328549263193	0.024690092650152852
1:Del:T:3	0.000550093525931743	0.008941199435158573	0.005509065072238854	0.0010007055444577872	0.0022783926946141264	0.0030151628139236664
1:Del:T:4	5.974583387171606e-06	6.538544747627384e-06	7.578761155855318e-06	5.511860199476359e-06	1.2564128639951378e-05	9.96223211927827e-06
1:Del:T:5	0.003162686699087658	0.010103510379948659	0.0023966726637723924	0.0036536112946125065	0.010853288618911848	0.01240135743118401
1:Ins:C:0	0.006077677745167875	0.009911708429339115	0.00480972022691958	0.004060188372787082	0.002076550146834961	0.007660335832860312
1:Ins:C:1	0.00561951831922805	0.006735126522537094	0.0032039188577912725	0.023896834231612728	0.004734014272776222	0.010202975644466221
1:Ins:C:2	0.000441112696311734	0.0028546461349075415	0.0013833379164433174	0.0017664068310381253	0.013505530793331673	0.01170736722294805
1:Ins:C:3	0.0008064337830460743	0.002283384768841188	0.010196752930182526	0.0011579041259437873	0.025614718355143395	0.009660006063351432
