MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
5:Del:R:1	3.15E-07	3.14E-07	4.49E-07	2.78E-03	5.30E-07	1.78E-04	3.12E-04	4.57E-07	6.58E-04
5:Del:R:2	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
5:Del:R:3	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
5:Del:R:4	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
5:Del:R:5	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
2:Ins:R:0	1.36E-03	2.60E-03	2.16E-03	1.01E-03	2.60E-03	8.71E-04	1.42E-03	2.69E-03	4.49E-03
2:Ins:R:1	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
2:Ins:R:2	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
2:Ins:R:3	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
2:Ins:R:4	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
2:Ins:R:5	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
3:Ins:R:0	1.75E-03	1.37E-03	1.69E-03	1.80E-03	4.13E-03	2.41E-03	6.66E-03	1.06E-04	2.18E-03
3:Ins:R:1	1.54E-03	3.15E-03	4.35E-03	8.32E-04	4.48E-03	1.63E-03	3.95E-03	4.25E-03	9.36E-03
3:Ins:R:2	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
3:Ins:R:3	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
3:Ins:R:4	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
3:Ins:R:5	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
4:Ins:R:0	6.51E-04	1.48E-03	3.39E-03	6.37E-04	1.13E-03	5.27E-07	3.13E-03	8.40E-04	3.20E-03
4:Ins:R:1	2.78E-07	3.15E-07	4.35E-07	3.16E-03	5.06E-07	4.59E-04	3.12E-04	4.65E-07	6.78E-07
4:Ins:R:2	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
4:Ins:R:3	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
4:Ins:R:4	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
4:Ins:R:5	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
5:Ins:R:0	6.74E-03	3.79E-03	6.15E-03	4.68E-03	6.40E-03	6.24E-03	2.97E-03	5.38E-03	1.70E-02
5:Ins:R:1	1.82E-06	8.49E-03	1.77E-03	3.68E-04	4.86E-03	6.93E-03	1.67E-03	6.61E-03	5.54E-03
5:Ins:R:2	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
5:Ins:R:3	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
5:Ins:R:4	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
5:Ins:R:5	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
2:Del:M:1	2.04E-03	3.59E-03	2.54E-03	5.54E-03	6.05E-03	6.20E-03	1.61E-02	4.63E-03	4.95E-03
3:Del:M:1	2.89E-07	1.13E-03	1.91E-03	1.47E-03	1.31E-03	9.19E-04	1.70E-03	3.12E-03	2.44E-03
3:Del:M:2	2.39E-04	1.31E-03	1.68E-03	8.32E-04	2.12E-03	4.07E-04	2.10E-03	1.84E-03	1.99E-03
4:Del:M:1	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
4:Del:M:2	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
4:Del:M:3	3.45E-07	2.51E-03	5.41E-04	2.21E-07	3.13E-03	1.48E-03	7.39E-04	1.98E-03	1.92E-03
5:Del:M:1	1.77E-03	4.60E-03	3.61E-03	1.59E-03	6.94E-03	4.69E-03	3.73E-03	6.05E-03	1.54E-02
5:Del:M:2	8.07E-04	1.38E-03	2.45E-03	2.62E-03	2.10E-03	6.94E-04	2.92E-03	1.53E-03	2.60E-03
5:Del:M:3	3.06E-03	1.47E-03	9.36E-04	4.16E-04	6.68E-03	2.90E-03	2.16E-03	5.16E-03	1.33E-02
5:Del:M:4	3.91E-04	4.58E-04	1.65E-03	3.14E-04	1.25E-03	5.49E-04	2.48E-07	2.22E-04	3.81E-04
5:Del:M:5	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
