De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-A, Signature SBS1 (17.98%) & Signature SBS5 (43.90%) & Signature SBS19 (10.10%) & Signature SBS95 (28.02%), 35.36,  33.71, 0.108, 0.94, 0.89
Signature 96-B, Signature SBS1 (9.58%) & Signature SBS2 (21.40%) & Signature SBS5 (38.40%) & Signature SBS13 (30.62%), 32.99,  22.37, 0.121, 0.97, 0.97
