MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
1:Del:C:1	1.14E-02	1.09E-02	1.02E-02	8.72E-03	7.45E-03
1:Del:C:2	1.05E-02	5.69E-03	5.42E-03	7.29E-03	4.28E-03
1:Del:C:3	4.43E-03	1.03E-02	6.49E-03	5.15E-03	4.14E-03
1:Del:C:4	2.18E-03	4.82E-03	4.73E-03	2.92E-03	2.95E-03
1:Del:C:5	2.07E-03	2.66E-03	2.58E-03	2.72E-03	6.39E-03
1:Del:T:0	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
1:Del:T:1	6.87E-03	5.05E-03	3.34E-03	9.37E-03	4.38E-03
1:Del:T:2	2.22E-03	4.24E-03	1.78E-03	1.36E-03	4.74E-03
1:Del:T:3	6.39E-04	1.56E-03	8.99E-04	8.61E-04	1.19E-03
1:Del:T:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
1:Del:T:5	9.90E-04	1.99E-03	9.67E-04	1.04E-03	2.51E-03
1:Ins:C:0	1.08E-03	1.84E-03	1.18E-03	1.40E-03	2.07E-03
1:Ins:C:1	1.80E-03	1.30E-03	9.09E-04	2.43E-03	8.09E-04
1:Ins:C:2	8.08E-04	8.17E-04	7.62E-04	1.61E-03	2.13E-03
1:Ins:C:3	5.25E-04	1.56E-03	2.26E-03	1.49E-03	2.94E-03
1:Ins:C:4	9.20E-04	2.35E-03	2.26E-03	1.76E-03	1.65E-03
1:Ins:C:5	1.22E-03	2.57E-04	5.39E-04	2.84E-04	4.52E-07
1:Ins:T:0	1.52E-03	4.57E-03	5.00E-03	3.34E-03	3.27E-03
1:Ins:T:1	6.12E-03	8.70E-03	4.30E-03	8.50E-03	4.92E-03
1:Ins:T:2	4.32E-03	5.88E-03	3.14E-03	2.42E-03	4.33E-03
1:Ins:T:3	1.40E-03	1.93E-03	8.86E-04	8.21E-04	1.51E-03
1:Ins:T:4	1.42E-03	2.00E-03	6.28E-04	6.64E-04	1.26E-03
1:Ins:T:5	2.19E-03	5.07E-03	3.56E-03	1.69E-03	3.72E-03
2:Del:R:0	2.62E-03	1.94E-03	1.61E-03	6.88E-03	3.79E-03
2:Del:R:1	7.17E-04	7.15E-04	3.31E-04	2.46E-03	9.73E-04
2:Del:R:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Del:R:3	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Del:R:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Del:R:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
3:Del:R:0	1.33E-03	9.60E-04	6.75E-04	3.29E-03	7.51E-04
3:Del:R:1	6.57E-04	9.76E-04	7.07E-04	8.18E-04	1.74E-03
3:Del:R:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
3:Del:R:3	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
3:Del:R:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
3:Del:R:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Del:R:0	1.88E-03	2.21E-03	1.35E-03	3.38E-03	2.10E-03
4:Del:R:1	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Del:R:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Del:R:3	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Del:R:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Del:R:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
