MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
AC>CA	0.0007577352732028061	7.455963498938248e-05	0.00027637865671071183	9.89843392125651e-05	0.00010067828621686203	9.728198859193071e-05	7.167778922363956e-05	0.00011988276974906935	0.0004643296171629224	0.0007623262787494311
AC>CG	0.0007558585217282555	7.42469061377313e-05	0.00026654502578196573	9.57824280247249e-05	0.00010121046307176584	9.7616560960887e-05	7.179677621976998e-05	0.00011800700824998629	0.00047213678173708295	0.0007906382318483471
AC>CT	0.0007544232467101513	7.409797307715453e-05	0.00025478880171206695	9.676680528208387e-05	0.00010056971383164637	9.594054531589791e-05	7.180327668000027e-05	0.00011316580878683586	0.0004632184236444077	0.0007706954195728903
AC>GA	0.0007564681679453904	7.45506261255402e-05	0.00026787592613484177	9.810010871632235e-05	9.98088391861529e-05	9.619433326406579e-05	7.190149253531038e-05	0.00015572484260079143	0.00045713799266099413	0.0007638072172076702
AC>GG	0.0007582383769174445	7.451988090489864e-05	0.0002541906138605299	9.945541828977176e-05	9.889541048323736e-05	9.615449450393498e-05	7.175064906871079e-05	0.0001272403475878833	0.00046061425044074207	0.0007471562784748908
AC>GT	0.0007582345709451419	7.373132955916005e-05	0.00025890233877476023	9.572179035219657e-05	9.797628634260036e-05	9.653916898059833e-05	7.175287811410126e-05	0.00012684057714553115	0.000485600235506917	0.00076405455122878
AC>TA	0.0007555672870799103	7.420678131838877e-05	0.000256824289369888	9.761527956873208e-05	0.00010127582900167908	9.627587589875475e-05	7.163635744214721e-05	0.00011166449670276047	0.00046295601447522683	0.0007739174822465814
AC>TG	0.0004317313951471885	1.0132238009945012e-05	0.010116314883227982	0.9035234687757878	0.014935192663039627	0.03964387354156108	1.671672310142954e-05	0.00997107826731071	0.01997195886788799	0.00016538751642469887
AC>TT	0.0007560654958177631	7.36339675506164e-05	0.0002457560019307437	9.698292353357313e-05	0.00010232212734990753	9.625265229715296e-05	7.18540999098568e-05	0.00012822757812390987	0.00048250227408126685	0.0007837521507960375
AT>CA	0.0007542184515826284	7.468335365425215e-05	0.00026849488119346177	9.806848340212676e-05	0.00010231664320599521	9.500695471615473e-05	7.192671689100532e-05	0.00011948433006081144	0.00045712409772222446	0.0007644079577703933
AT>CC	0.0007557149910466641	7.445382830314841e-05	0.00025715886520000453	9.795800568246405e-05	0.00010138179612113164	9.696450343653851e-05	7.180059231996057e-05	0.00011697237950079563	0.00046490749168339135	0.0007561152862285246
AT>CG	0.0007552986600796302	7.43145130395811e-05	0.00025926174474172114	9.727652695171892e-05	0.00010037861287855777	9.797932866604243e-05	7.192219028640334e-05	0.00013248593965202362	0.0004654562518549754	0.0007504692670881874
AT>GA	0.0007543849220040333	7.405009654820046e-05	0.00027631018601034893	9.74316292012295e-05	0.00010134342053788714	9.741903108078986e-05	7.16840630882403e-05	0.00011999699213367805	0.0004755024562733085	0.0007620023792726924
AT>GC	0.0007559088398412963	7.375256363712349e-05	0.00026653611121720824	9.736004937397425e-05	0.00010444418960105395	9.754742645782244e-05	7.183072879692034e-05	0.0001209386520475241	0.00047103116919256405	0.0007783416024076356
AT>TA	0.0007578342443791985	7.386670610748115e-05	0.0002695243627595545	9.520413355324758e-05	0.00010483119232958416	9.589369865580011e-05	7.169836770915213e-05	0.00012353958770828578	0.00048063801778361684	0.0007664188782488723
CC>AA	0.6790966859718931	1.840549943931933e-05	0.0971749637165538	0.014537064357612652	5.4418830032122895e-05	0.007288007516664338	0.9947476363182068	0.004522014086604343	0.1275261152720684	0.19241490548991713
CC>AG	0.0007597686886264287	7.421256990452478e-05	0.00024690265616897025	9.84105045807397e-05	0.00010124652249942301	9.687402127383393e-05	7.168607040147135e-05	0.00012712689638352768	0.00046652409713302304	0.0007895595569712852
CC>AT	0.0007588796615442246	7.39304496568439e-05	0.00031315607096356503	9.788040335717625e-05	0.00010260911714794929	9.597734156159276e-05	7.182144702124298e-05	0.0001332120736290949	0.0004751013926050774	0.000790454037438343
CC>GA	0.0007574284630900252	7.425322219796e-05	0.0002658174666286328	9.643866100496298e-05	9.844311691267649e-05	9.570539973992709e-05	7.177642926374327e-05	0.00011416185720431005	0.0004630022989681104	0.0007598177479901393
CC>GG	0.0007572485935750336	7.45378784444058e-05	0.0002724491910442595	9.687659211658599e-05	0.0001023238386187586	9.778161696885946e-05	7.183634982575266e-05	0.0001226469904459183	0.00045858878581989267	0.000771798718483067
CC>GT	0.1499911470773813	2.1360670030919818e-05	0.3273419406286976	0.010885285298564576	5.9841372296036134e-05	0.010042897847549479	3.515553726965148e-05	0.0044368981626046735	0.6475401952981334	0.08351027856257837
CC>TA	0.0007560281668386185	7.450446253241585e-05	0.0002594777915689761	9.66841562843559e-05	0.00010106376517796888	9.633936254701326e-05	7.181168554135867e-05	0.00012508865521588207	0.00046691201245912845	0.0007751727786885726
CC>TG	0.000752319019032394	7.454782302729136e-05	0.00026178030052633974	9.579244233732201e-05	9.901000429636042e-05	9.785641980670335e-05	7.195778408433869e-05	0.00011049687073124377	0.00046752021461231254	0.0007661382313610027
CC>TT	0.0007623164878647809	7.427955020700334e-05	0.0002750803497444565	9.85258772869131e-05	9.839642043516506e-05	9.504274731625628e-05	7.196718332888183e-05	0.00013545253102719443	0.00046441675655877	0.0007546000908374508
CG>AT	0.0007555994685010981	7.355180561733758e-05	0.0002496530933790098	9.696385013500382e-05	0.0001000517070906426	9.538600466981961e-05	7.17497804754575e-05	0.0002138361400233349	0.00047732928929580885	0.0008033406509399001
CG>GC	0.0007609607983025198	7.384826343512368e-05	0.0002666728359167791	9.736843829552473e-05	0.00010062306160762092	9.445073037568363e-05	7.176470025122066e-05	0.00012613296335595725	0.00046991572511914106	0.000778998154476295
CG>GT	0.0007604672514300852	7.439337002764319e-05	0.00024252129509278576	9.635631282151566e-05	9.671877289292752e-05	9.706223766897893e-05	7.176735350246903e-05	0.00011198807910869555	0.0004644992807260884	0.0007677275574393471
CG>TA	0.0007597343625785173	7.403147018914947e-05	0.00026722757431942414	9.718325321078709e-05	0.00010260515435220441	9.646222404626315e-05	7.19720622955557e-05	0.00013953709186815007	0.0004777793395181305	0.0007873443282930125
CG>TC	0.0007569926874674348	7.434712315729133e-05	0.00024797301640145264	9.697703404831793e-05	9.96850124465709e-05	9.974979412618268e-05	7.180753976070273e-05	0.0001822433875151897	0.00046367421396527586	0.0007696050112894953
CG>TT	0.0007569324922423183	7.430917547126113e-05	0.0002783453840107342	9.767630348637323e-05	9.91661532134458e-05	9.506909681476827e-05	7.193413545529804e-05	0.00011336736081237705	0.0004654924446005433	0.0007856629616291713
CT>AA	0.0007558275545605562	7.412004467091995e-05	0.00025171537745357855	9.910193937476051e-05	9.732299868119299e-05	9.805531000893097e-05	7.199615661963826e-05	0.00010827776075838819	0.00046948952187490165	0.0007524296958618329
CT>AC	0.0007572333382644422	7.456213626399154e-05	0.00027060853233727754	9.740460977718951e-05	9.867760909401113e-05	9.795633528483449e-05	7.175498489657997e-05	0.00013625690602284374	0.0004652114568241244	0.000764740507527642
CT>AG	0.0007606151254455922	7.425069050527163e-05	0.0002731470619310272	9.839810341671905e-05	9.936157170159276e-05	9.538311530377542e-05	7.180204633554138e-05	0.00010776371842942271	0.0004720276520442203	0.0007607656053867717
CT>GA	0.0007539245621457765	7.422490672145536e-05	0.000294938379047025	9.878382792200548e-05	0.00010033347340595356	9.553046199698655e-05	7.187740778224328e-05	0.00011071961480274045	0.00047685956220908495	0.0007752908225222604
CT>GC	0.0007575137912511102	7.419028470538991e-05	0.00023575492605452554	9.856159734946184e-05	9.76221607925254e-05	9.757900560316556e-05	7.171874922117264e-05	0.0001082042525158205	0.00047095502707450177	0.0007594724188407414
CT>GG	0.006140988211546873	4.9601228832713786e-05	0.49793572605885855	0.01006409336009963	6.894531889755243e-05	6.707371869846237e-05	3.611844899366204e-05	8.883868969293649e-05	0.06535348131576857	0.00041363646914813977
