MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
AC>CA	0.000656077436947271	0.005460930497561947	0.01253804936879078	0.011450771051851874	0.005239025625868976
AC>CG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
AC>CT	0.000977489818110371	0.0029285901720878726	0.006975433867955872	0.004226809200541339	0.006260157956519379
AC>GA	0.0003385212446869446	0.002944295601347449	0.007573591060111368	0.005397518950408084	0.0022927859002268036
AC>GG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
AC>GT	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
AC>TA	5.525697592233314e-05	0.00732079799278381	0.008337402858431346	0.006165005558818848	0.006958441567289811
AC>TG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
AC>TT	0.0001725125328391641	0.005871122778860354	0.006850139424643658	0.005393496485704645	0.0015584294082918858
AT>CA	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
AT>CC	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
AT>CG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
AT>GA	0.00031986235258955274	0.002368201046824083	0.0032621018124680745	0.001551016143059769	0.0027529905856454205
AT>GC	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
AT>TA	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
CC>AA	0.9306396305561065	0.04115113977687997	0.0406687131573517	0.06074348082325088	0.003781387026257018
CC>AG	0.0007486367190606949	0.006391835748545463	0.007043782067858135	0.0012438050319841818	0.42832349747314763
CC>AT	0.006654942789712525	0.3752735791380428	0.007565071431815906	0.008154304573146191	0.046945915149399296
CC>GA	0.0016966049974406871	0.032411017746509715	0.05275966604760015	0.03613272713170261	0.027532745170029783
CC>GG	0.0013947037029808484	0.007226774550339314	0.011529902144755511	0.014150676867219545	0.013646733881680575
CC>GT	0.0003637621989024353	0.004105128595136307	0.01615641341067544	0.006001268449222152	0.006070731528714077
CC>TA	0.000407975241869849	0.022035474422538073	0.024137261079797696	0.02343895973405779	0.02194482853554007
CC>TG	0.0018822254545113992	0.00483931479955686	0.020132636562428273	0.00894874339564412	0.015768301036430614
CC>TT	0.0024889373009454553	0.03392476863096931	0.04663957129611106	0.05460433541617306	0.041369614683019904
CG>AT	0.0005521220236488489	0.005213578635593592	0.006274515025798735	0.003369611943364248	0.005611289324281188
CG>GC	0.00042011532676951903	0.0015394567369099831	0.001780712376532847	0.0007901696080665488	0.004808964370477042
CG>GT	0.0016557920378238577	0.005268788862982063	0.011358651516614771	0.016744018967464455	0.003711546261546914
CG>TA	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
CG>TC	0.006284718390787767	0.024693990765907756	0.015275356128459521	0.008215854773260674	0.009159472299830895
