MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
3:Ins:R:0	2.89E-03	5.59E-07	5.59E-07	7.14E-04	5.96E-07	9.45E-07	3.20E-03
3:Ins:R:1	1.23E-04	3.34E-03	1.30E-03	2.39E-03	1.03E-03	2.81E-03	4.80E-03
3:Ins:R:2	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
3:Ins:R:3	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
3:Ins:R:4	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
3:Ins:R:5	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
4:Ins:R:0	2.23E-03	5.59E-07	5.75E-07	6.12E-04	5.93E-07	9.29E-07	3.27E-03
4:Ins:R:1	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
4:Ins:R:2	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
4:Ins:R:3	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
4:Ins:R:4	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
4:Ins:R:5	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
5:Ins:R:0	8.45E-03	5.26E-03	4.31E-03	7.33E-03	5.08E-03	1.32E-02	1.32E-02
5:Ins:R:1	3.60E-07	3.86E-03	7.70E-03	1.42E-02	7.67E-03	8.07E-03	1.20E-02
5:Ins:R:2	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
5:Ins:R:3	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
5:Ins:R:4	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
5:Ins:R:5	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
2:Del:M:1	1.33E-03	3.17E-03	3.81E-03	9.87E-03	6.27E-03	4.71E-03	1.01E-02
3:Del:M:1	3.77E-07	2.04E-03	2.10E-03	1.31E-03	2.89E-03	2.98E-03	9.79E-07
3:Del:M:2	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
4:Del:M:1	3.67E-07	1.39E-03	4.40E-03	5.40E-03	2.76E-03	5.51E-03	3.67E-03
4:Del:M:2	1.59E-03	8.81E-04	1.07E-03	3.90E-03	1.77E-03	2.47E-03	3.92E-03
4:Del:M:3	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
5:Del:M:1	1.42E-03	3.11E-03	6.50E-03	5.87E-03	1.84E-02	3.18E-03	4.99E-03
5:Del:M:2	2.70E-07	4.16E-03	8.14E-03	7.18E-03	3.05E-03	7.92E-03	8.00E-03
5:Del:M:3	1.06E-03	1.42E-03	2.12E-03	2.03E-03	3.39E-03	2.22E-03	3.70E-03
5:Del:M:4	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
5:Del:M:5	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
