Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	15	0.91	11.915	79.433%	2.661	43.747%	0.83076	0.904
TCGA_38_4626_01A	11	0.934	7.231	65.736%	1.662	38.129%	0.48506	0.93
TCGA_38_4627_01A	3	0.864	3.554	118.467%	1.32	59.032%	1.36828	0.866
TCGA_38_4631_01A	34	0.978	15.159	44.585%	3.1	21.92%	0.33616	0.977
TCGA_38_7271_01A	4	0.96	2.514	62.85%	0.968	39.518%	0.40187	0.962
TCGA_44_2655_01A	10	0.733	9.408	94.08%	2.55	68.152%	1.01793	0.703
TCGA_44_2657_01A	9	0.97	5.603	62.256%	1.566	29.08%	0.60305	0.97
TCGA_44_2659_01A	28	0.92	17.675	63.125%	3.718	41.569%	0.4837	0.91
TCGA_44_3396_01A	11	0.751	11.857	107.791%	2.932	67.265%	0.95466	0.729
TCGA_44_3917_01A	4	0.994	1.817	45.425%	0.699	22.104%	0.26256	0.994
TCGA_44_3918_01A	38	0.97	16.55	43.553%	3.841	25.438%	0.29712	0.968
TCGA_44_4112_01A	21	0.91	13.328	63.467%	2.688	41.98%	0.47586	0.896
TCGA_44_5644_01A	41	0.959	19.284	47.034%	3.873	28.322%	0.34395	0.954
TCGA_44_6145_01A	11	0.968	7.058	64.164%	2.073	35.04%	0.52186	0.97
TCGA_44_6147_01A	7	0.926	5.4	77.143%	1.432	43.176%	0.64515	0.925
TCGA_44_6774_01A	10	0.931	7.947	79.47%	1.843	39.293%	0.67308	0.928
TCGA_44_6775_01A	4	0.604	5.404	135.1%	1.6	80.0%	1.59813	0.577
TCGA_44_6776_01A	13	0.854	8.904	68.492%	2.572	53.63%	0.8582	0.84
TCGA_44_6779_01A	5	0.897	3.788	75.76%	1.275	48.19%	0.76902	0.894
TCGA_44_7661_01A	11	0.951	6.124	55.673%	1.69	31.383%	0.5724	0.948
TCGA_44_7667_01A	19	0.903	13.589	71.521%	3.322	45.631%	0.66873	0.896
TCGA_44_7670_01A	46	0.972	19.349	42.063%	3.974	23.417%	0.32474	0.969
TCGA_44_7672_01A	15	0.87	12.369	82.46%	2.765	53.212%	0.64469	0.862
TCGA_44_8117_01A	23	0.955	13.985	60.804%	3.137	30.91%	0.51552	0.953
TCGA_44_A47G_01A	17	0.917	11.625	68.382%	2.704	42.229%	0.53689	0.91
TCGA_44_A4SU_01A	5	0.935	3.907	78.14%	1.297	39.106%	1.21563	0.933
TCGA_49_4487_01A	24	0.954	15.402	64.175%	3.318	36.641%	0.42399	0.954
TCGA_49_4488_01A	16	0.969	7.841	49.006%	1.842	25.544%	0.42419	0.967
TCGA_49_4490_01A	4	0.663	5.192	129.8%	1.521	76.05%	1.43532	0.645
TCGA_49_4505_01A	11	0.912	7.111	64.645%	1.661	42.887%	0.59546	0.904
TCGA_49_4506_01A	9	0.787	7.843	87.144%	1.854	61.8%	0.82247	0.757
TCGA_49_4507_01A	8	0.893	5.882	73.525%	1.593	45.986%	0.79047	0.886
TCGA_49_6744_01A	9	0.85	7.059	78.433%	1.898	52.641%	1.08022	0.837
TCGA_49_6761_01A	5	0.857	4.92	98.4%	1.43	54.049%	0.95381	0.852
TCGA_49_6767_01A	17	0.938	10.272	60.424%	2.276	34.709%	0.45638	0.933
TCGA_50_5051_01A	9	0.736	8.862	98.467%	2.44	67.673%	1.04339	0.711
TCGA_50_5941_01A	26	0.929	15.278	58.762%	3.195	37.141%	0.56304	0.92
TCGA_50_5942_01A	5	0.888	4.394	87.88%	1.382	52.235%	0.93388	0.886
TCGA_50_6590_01A	33	0.942	19.543	59.221%	3.962	35.724%	0.39045	0.936
TCGA_50_6592_01A	15	0.857	13.682	91.213%	2.987	55.467%	0.64964	0.848
TCGA_50_6593_01A	14	0.868	9.993	71.379%	2.225	49.753%	0.88447	0.849
TCGA_50_6595_01A	4	0.817	5.074	126.85%	1.64	66.953%	1.09934	0.822
TCGA_53_7624_01A	24	0.943	13.539	56.412%	2.889	33.584%	0.44194	0.938
TCGA_53_7813_01A	9	0.72	9.601	106.678%	2.508	69.559%	0.95454	0.693
