Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
TCGA_44_A479_01A	3.52E-01	3.39E-01	2.00E-02	2.95E-01	2.75E-01	2.41E-01	3.00E-02	3.00E-02	6.34E-02	3.00E-02
TCGA_49_AARE_01A	5.10E-01	1.58E-01	5.59E-01	0.00E+00	1.90E-01	0.00E+00	1.78E-01	2.27E-01	0.00E+00	2.46E-01
TCGA_49_AARN_01A	1.52E-01	3.59E-02	3.02E-01	0.00E+00	9.06E-02	1.00E-02	1.49E-01	3.39E-01	0.00E+00	7.06E-02
TCGA_49_AARO_01A	3.95E-01	6.03E-01	2.87E-01	4.00E-02	3.05E-01	2.34E-01	5.63E-02	1.77E-01	3.79E-01	1.12E-01
TCGA_49_AARQ_01A	2.68E-01	7.09E-02	3.51E-01	4.13E-01	5.64E-01	0.00E+00	2.37E-01	2.95E-01	6.00E-02	7.00E-02
TCGA_4B_A93V_01A	7.20E-02	1.05E-01	4.73E-02	3.59E-02	6.47E-02	1.37E-01	1.00E-02	5.03E-02	6.52E-02	6.09E-02
TCGA_55_7913_01B	1.86E-01	1.09E-01	0.00E+00	5.00E-02	1.58E-01	2.23E-02	5.37E-02	7.04E-02	2.17E-01	2.61E-02
TCGA_55_8508_01A	1.92E-01	1.75E-01	2.27E-01	5.34E-02	1.18E-01	0.00E+00	1.00E-02	4.11E-02	0.00E+00	3.02E-01
TCGA_55_8514_01A	0.00E+00	0.00E+00	5.00E-02	0.00E+00	0.00E+00	5.37E-02	7.57E-02	2.00E-02	0.00E+00	1.00E-02
TCGA_69_A59K_01A	2.21E-01	2.83E-01	0.00E+00	3.05E-01	2.30E-01	2.34E-01	3.00E-02	5.80E-02	3.03E-01	1.18E-01
TCGA_86_7714_01A	4.90E-02	3.14E-02	1.00E-02	0.00E+00	4.16E-02	1.41E-02	0.00E+00	1.00E-02	1.41E-02	0.00E+00
TCGA_99_8025_01A	1.42E-01	1.41E-01	6.00E-02	2.96E-01	2.01E-01	1.99E-01	4.00E-02	6.50E-02	9.93E-02	7.26E-02
TCGA_99_8028_01A	2.73E-01	1.87E-01	1.94E-01	0.00E+00	1.79E-01	1.74E-01	0.00E+00	2.00E-02	0.00E+00	4.45E-02
TCGA_99_AA5R_01A	6.70E-02	4.72E-02	2.00E-02	4.85E-02	6.40E-02	4.79E-02	2.61E-02	5.51E-02	7.57E-02	7.46E-02
TCGA_L9_A5IP_01A	6.36E-02	5.95E-02	1.63E-01	5.06E-02	7.07E-02	1.00E-02	5.41E-02	2.00E-02	7.87E-02	1.75E-01
TCGA_L9_A8F4_01A	2.25E-01	3.67E-01	1.00E-02	3.48E-01	2.74E-01	4.00E-01	2.00E-02	3.45E-01	4.02E-01	1.49E-01
TCGA_NJ_A4YF_01A	1.15E-01	2.33E-01	6.00E-02	4.55E-02	2.40E-01	2.33E-01	1.96E-01	3.57E-01	0.00E+00	1.49E-01
TCGA_S2_AA1A_01A	1.67E-01	1.21E-01	6.57E-02	3.59E-02	8.25E-02	1.81E-01	1.00E-02	2.97E-02	1.81E-01	2.97E-02
