Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA_38_4625_01A	9.57E+00	9.07E+00	9.94E+00	1.68E+00	3.55E+00	2.13E+00	8.01E-01
TCGA_38_4626_01A	5.72E+00	5.78E+00	4.81E+00	7.63E-01	2.26E+00	2.09E+00	4.20E-01
TCGA_38_4627_01A	2.59E-01	2.52E-01	4.52E-01	2.13E-01	4.42E-01	4.25E-01	5.22E-01
TCGA_38_4631_01A	1.15E+01	1.10E+01	9.63E+00	1.01E+00	7.93E+00	4.71E+00	7.56E-01
TCGA_38_7271_01A	1.27E+00	1.24E+00	9.21E-01	5.29E-01	6.80E-01	6.66E-01	0.00E+00
TCGA_44_2655_01A	4.79E+00	4.18E+00	4.07E+00	5.28E-01	1.29E+00	1.12E+00	0.00E+00
TCGA_44_2657_01A	7.19E+00	7.03E+00	5.89E+00	1.17E+00	3.06E+00	3.20E+00	1.61E+00
TCGA_44_2659_01A	8.55E+00	8.58E+00	6.36E+00	9.14E-01	2.61E+00	2.99E+00	1.47E+00
TCGA_44_3396_01A	1.55E+00	2.14E+00	1.94E+00	1.34E+00	1.99E+00	1.51E+00	1.15E+00
TCGA_44_3917_01A	4.40E+00	4.39E+00	3.70E+00	8.08E-01	2.92E+00	3.26E+00	1.06E+00
TCGA_44_3918_01A	1.46E+01	1.31E+01	1.52E+01	1.75E+00	5.45E+00	3.64E+00	2.01E+00
TCGA_44_4112_01A	6.27E+00	7.56E+00	5.65E+00	1.50E+00	5.35E+00	3.55E+00	4.86E-01
TCGA_44_5644_01A	1.21E+01	1.27E+01	1.20E+01	1.59E+00	7.09E+00	4.06E+00	2.04E+00
TCGA_44_6145_01A	7.63E+00	7.04E+00	5.90E+00	6.11E-01	2.76E+00	2.93E+00	1.05E+00
TCGA_44_6147_01A	2.75E+00	2.88E+00	3.09E+00	3.22E-01	1.93E+00	1.65E+00	7.09E-02
TCGA_44_6774_01A	5.82E+00	5.40E+00	5.90E+00	4.34E-01	2.71E+00	1.90E+00	5.08E-01
TCGA_44_6775_01A	7.29E-01	1.02E+00	1.20E+00	5.38E-01	1.42E+00	1.26E+00	9.09E-01
TCGA_44_6776_01A	3.93E+00	4.25E+00	3.94E+00	6.36E-01	1.60E+00	2.27E+00	1.21E+00
TCGA_44_6779_01A	1.60E+00	1.51E+00	1.87E+00	3.91E-01	1.19E+00	1.92E+00	1.20E+00
TCGA_44_7661_01A	3.84E+00	3.89E+00	3.53E+00	1.09E+00	3.32E+00	2.43E+00	8.94E-01
TCGA_44_7667_01A	7.81E+00	8.28E+00	7.34E+00	8.46E-01	3.69E+00	4.37E+00	1.81E+00
TCGA_44_7670_01A	1.54E+01	1.41E+01	1.44E+01	2.20E+00	6.00E+00	5.69E+00	1.98E+00
TCGA_44_7672_01A	3.51E+00	3.20E+00	3.40E+00	6.27E-01	2.53E+00	1.44E+00	7.89E-01
