MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
2:Ins:R:0	5.58E-03	1.09E-03	3.64E-03	2.81E-03	2.91E-02	3.97E-03	7.42E-03	5.05E-03
2:Ins:R:1	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
2:Ins:R:2	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
2:Ins:R:3	6.04E-07	2.08E-03	7.41E-04	4.99E-03	3.07E-03	3.90E-03	4.81E-03	1.92E-03
2:Ins:R:4	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
2:Ins:R:5	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Ins:R:0	3.14E-03	5.43E-07	5.08E-07	4.08E-04	4.46E-03	7.60E-07	1.93E-03	2.22E-03
3:Ins:R:1	8.84E-05	2.73E-03	3.56E-03	2.75E-03	5.76E-03	3.58E-03	2.08E-03	2.34E-03
3:Ins:R:2	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Ins:R:3	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Ins:R:4	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Ins:R:5	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
4:Ins:R:0	2.52E-03	4.86E-07	5.34E-07	9.18E-04	3.15E-03	7.55E-07	1.26E-03	1.11E-03
4:Ins:R:1	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
4:Ins:R:2	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
4:Ins:R:3	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
4:Ins:R:4	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
4:Ins:R:5	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
5:Ins:R:0	1.00E-02	3.32E-03	8.91E-03	8.02E-03	1.89E-02	3.57E-03	1.45E-02	3.92E-03
5:Ins:R:1	2.22E-07	2.79E-03	4.75E-03	6.56E-03	4.34E-03	1.70E-02	1.15E-02	8.50E-03
5:Ins:R:2	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
5:Ins:R:3	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
5:Ins:R:4	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
5:Ins:R:5	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
2:Del:M:1	1.13E-03	1.83E-03	6.21E-03	6.57E-03	4.85E-03	1.25E-02	9.71E-03	6.28E-03
3:Del:M:1	4.44E-07	2.46E-03	2.83E-03	3.01E-03	1.44E-03	2.29E-03	3.30E-03	8.75E-04
3:Del:M:2	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
4:Del:M:1	3.39E-07	1.68E-03	2.53E-03	5.59E-03	6.82E-03	8.83E-03	4.23E-03	4.13E-03
4:Del:M:2	4.41E-07	1.56E-03	1.69E-03	1.23E-03	1.37E-03	2.04E-03	4.14E-03	3.18E-03
4:Del:M:3	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
5:Del:M:1	3.58E-03	4.46E-03	7.05E-03	2.09E-02	2.47E-03	5.00E-03	4.51E-03	6.58E-03
5:Del:M:2	3.42E-07	2.97E-03	7.98E-03	3.33E-03	7.48E-03	6.23E-03	4.86E-03	7.72E-03
5:Del:M:3	2.64E-03	2.10E-03	2.59E-03	1.97E-03	4.37E-03	2.66E-03	3.98E-03	1.32E-03
5:Del:M:4	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
5:Del:M:5	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
