Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,9.51e-06,81.77%,122.94%,193.3%,76.78%,114.4,1.3641,3.7855,0.392,0.923,0.574,-0.019
2*,1.0,1.0,YES,Most Stab Sigs,30.62%,107.83%,192.15%,66.31%,116.77,1.1951,4.1903,0.295,0.912,0.682,0.006
3,0.76,0.39,NO,N/A,21.73%,99.66%,191.85%,62.46%,101.05,1.1286,3.329,0.261,0.873,0.717,0.06
4,0.66,0.07,NO,N/A,19.2%,95.34%,181.53%,58.79%,99.37,1.0124,3.0336,0.222,0.707,0.761,0.213
5,0.55,0.03,NO,N/A,17.7%,86.74%,176.55%,54.37%,99.77,0.9453,2.412,0.188,0.697,0.797,0.229
6,0.54,-0.06,NO,N/A,16.61%,82.76%,178.85%,51.98%,98.39,0.8995,2.5425,0.165,0.695,0.823,0.227
7,0.51,-0.1,NO,N/A,15.62%,79.48%,165.56%,48.12%,98.97,0.8553,2.3154,0.146,0.697,0.843,0.225
8,0.48,-0.01,NO,N/A,15.24%,75.33%,157.86%,45.75%,102.72,0.8068,2.4133,0.129,0.695,0.862,0.241
9,0.48,-0.05,NO,N/A,14.61%,73.53%,159.14%,42.6%,98.12,0.7728,2.325,0.121,0.665,0.871,0.266
10,0.52,-0.0,NO,N/A,13.7%,67.18%,165.02%,40.92%,98.95,0.7241,2.354,0.11,0.666,0.882,0.255
