MutationType	ID83A
1:Del:C:0	1.4436419523917721e-05
1:Del:C:1	0.06821338569745422
1:Del:C:2	0.027207845179364084
1:Del:C:3	0.01152376708491829
1:Del:C:4	0.004540171898424887
1:Del:C:5	0.00352575982833514
1:Del:T:0	1.4436419478442986e-05
1:Del:T:1	0.03290416563861072
1:Del:T:2	0.007973441726780947
1:Del:T:3	0.015152139668352903
1:Del:T:4	0.007700320154472137
1:Del:T:5	0.00418902743595936
1:Ins:C:0	0.00828577563899671
1:Ins:C:1	0.02478883138857782
1:Ins:C:2	0.008402632161541988
1:Ins:C:3	0.0036427930367335646
1:Ins:C:4	0.0076221478078514334
1:Ins:C:5	0.0034867418598332734
1:Ins:T:0	0.022838385850191115
1:Ins:T:1	0.03926323076710105
1:Ins:T:2	0.011913958601044215
1:Ins:T:3	1.4436419578487402e-05
1:Ins:T:4	0.003291660391187179
1:Ins:T:5	0.027441598800942303
2:Del:R:0	0.010860524114214058
2:Del:R:1	1.4436419478442986e-05
2:Del:R:2	1.4436419505727826e-05
2:Del:R:3	1.4436419460253092e-05
2:Del:R:4	1.4436419623962138e-05
2:Del:R:5	1.4436419542107615e-05
3:Del:R:0	0.008012447289811462
3:Del:R:1	1.4436419642152032e-05
3:Del:R:2	1.4436419614867191e-05
3:Del:R:3	1.4436419587582349e-05
3:Del:R:4	1.4436419569392455e-05
3:Del:R:5	1.4436419505727826e-05
4:Del:R:0	0.003213602177120265
4:Del:R:1	1.4436419642152032e-05
4:Del:R:2	1.4436419542107615e-05
4:Del:R:3	1.4436419596677298e-05
4:Del:R:4	1.4436419660341925e-05
4:Del:R:5	1.4436419551202562e-05
5:Del:R:0	0.12088445007801056
5:Del:R:1	1.4436419569392455e-05
5:Del:R:2	1.4436419587582349e-05
5:Del:R:3	1.4436419714911608e-05
5:Del:R:4	1.4436419587582349e-05
5:Del:R:5	1.4436419514822773e-05
2:Ins:R:0	0.060021378602832555
2:Ins:R:1	1.4436419623962138e-05
2:Ins:R:2	1.4436419569392455e-05
2:Ins:R:3	0.0040719637656548005
2:Ins:R:4	1.4436419687626767e-05
2:Ins:R:5	1.4436419523917721e-05
3:Ins:R:0	0.025336308921687305
3:Ins:R:1	0.004423112693411895
3:Ins:R:2	1.4436419578487402e-05
3:Ins:R:3	1.4436419587582349e-05
3:Ins:R:4	1.4436419560297509e-05
3:Ins:R:5	1.4436419487537932e-05
4:Ins:R:0	0.018898445358154277
4:Ins:R:1	1.4436419533012668e-05
4:Ins:R:2	1.4436419569392455e-05
4:Ins:R:3	1.4436419569392455e-05
4:Ins:R:4	1.4436419587582349e-05
4:Ins:R:5	1.4436419551202562e-05
5:Ins:R:0	0.2743035142123699
5:Ins:R:1	0.020380115574225782
5:Ins:R:2	1.4436419578487402e-05
5:Ins:R:3	1.4436419642152032e-05
5:Ins:R:4	1.4436419642152032e-05
5:Ins:R:5	1.4436419542107615e-05
2:Del:M:1	0.01608855333662177
3:Del:M:1	0.004071987858669673
3:Del:M:2	1.4436419460253092e-05
4:Del:M:1	0.007817383229785264
4:Del:M:2	0.003447725752757833
4:Del:M:3	1.4436419514822773e-05
5:Del:M:1	0.05810775116086006
5:Del:M:2	0.011874921610378807
5:Del:M:3	0.0036428197000714134
5:Del:M:4	1.4436419805861078e-05
5:Del:M:5	1.4436419660341925e-05
