MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
1:Del:C:1	1.08E-03	1.06E-02	2.78E-03	4.03E-03	2.13E-02	5.58E-03
1:Del:C:2	8.03E-04	4.03E-03	1.20E-02	9.65E-03	9.65E-03	1.06E-02
1:Del:C:3	1.65E-04	2.36E-03	6.89E-03	4.63E-03	3.80E-03	6.24E-03
1:Del:C:4	8.22E-05	1.75E-03	1.03E-03	2.75E-03	2.85E-03	4.57E-03
1:Del:C:5	8.22E-05	1.29E-03	9.30E-04	1.51E-03	2.40E-03	4.17E-03
1:Del:T:0	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
1:Del:T:1	1.81E-03	3.35E-03	1.28E-02	1.18E-02	5.89E-03	1.42E-02
1:Del:T:2	1.36E-07	1.08E-03	4.15E-03	3.41E-03	3.20E-03	3.70E-03
1:Del:T:3	1.06E-04	3.01E-03	8.09E-03	4.87E-03	5.07E-03	4.87E-03
1:Del:T:4	9.54E-04	1.05E-03	5.33E-03	2.41E-03	2.72E-03	6.79E-03
1:Del:T:5	2.78E-07	8.23E-04	3.07E-03	2.12E-03	2.00E-03	3.16E-03
1:Ins:C:0	1.33E-03	5.12E-07	6.36E-07	5.51E-07	1.99E-04	9.80E-04
1:Ins:C:1	8.59E-04	5.29E-03	1.31E-02	6.16E-03	6.38E-03	1.03E-02
1:Ins:C:2	8.91E-04	1.14E-03	2.54E-03	2.17E-03	1.50E-03	1.51E-03
1:Ins:C:3	3.12E-07	1.06E-03	2.19E-03	3.36E-03	1.14E-03	1.68E-03
1:Ins:C:4	3.73E-04	2.84E-03	3.64E-03	2.89E-03	1.01E-02	4.34E-03
1:Ins:C:5	7.96E-05	1.33E-03	2.57E-03	1.54E-03	2.59E-03	2.47E-03
1:Ins:T:0	2.24E-03	2.46E-03	2.90E-03	3.99E-03	4.07E-03	1.43E-02
1:Ins:T:1	3.73E-03	5.31E-03	1.18E-02	1.50E-02	1.08E-02	1.04E-02
1:Ins:T:2	2.43E-07	2.86E-03	7.28E-03	2.34E-03	4.00E-03	5.54E-03
1:Ins:T:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
1:Ins:T:4	1.17E-04	1.68E-03	1.08E-03	2.38E-03	1.35E-03	3.01E-03
1:Ins:T:5	4.13E-04	4.79E-03	1.62E-02	6.44E-03	7.80E-03	1.93E-03
2:Del:R:0	9.72E-04	2.45E-03	5.07E-03	2.13E-03	3.78E-03	5.84E-03
2:Del:R:1	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Del:R:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Del:R:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Del:R:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Del:R:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Del:R:0	7.93E-05	9.15E-04	4.00E-03	3.49E-03	3.66E-03	7.27E-03
3:Del:R:1	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Del:R:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Del:R:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Del:R:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Del:R:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Del:R:0	3.26E-07	7.56E-04	2.51E-03	1.86E-03	1.39E-03	2.90E-03
4:Del:R:1	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Del:R:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Del:R:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Del:R:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Del:R:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Del:R:0	2.66E-03	1.53E-02	4.17E-03	2.57E-03	7.56E-03	7.37E-03
5:Del:R:1	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Del:R:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Del:R:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Del:R:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Del:R:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Ins:R:0	4.42E-03	7.19E-04	1.58E-03	2.31E-03	3.01E-03	1.93E-02
2:Ins:R:1	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Ins:R:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Ins:R:3	1.78E-06	1.67E-03	2.81E-03	1.78E-03	2.33E-03	3.04E-03
2:Ins:R:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Ins:R:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Ins:R:0	2.65E-03	4.95E-07	6.72E-07	6.43E-04	1.27E-03	3.00E-03
3:Ins:R:1	2.59E-04	2.29E-03	2.26E-03	1.05E-03	1.44E-03	5.45E-03
3:Ins:R:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Ins:R:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Ins:R:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
3:Ins:R:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Ins:R:0	2.12E-03	5.02E-07	6.67E-07	3.21E-04	7.19E-04	2.17E-03
4:Ins:R:1	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Ins:R:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Ins:R:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Ins:R:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Ins:R:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Ins:R:0	7.77E-03	3.90E-03	9.12E-03	6.32E-03	8.80E-03	1.18E-02
5:Ins:R:1	1.66E-04	4.39E-03	1.16E-02	7.01E-03	8.59E-03	9.45E-03
5:Ins:R:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Ins:R:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Ins:R:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Ins:R:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
2:Del:M:1	9.94E-04	3.29E-03	6.21E-03	5.26E-03	3.87E-03	9.98E-03
3:Del:M:1	3.09E-07	1.79E-03	8.35E-04	2.19E-03	2.96E-03	1.58E-03
3:Del:M:2	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
4:Del:M:1	1.97E-07	2.00E-03	3.40E-03	3.70E-03	3.61E-03	5.79E-03
4:Del:M:2	3.47E-07	1.26E-03	2.35E-03	2.08E-03	1.59E-03	3.11E-03
4:Del:M:3	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Del:M:1	1.70E-03	6.39E-03	3.56E-03	1.93E-02	7.13E-03	3.53E-03
5:Del:M:2	2.73E-07	3.32E-03	6.07E-03	2.56E-03	5.99E-03	6.03E-03
5:Del:M:3	1.38E-03	1.68E-03	1.79E-03	1.86E-03	2.44E-04	4.36E-03
5:Del:M:4	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
5:Del:M:5	3.45E-07	4.69E-07	5.93E-07	4.73E-07	5.89E-07	8.27E-07
