MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
5:Ins:R:5	7.95E-08	4.51E-07	4.63E-07	5.79E-07	4.83E-07
2:Del:M:1	1.02E-03	3.67E-03	3.71E-03	8.15E-03	4.26E-03
3:Del:M:1	1.18E-07	1.89E-03	2.07E-03	1.43E-03	2.57E-03
3:Del:M:2	7.95E-08	4.51E-07	4.63E-07	5.79E-07	4.83E-07
4:Del:M:1	8.64E-08	1.66E-03	2.99E-03	4.09E-03	3.06E-03
4:Del:M:2	1.25E-07	1.34E-03	1.88E-03	2.62E-03	1.84E-03
4:Del:M:3	7.95E-08	4.51E-07	4.63E-07	5.79E-07	4.83E-07
5:Del:M:1	1.44E-03	7.54E-03	9.14E-03	5.68E-03	1.75E-02
5:Del:M:2	6.55E-08	3.68E-03	5.13E-03	4.32E-03	3.09E-03
5:Del:M:3	5.42E-04	1.22E-03	1.67E-03	2.65E-03	2.37E-03
5:Del:M:4	7.95E-08	4.51E-07	4.63E-07	5.79E-07	4.83E-07
5:Del:M:5	7.95E-08	4.51E-07	4.63E-07	5.79E-07	4.83E-07
