MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
AC>CA	7.560883270514296e-06	0.0008100204647518065	0.016509619975233817	0.012157604409137263	0.003827853400360368	0.0051331557492123635	0.012444943809897495	0.010453019668414072	0.006668675609842581	0.01933762052336784
AC>CG	1.309956650402455e-05	8.751971928973035e-06	1.981890508716333e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327513355267e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
AC>CT	0.00022643408922377067	0.0012285831269265657	0.010799879944530346	0.0027899257256291323	0.004336506764901742	0.004485016964890747	0.010918456186363912	0.006998780499453687	0.005972489659810378	0.012224787803671689
AC>GA	0.000240008961792455	0.0019177703122497292	0.011403859256926125	0.003345086552833365	0.0008830369103384328	0.002510022652824375	0.006709952388570457	0.0022393852036958605	0.01440014271427458	0.0014981130466753712
AC>GG	1.309956650402455e-05	8.751971928973035e-06	1.981890508716333e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327513355267e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
AC>GT	1.309956650402455e-05	8.751971928973035e-06	1.981890508716333e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327513355267e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
AC>TA	5.895843661392064e-06	0.004193959578288328	0.020445899720193665	0.005622085126295104	0.005900741942782588	0.007564813659695346	0.01059152301670963	0.0038558499086124697	0.0029034017412791968	0.009902584278714812
AC>TG	1.309956650402455e-05	8.751971928973035e-06	1.981890508716333e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327513355267e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
AC>TT	9.589551458475398e-06	0.0018417449312872235	0.011452872252237824	0.0025348973580559832	0.0008993761749530904	0.006465533694708938	0.007925063249836627	0.001861672011022506	0.013329040435946808	0.0010517241749880668
AT>CA	1.309956650402455e-05	8.751971928973035e-06	1.981890508716333e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327513355267e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
AT>CC	1.309956650402455e-05	8.751971928973035e-06	1.9818905078068382e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327495165373e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
AT>CG	1.309956650402455e-05	8.751971928973035e-06	1.981890508716333e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327513355267e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
AT>GA	0.00014176298807115018	0.0010076421802628487	0.0037838494375827736	0.001770283944145774	0.0018522090718261098	0.0011672448702051952	0.0017620217318491881	0.0017604280315781295	0.002335198103963876	0.011069795834759475
AT>GC	1.309956650402455e-05	8.751971928973035e-06	1.981890508716333e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327513355267e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
AT>TA	1.309956650402455e-05	8.751971928973035e-06	1.9818905078068382e-05	1.3497263870476672e-05	2.308405297299032e-05	1.8504857803236518e-05	1.4457327495165373e-05	1.3214540246622163e-05	1.7493793118319447e-05	1.903436358588806e-05
