MutationType	ID83A	ID83B
1:Del:C:0	1.26E-07	1.42E-07
1:Del:C:1	4.15E-03	1.96E-03
1:Del:C:2	2.81E-03	1.54E-03
1:Del:C:3	1.61E-03	8.40E-04
1:Del:C:4	9.50E-04	5.65E-04
1:Del:C:5	8.33E-04	5.06E-04
1:Del:T:0	1.26E-07	1.42E-07
1:Del:T:1	2.63E-03	2.10E-03
1:Del:T:2	1.18E-03	5.95E-04
1:Del:T:3	1.71E-03	6.38E-04
1:Del:T:4	1.19E-03	9.61E-04
1:Del:T:5	9.04E-04	3.23E-04
1:Ins:C:0	2.64E-07	1.05E-03
1:Ins:C:1	2.36E-03	1.65E-03
1:Ins:C:2	8.04E-04	7.52E-04
1:Ins:C:3	7.47E-04	4.55E-04
1:Ins:C:4	9.97E-04	7.45E-04
1:Ins:C:5	6.91E-04	5.05E-04
1:Ins:T:0	1.62E-03	2.00E-03
1:Ins:T:1	3.05E-03	1.44E-03
1:Ins:T:2	1.51E-03	5.49E-04
1:Ins:T:3	1.26E-07	1.42E-07
1:Ins:T:4	6.91E-04	4.61E-04
1:Ins:T:5	3.02E-03	1.61E-03
2:Del:R:0	1.22E-03	1.20E-03
2:Del:R:1	1.26E-07	1.42E-07
2:Del:R:2	1.26E-07	1.42E-07
2:Del:R:3	1.26E-07	1.42E-07
2:Del:R:4	1.26E-07	1.42E-07
2:Del:R:5	1.26E-07	1.42E-07
3:Del:R:0	1.23E-03	6.81E-04
3:Del:R:1	1.26E-07	1.42E-07
3:Del:R:2	1.26E-07	1.42E-07
3:Del:R:3	1.26E-07	1.42E-07
3:Del:R:4	1.26E-07	1.42E-07
3:Del:R:5	1.26E-07	1.42E-07
4:Del:R:0	5.95E-04	3.84E-04
4:Del:R:1	1.26E-07	1.42E-07
4:Del:R:2	1.26E-07	1.42E-07
4:Del:R:3	1.26E-07	1.42E-07
4:Del:R:4	1.26E-07	1.42E-07
4:Del:R:5	1.26E-07	1.42E-07
5:Del:R:0	6.32E-03	4.04E-03
5:Del:R:1	1.26E-07	1.42E-07
5:Del:R:2	1.26E-07	1.42E-07
5:Del:R:3	1.26E-07	1.42E-07
5:Del:R:4	1.26E-07	1.42E-07
5:Del:R:5	1.26E-07	1.42E-07
2:Ins:R:0	6.90E-04	2.62E-03
2:Ins:R:1	1.26E-07	1.42E-07
2:Ins:R:2	1.26E-07	1.42E-07
2:Ins:R:3	8.01E-04	4.20E-04
2:Ins:R:4	1.26E-07	1.42E-07
2:Ins:R:5	1.26E-07	1.42E-07
3:Ins:R:0	2.13E-07	1.83E-03
3:Ins:R:1	8.40E-04	5.32E-04
3:Ins:R:2	1.26E-07	1.42E-07
3:Ins:R:3	1.26E-07	1.42E-07
3:Ins:R:4	1.26E-07	1.42E-07
3:Ins:R:5	1.26E-07	1.42E-07
4:Ins:R:0	2.02E-07	1.45E-03
4:Ins:R:1	1.26E-07	1.42E-07
4:Ins:R:2	1.26E-07	1.42E-07
4:Ins:R:3	1.26E-07	1.42E-07
4:Ins:R:4	1.26E-07	1.42E-07
4:Ins:R:5	1.26E-07	1.42E-07
5:Ins:R:0	3.34E-07	6.15E-03
5:Ins:R:1	2.23E-03	1.14E-03
5:Ins:R:2	1.26E-07	1.42E-07
5:Ins:R:3	1.26E-07	1.42E-07
5:Ins:R:4	1.26E-07	1.42E-07
5:Ins:R:5	1.26E-07	1.42E-07
2:Del:M:1	1.66E-03	1.32E-03
3:Del:M:1	8.78E-04	3.87E-04
3:Del:M:2	1.26E-07	1.42E-07
4:Del:M:1	1.23E-03	6.42E-04
4:Del:M:2	7.28E-04	4.03E-04
4:Del:M:3	1.26E-07	1.42E-07
5:Del:M:1	3.64E-03	2.69E-03
5:Del:M:2	1.68E-03	8.01E-04
5:Del:M:3	7.29E-04	6.07E-04
5:Del:M:4	1.26E-07	1.42E-07
5:Del:M:5	1.26E-07	1.42E-07
