Samples	SBS96A
TCGA_44_5645_01A	41
TCGA_44_A479_01A	346
TCGA_49_4510_01A	54
TCGA_49_AARE_01A	1398
TCGA_49_AARN_01A	920
TCGA_49_AARO_01A	666
TCGA_49_AARQ_01A	823
TCGA_4B_A93V_01A	158
TCGA_50_8457_01A	65
TCGA_55_7910_01A	329
TCGA_55_7913_01B	393
TCGA_55_8508_01A	206
TCGA_55_8514_01A	322
TCGA_69_8253_01A	179
TCGA_69_A59K_01A	572
TCGA_86_7714_01A	85
TCGA_99_8025_01A	555
TCGA_99_8028_01A	513
TCGA_99_AA5R_01A	56
TCGA_L9_A5IP_01A	323
TCGA_L9_A8F4_01A	915
TCGA_NJ_A4YF_01A	718
TCGA_S2_AA1A_01A	140
