Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA_78_7159_01A	70	0	14	88	5	123	0	0	30	0
TCGA_78_7161_01A	0	129	0	19	10	13	9	0	16	13
TCGA_78_7220_01A	0	215	191	143	116	80	23	194	0	0
TCGA_83_5908_01A	43	0	37	80	104	0	0	0	8	0
TCGA_86_6851_01A	0	258	212	80	96	93	226	0	0	0
TCGA_86_7954_01A	0	0	73	0	41	0	0	0	31	98
TCGA_86_8056_01A	0	32	37	0	154	0	0	51	23	0
TCGA_86_8074_01A	5	0	0	0	3	0	0	57	7	0
TCGA_91_6830_01A	1	0	2	29	191	0	0	28	1	0
TCGA_91_6836_01A	117	119	15	0	14	86	0	74	18	56
TCGA_91_6840_01A	0	0	0	0	86	10	0	0	22	26
TCGA_91_6847_01A	0	0	15	0	18	0	0	24	35	0
TCGA_95_7039_01A	28	669	0	280	47	283	0	0	27	58
TCGA_95_7043_01A	446	174	90	10	49	232	31	93	30	0
TCGA_95_7948_01A	0	0	0	0	151	0	0	0	11	0
TCGA_95_A4VK_01A	141	0	7	0	2	73	0	62	24	0
TCGA_95_A4VN_01A	107	0	245	73	34	63	0	9	22	18
TCGA_95_A4VP_01A	0	60	0	56	0	0	21	0	11	0
TCGA_97_7547_01A	13	0	0	125	45	0	0	0	15	0
TCGA_97_7553_01A	1	11	0	0	2	0	0	12	19	2
TCGA_97_7941_01A	18	32	0	0	15	0	0	0	7	25
TCGA_97_8175_01A	0	0	0	0	2	13	0	12	3	0
TCGA_97_A4M0_01A	105	32	33	20	76	134	17	0	0	49
TCGA_97_A4M1_01A	0	0	9	0	14	0	5	0	19	0
TCGA_97_A4M3_01A	120	0	0	0	33	59	0	0	16	13
TCGA_99_7458_01A	32	220	66	52	2	60	3	27	6	48
TCGA_J2_8194_01A	0	0	2	0	6	78	49	6	25	0
TCGA_J2_A4AD_01A	38	0	0	0	165	0	159	0	19	0
TCGA_J2_A4AG_01A	0	8	27	0	5	12	0	24	20	0
TCGA_L4_A4E5_01A	134	79	0	51	8	74	8	29	13	0
TCGA_L9_A443_01A	57	0	96	5	8	0	77	10	8	31
TCGA_L9_A444_01A	28	144	368	65	10	0	0	8	20	0
TCGA_MP_A4T4_01A	0	131	137	73	21	0	0	0	16	65
TCGA_MP_A4T9_01A	0	0	0	0	5	0	33	4	0	0
TCGA_MP_A4TF_01A	226	0	0	102	15	0	29	121	3	1
TCGA_MP_A4TH_01A	0	0	12	0	0	76	0	25	18	0
TCGA_NJ_A4YQ_01A	406	178	138	110	2	333	113	0	18	0
TCGA_NJ_A55O_01A	52	38	0	22	7	36	0	0	8	0
TCGA_O1_A52J_01A	25	65	23	0	8	40	19	0	19	0
