MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
AC>CA	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AC>CG	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AC>CT	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AC>GA	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AC>GG	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AC>GT	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AC>TA	0.02073948748920202	0.001721471983922119	0.01924606958237771	0.0010528844577233087	1.2577535883337987e-05	0.011474110433592572	0.003941962795566975
AC>TG	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AC>TT	9.461602210194543e-06	0.0018458278849561793	0.002229455863309874	0.01758820066229348	0.015508259494702088	0.0008476347085392533	0.016797803960988074
AT>CA	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AT>CC	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AT>CG	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AT>GA	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AT>GC	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
AT>TA	0.002234252674518239	0.024507761363745308	0.00809088545761881	0.0032581522609842883	0.007779180863826658	0.01853528062659507	0.015721130572374023
CC>AA	0.6096156817674637	0.48831332132232147	0.29346485394682337	0.32753720066216757	0.20442916260844105	0.004829204211473478	0.5101792741712415
CC>AG	0.0420368152505347	0.027480536247790077	0.3676877211549618	0.007732446334545474	0.005278646976361881	0.018449545415532138	0.022401160169917726
CC>AT	0.007866444997895636	0.02650043673308145	0.0024328819857376265	0.04705958293116815	0.3796067631839105	0.002827767139461198	0.0419393586648269
CC>GA	0.032815058999159416	0.0037077362869382337	0.021941254236066653	0.02611215248387551	0.025635502475841218	0.016612086816901978	0.004787808349055977
CC>GG	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
CC>GT	0.030743700573789282	0.004161061155352437	0.003994408326747445	0.006217333751385517	1.2791891800176813e-05	0.010821221498376872	0.0002809169119445328
CC>TA	0.007330993454056229	0.03260633474928615	0.0079931360987527	0.024315139471539123	0.0354228776350151	0.00947800193923058	0.010638982552615915
CC>TG	1.1420912716175736e-05	1.40597648351104e-05	1.2518542985162639e-05	1.377688796765142e-05	1.6155566095221728e-05	1.653813882057875e-05	1.380108400098834e-05
CC>TT	0.019239999805299522	0.01463127520745342	0.04795600543935269	0.00401881165088807	0.006448820562118426	0.3111414270397199	0.04473066509067504
CG>AT	0.003558307273233936	0.018866059446441454	0.021343593125472467	0.011528935101058235	0.010743304728561186	0.01295502796654091	0.003863319306993982
