Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	672	0.97	170.559	25.381%	28.834	24.347%	0.07477	0.955
TCGA_38_4626_01A	269	0.923	119.447	44.404%	18.08	38.608%	0.22818	0.88
TCGA_38_4627_01A	28	0.665	32.645	116.589%	5.491	74.723%	1.07359	0.586
TCGA_38_4631_01A	849	0.978	199.604	23.51%	28.206	21.11%	0.06057	0.961
TCGA_38_7271_01A	64	0.854	51.313	80.177%	7.508	52.567%	0.5698	0.813
TCGA_44_2655_01A	182	0.929	84.361	46.352%	12.434	37.154%	0.2493	0.895
TCGA_44_2657_01A	465	0.966	140.382	30.19%	19.616	25.826%	0.10317	0.945
TCGA_44_2659_01A	463	0.972	137.359	29.667%	18.419	23.523%	0.11673	0.956
TCGA_44_3396_01A	219	0.936	97.593	44.563%	15.155	35.244%	0.22067	0.911
TCGA_44_3917_01A	254	0.901	124.866	49.16%	17.888	43.668%	0.23796	0.832
TCGA_44_3918_01A	1087	0.984	232.827	21.419%	33.624	17.994%	0.05238	0.975
TCGA_44_4112_01A	508	0.96	157.107	30.927%	22.721	28.019%	0.10149	0.931
TCGA_44_5644_01A	1044	0.982	214.613	20.557%	30.418	19.047%	0.05139	0.967
TCGA_44_6145_01A	346	0.929	152.42	44.052%	23.485	37.031%	0.2075	0.895
TCGA_44_6147_01A	130	0.878	76.398	58.768%	10.93	47.931%	0.3783	0.808
TCGA_44_6774_01A	326	0.944	113.582	34.841%	18.424	33.383%	0.13564	0.911
TCGA_44_6775_01A	72	0.733	58.544	81.311%	8.07	68.204%	0.60359	0.506
TCGA_44_6776_01A	215	0.917	103.194	47.997%	14.75	40.011%	0.20859	0.867
TCGA_44_6779_01A	107	0.841	76.177	71.193%	10.284	54.126%	0.48617	0.751
TCGA_44_7661_01A	289	0.924	113.566	39.296%	16.851	38.327%	0.16146	0.856
TCGA_44_7667_01A	539	0.947	174.258	32.33%	25.449	32.147%	0.11288	0.895
TCGA_44_7670_01A	1231	0.98	273.306	22.202%	40.137	20.091%	0.04938	0.966
TCGA_44_7672_01A	188	0.91	86.177	45.839%	12.354	41.411%	0.24659	0.842
TCGA_44_8117_01A	867	0.989	150.36	17.343%	20.988	14.793%	0.04193	0.982
TCGA_44_A47G_01A	84	0.811	60.062	71.502%	7.983	58.534%	0.50781	0.659
TCGA_44_A4SU_01A	171	0.888	82.284	48.119%	12.25	46.071%	0.28538	0.795
TCGA_49_4487_01A	388	0.951	134.693	34.715%	18.119	31.001%	0.14487	0.907
TCGA_49_4488_01A	316	0.961	100.723	31.874%	14.41	27.804%	0.12687	0.936
TCGA_49_4490_01A	54	0.837	43.437	80.439%	6.33	54.683%	0.63983	0.783
