Samples	DBS78A	DBS78B	DBS78C
TCGA_38_4625_01A	2.64E-01	2.43E-01	1.85E-01
TCGA_38_4626_01A	1.01E-01	1.14E-01	9.75E-02
TCGA_38_4631_01A	3.67E-01	3.91E-01	2.95E-01
TCGA_38_7271_01A	3.14E-02	4.99E-02	4.73E-02
TCGA_44_2655_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_44_2657_01A	1.58E-01	8.32E-02	1.35E-01
TCGA_44_2659_01A	3.59E-01	3.67E-01	3.60E-01
TCGA_44_3396_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_44_3917_01A	1.77E-01	1.97E-01	1.81E-01
TCGA_44_3918_01A	5.71E-01	4.61E-01	4.33E-01
TCGA_44_4112_01A	4.02E-02	4.69E-02	5.02E-02
TCGA_44_5644_01A	3.35E-01	4.37E-01	3.92E-01
TCGA_44_6145_01A	1.79E-01	1.51E-01	1.57E-01
TCGA_44_6147_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6774_01A	2.17E-01	2.11E-01	2.12E-01
TCGA_44_6776_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6779_01A	7.96E-02	7.95E-02	6.65E-02
TCGA_44_7661_01A	1.01E-01	1.19E-01	1.12E-01
TCGA_44_7667_01A	2.44E-01	2.51E-01	2.98E-01
TCGA_44_7670_01A	3.37E-01	2.95E-01	3.13E-01
TCGA_44_7672_01A	1.06E-01	1.14E-01	1.07E-01
TCGA_44_8117_01A	3.83E-01	4.09E-01	3.86E-01
TCGA_44_A4SU_01A	8.08E-02	0.00E+00	8.08E-02
TCGA_49_4487_01A	1.40E-01	7.50E-02	1.40E-01
TCGA_49_4488_01A	8.46E-02	6.87E-02	8.26E-02
TCGA_49_4505_01A	7.45E-02	7.31E-02	7.17E-02
TCGA_49_4506_01A	1.65E-01	1.78E-01	1.28E-01
TCGA_49_4507_01A	1.61E-01	1.74E-01	1.76E-01
TCGA_49_6744_01A	2.11E-01	1.98E-01	1.73E-01
TCGA_49_6761_01A	6.13E-02	9.50E-02	9.03E-02
TCGA_49_6767_01A	1.37E-01	1.44E-01	1.12E-01
TCGA_50_5051_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_50_5941_01A	2.41E-01	2.61E-01	2.39E-01
TCGA_50_5942_01A	6.86E-02	9.30E-02	9.64E-02
TCGA_50_6590_01A	4.85E-01	4.24E-01	3.68E-01
TCGA_50_6592_01A	1.64E-01	2.14E-01	2.44E-01
TCGA_50_6593_01A	1.71E-01	0.00E+00	1.71E-01
TCGA_53_7624_01A	3.25E-01	3.54E-01	2.96E-01
TCGA_53_7813_01A	1.02E-01	1.18E-01	1.11E-01
TCGA_55_6970_01A	6.13E-02	9.32E-02	8.29E-02
TCGA_55_6979_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_55_6985_01A	2.84E-01	3.14E-01	3.05E-01
TCGA_55_7281_01A	1.50E-01	1.27E-01	1.44E-01
TCGA_55_7573_01A	4.02E-02	1.00E-02	4.09E-02
TCGA_55_7574_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_55_7725_01A	3.02E-02	5.00E-02	4.79E-02
TCGA_55_7728_01A	8.32E-02	8.15E-02	5.50E-02
TCGA_55_7911_01A	1.42E-01	1.31E-01	1.56E-01
TCGA_55_7914_01A	1.31E-01	8.12E-02	1.32E-01
TCGA_55_7995_01A	1.01E-01	8.69E-02	8.18E-02
TCGA_55_8096_01A	1.85E-01	1.85E-01	1.62E-01
TCGA_55_8203_01A	1.93E-01	1.10E-01	1.95E-01
TCGA_55_8208_01A	1.29E-01	1.30E-01	1.32E-01
TCGA_55_8299_01A	1.54E-01	1.66E-01	1.44E-01
TCGA_55_8506_01A	3.47E-01	3.30E-01	3.51E-01
TCGA_55_8510_01A	1.96E-01	2.38E-01	1.99E-01
TCGA_55_8511_01A	2.89E-01	2.98E-01	2.50E-01
TCGA_55_8616_01A	4.54E-01	4.19E-01	4.43E-01
TCGA_55_A48X_01A	4.45E-01	4.74E-01	4.16E-01
