Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
TCGA_38_4628_01A	0.00E+00	4.09E-02	0.00E+00	0.00E+00	1.41E-02	0.00E+00	0.00E+00	3.59E-02
TCGA_49_AAQV_01A	0.00E+00	0.00E+00	0.00E+00	1.41E-02	4.02E-02	3.14E-02	2.56E-02	0.00E+00
TCGA_50_6591_01A	2.56E-02	0.00E+00	0.00E+00	4.43E-02	2.43E-02	0.00E+00	2.81E-02	1.41E-02
TCGA_62_8394_01A	0.00E+00	4.29E-02	0.00E+00	0.00E+00	1.41E-02	0.00E+00	0.00E+00	3.94E-02
TCGA_62_8397_01A	1.97E-02	0.00E+00	2.73E-02	0.00E+00	0.00E+00	0.00E+00	1.41E-02	1.41E-02
TCGA_86_7953_01A	1.00E-02	4.29E-02	0.00E+00	0.00E+00	1.41E-02	0.00E+00	0.00E+00	3.78E-02
TCGA_86_8278_01A	1.00E-02	4.09E-02	0.00E+00	0.00E+00	1.41E-02	0.00E+00	0.00E+00	3.86E-02
TCGA_86_8280_01A	0.00E+00	1.00E-02	0.00E+00	0.00E+00	0.00E+00	1.00E-02	0.00E+00	0.00E+00
TCGA_97_8552_01A	0.00E+00	0.00E+00	0.00E+00	1.41E-02	0.00E+00	2.19E-02	2.56E-02	0.00E+00
TCGA_99_8033_01A	1.51E-01	5.71E-02	1.34E-01	5.93E-02	1.97E-02	2.00E-02	3.71E-02	9.04E-02
