MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
GC>AT	2.96E-04	5.06E-06	1.33E-04	6.29E-06	3.82E-06	2.58E-06	5.34E-06	1.09E-05	2.24E-04	2.88E-04
GC>CA	2.96E-04	5.05E-06	1.36E-04	6.03E-06	3.72E-06	2.03E-06	5.34E-06	2.11E-05	2.23E-04	2.90E-04
GC>CG	2.96E-04	5.08E-06	1.34E-04	6.09E-06	2.19E-06	3.17E-06	5.33E-06	1.68E-05	2.24E-04	2.89E-04
GC>TA	2.96E-04	5.05E-06	1.34E-04	6.08E-06	1.10E-06	2.03E-06	5.33E-06	1.40E-05	2.23E-04	2.89E-04
TA>AT	2.96E-04	5.06E-06	1.34E-04	6.08E-06	5.11E-06	3.41E-06	5.35E-06	1.60E-05	2.23E-04	2.98E-04
TA>CG	2.96E-04	5.06E-06	1.34E-04	6.09E-06	2.24E-06	2.23E-06	5.33E-06	6.34E-05	2.23E-04	2.89E-04
TA>CT	2.96E-04	5.07E-06	1.33E-04	6.03E-06	3.57E-06	2.54E-06	5.33E-06	1.69E-05	2.23E-04	2.89E-04
TA>GC	2.96E-04	5.05E-06	1.35E-04	6.17E-06	3.20E-06	2.26E-06	5.36E-06	1.03E-05	2.23E-04	2.89E-04
TA>GG	2.96E-04	5.08E-06	1.34E-04	6.30E-06	1.64E-06	3.22E-06	5.33E-06	2.20E-05	2.23E-04	2.89E-04
TA>GT	2.96E-04	5.10E-06	1.34E-04	6.17E-06	3.21E-06	2.77E-06	5.35E-06	2.44E-05	2.24E-04	2.88E-04
TC>AA	2.96E-04	5.05E-06	1.35E-04	6.12E-06	1.52E-06	3.28E-06	5.33E-06	2.01E-05	2.23E-04	2.91E-04
TC>AG	2.96E-04	5.06E-06	1.35E-04	6.11E-06	1.23E-06	2.37E-06	5.33E-06	1.18E-05	2.24E-04	2.88E-04
TC>AT	2.96E-04	5.06E-06	1.33E-04	6.06E-06	1.75E-06	1.87E-06	5.35E-06	1.49E-05	2.23E-04	2.90E-04
TC>CA	2.96E-04	5.08E-06	1.34E-04	6.13E-06	2.60E-06	2.52E-06	5.36E-06	1.40E-05	2.23E-04	2.91E-04
TC>CG	2.96E-04	5.06E-06	1.37E-04	6.19E-06	2.05E-06	2.16E-06	5.36E-06	1.09E-05	2.23E-04	2.89E-04
TC>CT	2.96E-04	5.05E-06	1.33E-04	6.12E-06	3.07E-06	2.38E-06	5.36E-06	1.67E-05	2.23E-04	2.97E-04
TC>GA	2.96E-04	5.05E-06	1.34E-04	6.10E-06	2.81E-06	1.86E-06	5.33E-06	1.95E-05	2.23E-04	2.89E-04
TC>GG	2.96E-04	5.09E-06	1.36E-04	6.18E-06	5.08E-06	3.42E-06	5.35E-06	1.02E-05	2.24E-04	2.89E-04
TC>GT	2.96E-04	5.06E-06	1.34E-04	6.07E-06	1.77E-06	1.68E-06	5.34E-06	1.02E-05	2.23E-04	2.89E-04
TG>AA	2.96E-04	5.05E-06	1.36E-04	6.15E-06	4.47E-06	3.58E-06	5.35E-06	3.20E-05	2.24E-04	2.88E-04
TG>AC	2.96E-04	5.06E-06	1.34E-04	6.35E-06	5.19E-06	4.16E-06	5.34E-06	1.51E-05	2.24E-04	2.89E-04
TG>AT	2.96E-04	5.06E-06	1.35E-04	6.16E-06	9.48E-07	4.05E-06	5.33E-06	1.68E-05	2.23E-04	2.94E-04
TG>CA	2.96E-04	5.05E-06	1.33E-04	6.17E-06	1.96E-06	2.01E-06	5.33E-06	1.76E-05	2.23E-04	2.89E-04
TG>CC	2.96E-04	5.05E-06	1.34E-04	6.06E-06	5.31E-06	3.13E-06	5.37E-06	2.37E-05	2.23E-04	3.05E-04
TG>CT	2.96E-04	5.05E-06	1.34E-04	6.30E-06	3.88E-06	2.01E-06	5.33E-06	4.23E-05	2.23E-04	2.89E-04
TG>GA	2.96E-04	5.09E-06	1.34E-04	6.13E-06	1.50E-06	3.11E-06	5.32E-06	1.40E-05	2.23E-04	2.89E-04
TG>GC	2.96E-04	5.06E-06	1.34E-04	6.09E-06	3.13E-06	2.34E-06	5.33E-06	1.33E-05	2.23E-04	2.89E-04
TG>GT	2.96E-04	5.06E-06	1.34E-04	6.14E-06	3.76E-06	1.78E-06	5.34E-06	1.78E-05	2.23E-04	2.97E-04
TT>AA	2.96E-04	5.06E-06	1.33E-04	6.14E-06	2.93E-06	2.85E-06	5.33E-06	1.15E-05	2.23E-04	2.89E-04
TT>AC	2.96E-04	5.06E-06	1.35E-04	6.12E-06	1.56E-06	1.77E-06	5.34E-06	2.18E-05	2.23E-04	2.89E-04
TT>AG	2.96E-04	5.05E-06	1.34E-04	6.05E-06	1.34E-06	2.14E-06	5.34E-06	1.21E-05	2.23E-04	2.89E-04
TT>CA	2.96E-04	5.06E-06	1.34E-04	6.13E-06	3.01E-06	1.87E-06	5.33E-06	2.29E-05	2.23E-04	2.89E-04
TT>CC	2.96E-04	5.05E-06	1.38E-04	6.20E-06	1.06E-06	3.77E-06	5.33E-06	1.50E-05	2.23E-04	2.89E-04
TT>CG	2.96E-04	5.06E-06	1.35E-04	6.21E-06	3.82E-06	2.04E-06	5.33E-06	1.44E-05	2.23E-04	2.90E-04
TT>GA	2.96E-04	5.13E-06	1.33E-04	6.25E-06	3.15E-06	2.29E-06	5.34E-06	1.05E-05	2.24E-04	2.94E-04
TT>GC	2.96E-04	5.05E-06	1.34E-04	6.17E-06	4.47E-06	3.06E-06	5.33E-06	1.15E-05	2.23E-04	2.89E-04
TT>GG	2.96E-04	5.29E-06	1.35E-04	6.16E-06	4.75E-06	2.57E-06	5.34E-06	2.88E-05	2.24E-04	2.92E-04
