Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	15	0.746	16.618	110.787%	4.064	66.812%	1.89689	0.722
TCGA_38_4626_01A	11	0.802	10.126	92.055%	2.603	59.717%	1.01562	0.784
TCGA_38_4627_01A	3	0.037	5.919	197.3%	2.405	107.555%	5.12156	-0.014
TCGA_38_4631_01A	34	0.826	30.356	89.282%	7.996	56.54%	1.1098	0.812
TCGA_38_7271_01A	4	0.709	4.904	122.6%	1.782	72.75%	1.80274	0.701
TCGA_44_2655_01A	10	0.467	14.056	140.56%	3.63	97.016%	2.00319	0.409
TCGA_44_2657_01A	9	0.744	10.816	120.178%	3.757	69.766%	1.25028	0.738
TCGA_44_2659_01A	28	0.614	31.832	113.686%	7.92	88.548%	1.48957	0.563
TCGA_44_3396_01A	11	0.512	14.249	129.536%	3.973	91.147%	1.80633	0.463
TCGA_44_3917_01A	4	0.783	4.918	122.95%	2.293	72.511%	1.04603	0.79
TCGA_44_3918_01A	38	0.878	27.082	71.268%	7.299	48.339%	0.57581	0.867
TCGA_44_4112_01A	21	0.727	20.534	97.781%	4.894	76.431%	1.21124	0.69
TCGA_44_5644_01A	41	0.736	38.398	93.654%	9.797	71.643%	1.11334	0.703
TCGA_44_6145_01A	11	0.764	12.039	109.445%	3.932	66.463%	1.5914	0.755
TCGA_44_6147_01A	7	0.447	10.207	145.814%	3.068	92.504%	2.72761	0.403
TCGA_44_6774_01A	10	0.718	12.219	122.19%	3.267	69.653%	1.37652	0.698
TCGA_44_6775_01A	4	0.532	5.593	139.825%	2.175	108.75%	2.45312	0.513
TCGA_44_6776_01A	13	0.69	14.168	108.985%	3.586	74.773%	1.96328	0.656
TCGA_44_6779_01A	5	0.73	5.59	111.8%	1.835	69.356%	1.69064	0.717
TCGA_44_7661_01A	11	0.807	12.527	113.882%	3.271	60.741%	1.47723	0.798
TCGA_44_7667_01A	19	0.68	22.696	119.453%	5.471	75.15%	1.49737	0.647
TCGA_44_7670_01A	46	0.731	42.218	91.778%	11.856	69.862%	0.95931	0.701
TCGA_44_7672_01A	15	0.458	20.494	136.627%	5.244	100.921%	2.42131	0.393
TCGA_44_8117_01A	23	0.842	21.88	95.13%	5.576	54.942%	0.89833	0.832
TCGA_44_A47G_01A	17	0.854	15.058	88.576%	5.879	91.815%	1.31566	0.852
TCGA_44_A4SU_01A	5	0.584	7.897	157.94%	2.711	81.74%	3.15511	0.569
TCGA_49_4487_01A	24	0.585	24.27	101.125%	7.752	85.607%	1.91645	0.541
TCGA_49_4488_01A	16	0.797	14.682	91.762%	4.391	60.892%	1.07084	0.783
TCGA_49_4490_01A	4	0.296	6.464	161.6%	2.036	101.8%	3.16824	0.241
TCGA_49_4505_01A	11	0.296	18.423	167.482%	6.651	171.728%	3.95849	0.256
TCGA_49_4506_01A	9	0.622	10.202	113.356%	2.495	83.167%	1.41307	0.571
TCGA_49_4507_01A	8	0.565	10.224	127.8%	2.928	84.524%	2.04145	0.526
