MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
AC>CA	0.0004909276143987995	0.00382444705261463	0.008428258762531868	0.012288195584311552	0.006405314691955937	0.012147026697114427	0.008762998088388372
AC>CG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
AC>CT	0.0003532949426903542	0.0018522885742923857	0.0075507205944578	0.005841155524419719	0.008943887586083292	0.0033619340303960143	0.010846370647747107
AC>GA	0.0001357837103660131	0.004233586549276538	0.005474623116292607	0.0067445377844637736	0.0016966888976617156	0.00563423424756877	0.005772625671155538
AC>GG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
AC>GT	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
AC>TA	7.441253611730758e-05	0.006029897668857416	0.006160092413846883	0.006877376014033558	0.005089762657873962	0.007644573205485585	0.011786445862152845
AC>TG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
AC>TT	9.573083070108638e-05	0.0051052196082157055	0.005395620831758379	0.0035416339837986755	0.0017244893692327423	0.005728868068076736	0.006611151242317419
AT>CA	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
AT>CC	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
AT>CG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
AT>GA	0.00011410325291194567	0.0022670165978831845	0.0016219150027967544	0.0019099575460492701	0.0015708852415457387	0.0030049557288566574	0.0066118615572895575
AT>GC	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
AT>TA	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
CC>AA	0.9690032827854157	0.012849497734327269	0.04970503774143495	0.019573068008346583	0.0019035785288461682	0.022274470912600465	0.02599772440995139
CC>AG	9.800209955783032e-07	0.014869230208717053	0.002267246527777283	0.009492962456954045	0.5882951900050466	7.826296079375197e-06	8.052597111129444e-06
CC>AT	0.0012318641625835205	0.5521937744555726	0.005654384134138178	0.006236493257092223	0.017377929391714987	0.0032571749912722893	0.007305898468530512
CC>GA	0.0011604487820992887	0.022837292398074284	0.04697260885336592	0.021270101860725615	0.020983421110197194	0.019103862427484186	0.09640013928361926
CC>GG	0.0002598491571458794	0.006810855573910963	0.019202692795797133	0.008981388162881103	0.017547564752838456	0.010976636547920152	0.01568390125535302
CC>GT	0.00020381523889113852	0.0049631403575321545	0.010361363472655398	0.003911530694141163	0.003194599477080828	0.01551725125600683	0.01544336006906633
CC>TA	5.700464097980122e-05	0.022360653774986475	0.011767726542073262	0.025442407641737077	0.02488866375342589	0.029898564400721746	0.029527510641369333
CC>TG	0.0005976977925274695	0.007096264202774591	0.009835485760017377	0.01085151611735057	0.012752172712746415	0.024917505641918324	0.02075691364080342
CC>TT	0.0010645580871260344	0.019124038393306838	0.13451546356873748	0.027138524299110293	0.02499725249607112	0.0307359477338637	0.03629917563236171
CG>AT	0.00020286543328438712	0.003341415512677486	0.013539826486990592	0.001874812945314943	0.005223935424055526	0.005515278310590439	0.004923132249127775
CG>GC	0.00030195597410170193	0.0007511151793013937	0.004923668156836811	0.0009747350893337625	0.004203515726721889	0.0026203378860589054	0.0011790161313933822
CG>GT	0.0009064353197732089	0.004096762666095799	0.017534918928470235	0.01976388379677701	0.004112569133344568	0.009133794539325493	0.008384853821812668
CG>TA	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
CG>TC	0.003991210104829861	0.034896998511551376	0.010345890471124799	0.003067822324000531	0.007490936575281282	0.012226025177329868	0.03537753371669723
CG>TT	0.0002345556672472214	0.017040664230618754	0.006683181977203161	0.03502354236144001	0.010556698423685633	0.23724755549455723	0.012812720750418238
CT>AA	0.0009044225968545083	0.004802463584476718	0.19703922169290308	0.02062217235587938	0.027251201438377903	0.03321582813919265	0.01702033036717485
CT>AC	9.20220187799714e-05	0.0017705088712818907	0.002148068546223385	0.0023141317177902466	0.0009711078109739901	0.005491686360564927	0.004598922823599878
CT>AG	0.0015433899811375794	0.006347147649348131	0.022375422078304154	0.002646267890727261	0.012275718955954744	0.008564926035220424	0.008485826068938707
CT>GA	3.89700994105624e-05	0.00234416709495008	0.001874054041263662	0.0007741309559401088	0.0023265376526205726	0.0031889779089215153	0.006287979797288017
CT>GC	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
CT>GG	9.559453039855726e-06	8.354276657200899e-06	0.006544582140182911	0.003904185790431427	0.0006842976896814434	0.003518312904495815	0.002597828201886898
CT>TA	0.0002427516272237928	0.002145654755080145	0.02761310355811929	0.02176207088049978	0.008284168780729111	0.050947562599596236	0.04594594941838381
CT>TC	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
CT>TG	5.761105048236459e-05	0.0018836094130118396	0.006827746076639869	0.012941041029044982	0.0005730856874413348	0.01524155709684635	0.012690440403207503
GC>AA	0.0005429636027137911	0.049620455135832346	0.010264703006931665	0.031282913611571546	0.025261322510429042	0.01923826773755404	0.18414007498617535
GC>AG	0.0005400083990182125	0.006776229745540263	0.012970604556790945	0.013060841456356656	0.008061156645591722	0.02540187094548173	0.018920510559880248
GC>AT	0.00024246632808853973	0.008059302247218625	0.0057385986974944105	0.007834718840356344	0.00686713905365707	0.005446463527545689	0.009664901846484782
GC>CA	0.0045966865729093346	0.013371609373004958	0.01852724371934663	0.005203125400425676	0.003187469539549284	0.018123776818877103	0.017529014418993825
GC>CG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
GC>TA	0.00022320877042830033	0.002443583016445814	0.002826394246878294	0.0030180745858319822	0.0036803011313804746	0.0017391440544463422	0.0023286309698931974
TA>AT	3.626618862654141e-05	0.0009132249044165519	0.008205794129643493	0.0025297797204143534	0.002554771063046246	0.002580770538806405	0.0030771007583007305
TA>CG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
TA>CT	6.52962409844804e-05	0.0014430537896936357	0.004597522378576286	0.002325363586518847	0.0005073002982703656	0.004252214717405422	0.003533527835779751
TA>GC	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
TA>GG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
TA>GT	0.0002111779059015362	0.004506907985736888	0.009550513216104405	0.00666982985681102	0.001902829128724761	0.004339036492802961	0.008653184406570062
TC>AA	0.00020403717476057918	0.012804870037032172	0.06161716267572587	0.039182476273840215	0.020597581134313758	0.08823672475318813	0.048604980320627295
TC>AG	0.00047362083669213464	0.006595614651008148	0.011134822134027616	0.015957218694406947	0.007434992960303077	0.010891788516845437	0.012269219245050636
TC>AT	0.0010519126300272319	0.002167661236022269	0.01705662834759039	0.015445700196847855	0.006943831994744869	0.008681182223196941	0.012932859614724066
TC>CA	0.00026981992750364726	0.008681074431435717	0.010725514454559857	0.007648134790173007	0.010711798313801566	0.014325511649978537	0.016302909368386055
TC>CG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
TC>CT	0.0004448930656167249	0.009054475986737885	0.01886425458907883	0.019197429287262934	0.01197472432768027	0.012958207748762334	0.021531053048211745
TC>GA	8.717926600866121e-05	0.0017048762310628263	0.0024526723075393875	0.005720810103065332	0.0007556842299118216	0.002027493498151216	0.003650085509004839
TC>GG	0.00014342451580660054	0.0031858995479200304	0.004383181461697063	0.0018541016023607426	0.0004069006238341899	0.002367700324971338	0.005784438012239264
TC>GT	0.0007366273651837218	0.004052783771543318	0.0031241337581053587	0.0004529577882469482	0.00044612689575842526	0.0013173907905286342	0.001097061934103749
TG>AA	0.00012711044764962765	0.014098662789574277	0.04160262199144114	0.0068765269815776265	0.01320990762159397	0.019862998108522448	0.04654390680472489
TG>AC	9.839232186550362e-06	0.0008359845695386525	0.002246695874687248	0.0010511265219876264	0.0023564508628714977	0.006264303040096592	0.005399739702943407
TG>AT	3.471958361492674e-06	0.03401621331254341	0.03980413402867604	0.027886892935375322	0.008396737676681641	0.09328411755432513	0.06297843405617305
TG>CA	6.687215109650424e-05	0.0007123429738236098	0.0012609724983690285	0.00430315787932841	0.00014243275656099284	0.006329042887869036	0.003346271737548818
TG>CC	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
TG>CT	4.912418365585403e-07	0.008654345168183865	0.008760221642071126	0.4565112665579181	0.0028407072108612135	0.013999471329287179	0.005114943383324594
TG>GA	0.00024695620054885123	0.005690517126724331	0.01009146232927037	0.004295689413323487	0.0073761100970250485	0.007096084176148167	0.010145229363871522
TG>GC	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
TG>GT	0.004636149723239735	0.011224615778611877	0.026159237120278078	0.001148882243264353	0.013822133862897773	0.013330132868881038	0.008463601836288604
TT>AA	0.0009446188668505329	0.007495073827557235	0.011792920208516761	0.008205243258360327	0.01312921178335614	0.016898017673689942	0.012723761844641785
TT>AC	0.00011950155957947573	0.006591177567793914	0.005471042243767102	0.0035360074050737465	0.0025224790771915194	0.007403392515534506	0.005608002976146054
TT>AG	6.382852780006942e-05	0.002512268512578828	0.0027851199582653407	0.0015724316478474521	0.0007101538553934006	0.001967109806635108	0.003955264580445146
TT>CA	0.00023746124289345972	0.006185210018527414	0.004223019593597712	0.008159298385222655	0.0014402025110734939	0.004411756100091679	0.002979959545797897
TT>CC	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
TT>CG	1.2795923194062197e-05	1.1465219027400052e-05	1.6081319467957656e-05	1.458467973407096e-05	2.1472929847732303e-05	1.789155142432719e-05	1.8798148225869226e-05
TT>GA	1.0292386780292873e-05	0.0004922142814993435	0.0010300093694104362	0.002964898241807532	0.0009404972117908983	0.005691834474563393	0.004170323019948228
TT>GC	1.2795923194062197e-05	1.146521902285258e-05	1.6081319458862708e-05	1.45846797613558e-05	2.1472929847732303e-05	1.789155145161203e-05	1.8798148225869226e-05
TT>GG	1.2795923194062197e-05	1.146521902285258e-05	1.6081319458862708e-05	1.45846797613558e-05	2.1472929847732303e-05	1.789155145161203e-05	1.8798148225869226e-05
