MutationType	ID83A	ID83B	ID83C
1:Del:C:0	1.01E-07	3.21E-07	2.76E-07
1:Del:C:1	9.50E-04	1.16E-02	1.01E-02
1:Del:C:2	1.33E-03	6.45E-03	3.77E-03
1:Del:C:3	6.38E-04	3.11E-03	2.59E-03
1:Del:C:4	5.57E-04	1.54E-03	1.07E-03
1:Del:C:5	3.49E-04	1.65E-03	8.06E-04
1:Del:T:0	1.01E-07	3.21E-07	2.76E-07
1:Del:T:1	2.18E-03	6.02E-03	3.99E-03
1:Del:T:2	2.94E-04	2.30E-03	1.65E-03
1:Del:T:3	5.88E-04	3.58E-03	2.66E-03
1:Del:T:4	8.94E-04	2.42E-03	1.75E-03
1:Del:T:5	2.83E-04	1.55E-03	1.14E-03
1:Ins:C:0	1.17E-03	3.47E-07	3.42E-07
1:Ins:C:1	1.30E-03	4.63E-03	4.23E-03
1:Ins:C:2	8.11E-04	1.55E-03	7.03E-04
1:Ins:C:3	1.02E-04	1.42E-03	9.26E-04
1:Ins:C:4	4.53E-04	1.76E-03	1.70E-03
1:Ins:C:5	2.62E-04	1.52E-03	7.71E-04
1:Ins:T:0	1.80E-03	2.78E-03	2.48E-03
1:Ins:T:1	1.24E-03	7.73E-03	4.72E-03
1:Ins:T:2	8.18E-05	2.98E-03	2.41E-03
1:Ins:T:3	1.01E-07	3.21E-07	2.76E-07
1:Ins:T:4	2.19E-04	1.32E-03	9.93E-04
1:Ins:T:5	9.69E-04	6.99E-03	4.61E-03
2:Del:R:0	9.64E-04	2.64E-03	1.35E-03
2:Del:R:1	1.01E-07	3.21E-07	2.76E-07
2:Del:R:2	1.01E-07	3.21E-07	2.76E-07
2:Del:R:3	1.01E-07	3.21E-07	2.76E-07
2:Del:R:4	1.01E-07	3.21E-07	2.76E-07
2:Del:R:5	1.01E-07	3.21E-07	2.76E-07
3:Del:R:0	3.76E-04	2.41E-03	1.47E-03
3:Del:R:1	1.01E-07	3.21E-07	2.76E-07
3:Del:R:2	1.01E-07	3.21E-07	2.76E-07
3:Del:R:3	1.01E-07	3.21E-07	2.76E-07
3:Del:R:4	1.01E-07	3.21E-07	2.76E-07
3:Del:R:5	1.01E-07	3.21E-07	2.76E-07
4:Del:R:0	2.86E-04	1.17E-03	9.32E-04
4:Del:R:1	1.01E-07	3.21E-07	2.76E-07
4:Del:R:2	1.01E-07	3.21E-07	2.76E-07
4:Del:R:3	1.01E-07	3.21E-07	2.76E-07
4:Del:R:4	1.01E-07	3.21E-07	2.76E-07
4:Del:R:5	1.01E-07	3.21E-07	2.76E-07
5:Del:R:0	2.32E-03	5.63E-03	9.29E-03
5:Del:R:1	1.01E-07	3.21E-07	2.76E-07
5:Del:R:2	1.01E-07	3.21E-07	2.76E-07
5:Del:R:3	1.01E-07	3.21E-07	2.76E-07
5:Del:R:4	1.01E-07	3.21E-07	2.76E-07
5:Del:R:5	1.01E-07	3.21E-07	2.76E-07
2:Ins:R:0	3.10E-03	3.35E-03	1.17E-03
2:Ins:R:1	1.01E-07	3.21E-07	2.76E-07
2:Ins:R:2	1.01E-07	3.21E-07	2.76E-07
2:Ins:R:3	3.67E-04	1.29E-03	1.09E-03
2:Ins:R:4	1.01E-07	3.21E-07	2.76E-07
2:Ins:R:5	1.01E-07	3.21E-07	2.76E-07
3:Ins:R:0	2.05E-03	3.28E-07	2.93E-07
3:Ins:R:1	5.16E-04	1.13E-03	1.28E-03
3:Ins:R:2	1.01E-07	3.21E-07	2.76E-07
3:Ins:R:3	1.01E-07	3.21E-07	2.76E-07
3:Ins:R:4	1.01E-07	3.21E-07	2.76E-07
3:Ins:R:5	1.01E-07	3.21E-07	2.76E-07
4:Ins:R:0	1.69E-03	3.08E-07	2.95E-07
4:Ins:R:1	1.01E-07	3.21E-07	2.76E-07
4:Ins:R:2	1.01E-07	3.21E-07	2.76E-07
4:Ins:R:3	1.01E-07	3.21E-07	2.76E-07
4:Ins:R:4	1.01E-07	3.21E-07	2.76E-07
4:Ins:R:5	1.01E-07	3.21E-07	2.76E-07
5:Ins:R:0	5.16E-03	5.27E-07	5.64E-07
5:Ins:R:1	7.15E-04	5.85E-03	3.54E-03
5:Ins:R:2	1.01E-07	3.21E-07	2.76E-07
5:Ins:R:3	1.01E-07	3.21E-07	2.76E-07
5:Ins:R:4	1.01E-07	3.21E-07	2.76E-07
5:Ins:R:5	1.01E-07	3.21E-07	2.76E-07
2:Del:M:1	1.23E-03	2.69E-03	3.03E-03
3:Del:M:1	1.57E-07	1.12E-03	1.38E-03
3:Del:M:2	1.01E-07	3.21E-07	2.76E-07
4:Del:M:1	2.06E-04	2.32E-03	1.74E-03
4:Del:M:2	2.31E-04	1.51E-03	1.11E-03
4:Del:M:3	1.01E-07	3.21E-07	2.76E-07
5:Del:M:1	1.52E-03	9.37E-03	6.97E-03
5:Del:M:2	1.53E-04	3.25E-03	2.56E-03
5:Del:M:3	6.87E-04	1.06E-03	4.77E-04
5:Del:M:4	1.01E-07	3.21E-07	2.76E-07
5:Del:M:5	1.01E-07	3.21E-07	2.76E-07
