Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
TCGA_38_4625_01A	8.20E-02	2.72E-01	3.18E-01	2.04E-01	1.37E-01	1.10E-01	2.32E-01	1.97E-01	1.17E-01
TCGA_38_4626_01A	0.00E+00	2.06E-01	2.17E-01	3.15E-02	1.90E-01	1.73E-01	1.15E-01	1.53E-01	9.56E-02
TCGA_38_4627_01A	0.00E+00	2.43E-02	2.00E-02	4.42E-02	7.47E-02	1.18E-01	6.61E-02	7.64E-02	5.98E-02
TCGA_38_4631_01A	1.38E-01	5.79E-01	5.61E-01	2.07E-01	4.75E-01	3.51E-01	2.16E-01	1.07E-01	3.29E-01
TCGA_38_7271_01A	0.00E+00	1.10E-01	1.25E-01	0.00E+00	3.00E-02	1.41E-02	0.00E+00	9.37E-02	1.00E-02
TCGA_44_2655_01A	3.21E-02	1.15E-01	1.88E-01	1.39E-01	2.51E-01	1.42E-01	1.95E-01	1.30E-01	1.62E-01
TCGA_44_2657_01A	0.00E+00	2.26E-01	1.86E-01	2.00E-02	1.65E-01	1.32E-01	3.07E-02	7.87E-02	5.81E-02
TCGA_44_2659_01A	1.18E-01	1.94E-01	4.58E-01	3.53E-01	3.79E-01	3.82E-01	3.43E-01	3.12E-01	2.63E-01
TCGA_44_3396_01A	0.00E+00	1.38E-01	1.75E-01	3.02E-01	1.89E-01	1.08E-01	2.22E-01	8.60E-02	1.48E-01
TCGA_44_3917_01A	0.00E+00	1.40E-01	1.32E-01	0.00E+00	5.34E-02	0.00E+00	0.00E+00	4.86E-02	0.00E+00
TCGA_44_3918_01A	0.00E+00	6.07E-01	6.06E-01	1.12E-01	5.09E-01	4.23E-01	3.46E-01	1.66E-01	3.62E-01
TCGA_44_4112_01A	1.13E-01	2.78E-01	2.74E-01	2.51E-01	2.69E-01	2.87E-01	2.17E-01	1.46E-01	1.62E-01
TCGA_44_5644_01A	1.73E-01	5.57E-01	3.83E-01	3.81E-01	4.44E-01	5.45E-01	4.04E-01	2.73E-01	3.16E-01
TCGA_44_6145_01A	0.00E+00	2.43E-01	2.37E-01	0.00E+00	1.42E-01	5.45E-02	2.61E-02	1.78E-01	5.45E-02
TCGA_44_6147_01A	0.00E+00	1.71E-01	8.55E-02	1.41E-02	3.79E-02	1.15E-01	3.62E-02	1.65E-01	1.64E-01
TCGA_44_6774_01A	0.00E+00	1.95E-01	1.75E-01	1.46E-01	1.29E-01	1.11E-01	1.54E-01	1.25E-01	9.71E-02
TCGA_44_6775_01A	1.24E-01	5.91E-02	5.32E-02	6.97E-02	8.86E-02	1.10E-01	1.41E-01	8.12E-02	5.98E-02
TCGA_44_6776_01A	1.04E-01	2.27E-01	2.47E-01	1.09E-01	1.57E-01	1.55E-01	2.04E-01	1.62E-01	1.45E-01
TCGA_44_6779_01A	0.00E+00	1.19E-01	1.60E-01	0.00E+00	1.21E-01	5.75E-02	4.72E-02	5.81E-02	5.66E-02
TCGA_44_7661_01A	2.78E-02	2.40E-01	2.59E-01	1.71E-02	1.32E-01	8.78E-02	1.01E-01	1.55E-01	1.25E-01
TCGA_44_7667_01A	0.00E+00	3.02E-01	2.91E-01	1.54E-01	1.74E-01	2.96E-01	1.93E-01	1.96E-01	2.52E-01
