MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
2:Ins:R:0	1.86E-03	2.62E-03	2.93E-03	1.31E-03	2.72E-03	1.23E-03	1.32E-03	1.25E-03
2:Ins:R:1	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
2:Ins:R:2	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
2:Ins:R:3	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
2:Ins:R:4	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
2:Ins:R:5	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
3:Ins:R:0	1.01E-03	1.60E-03	1.68E-03	3.10E-03	4.84E-04	1.10E-03	5.65E-03	2.32E-03
3:Ins:R:1	1.25E-03	3.18E-03	2.45E-03	2.81E-03	3.90E-03	1.60E-03	4.00E-03	5.06E-03
3:Ins:R:2	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
3:Ins:R:3	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
3:Ins:R:4	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
3:Ins:R:5	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
4:Ins:R:0	7.65E-04	2.40E-03	1.62E-03	7.28E-04	7.46E-04	6.89E-04	3.28E-03	9.83E-04
4:Ins:R:1	2.37E-07	2.79E-07	4.48E-07	2.32E-04	4.64E-07	3.05E-03	1.90E-04	5.19E-07
4:Ins:R:2	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
4:Ins:R:3	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
4:Ins:R:4	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
