Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA_97_A4M0_01A	136	61	84	90	92	0	3
TCGA_97_A4M1_01A	2	9	0	15	0	0	21
TCGA_97_A4M3_01A	135	0	31	39	15	0	21
TCGA_99_7458_01A	91	93	262	5	22	33	10
TCGA_J2_8194_01A	0	12	67	9	32	15	31
TCGA_J2_A4AD_01A	9	85	22	188	55	0	22
TCGA_J2_A4AG_01A	15	19	9	5	0	25	23
TCGA_L4_A4E5_01A	146	0	168	9	29	29	15
TCGA_L9_A443_01A	35	145	39	12	26	25	10
TCGA_L9_A444_01A	191	396	0	9	22	0	25
TCGA_MP_A4T4_01A	105	202	0	27	85	0	24
TCGA_MP_A4T9_01A	0	1	2	6	14	19	0
TCGA_MP_A4TF_01A	272	0	0	18	71	128	8
TCGA_MP_A4TH_01A	0	34	18	0	31	26	22
TCGA_NJ_A4YQ_01A	494	133	473	11	158	0	29
TCGA_NJ_A55O_01A	50	0	96	8	0	0	9
TCGA_O1_A52J_01A	42	18	108	9	0	0	22
