Samples	ID83A	ID83B	ID83C	ID83D
TCGA_38_4625_01A	3.58E-01	9.02E-02	3.13E-01	3.60E-01
TCGA_38_4626_01A	2.87E-01	0.00E+00	8.18E-02	2.85E-01
TCGA_38_4627_01A	1.02E-01	4.73E-02	1.17E-01	1.37E-01
TCGA_38_4631_01A	6.64E-01	1.47E-01	3.11E-01	6.21E-01
TCGA_38_7271_01A	1.51E-01	0.00E+00	5.34E-02	1.50E-01
TCGA_44_2655_01A	2.65E-01	1.48E-01	2.51E-01	3.23E-01
TCGA_44_2657_01A	2.51E-01	0.00E+00	6.87E-02	2.41E-01
TCGA_44_2659_01A	7.27E-01	1.51E-01	5.31E-01	7.22E-01
TCGA_44_3396_01A	2.01E-01	0.00E+00	2.61E-01	2.17E-01
TCGA_44_3917_01A	1.33E-01	0.00E+00	0.00E+00	1.33E-01
TCGA_44_3918_01A	7.63E-01	0.00E+00	2.48E-01	7.74E-01
TCGA_44_4112_01A	4.11E-01	1.49E-01	3.47E-01	2.99E-01
TCGA_44_5644_01A	7.70E-01	1.94E-01	5.04E-01	7.51E-01
TCGA_44_6145_01A	3.09E-01	1.00E-02	5.45E-02	3.11E-01
TCGA_44_6147_01A	2.30E-01	0.00E+00	1.32E-01	2.39E-01
TCGA_44_6774_01A	2.79E-01	0.00E+00	2.09E-01	2.85E-01
TCGA_44_6775_01A	1.26E-01	1.51E-01	1.19E-01	1.25E-01
TCGA_44_6776_01A	3.27E-01	1.39E-01	1.90E-01	2.92E-01
TCGA_44_6779_01A	1.59E-01	0.00E+00	1.19E-01	1.47E-01
TCGA_44_7661_01A	2.88E-01	5.00E-02	7.02E-02	2.90E-01
TCGA_44_7667_01A	3.86E-01	2.00E-02	1.98E-01	3.82E-01
TCGA_44_7670_01A	8.53E-01	0.00E+00	5.70E-01	8.28E-01
TCGA_44_7672_01A	3.36E-01	1.16E-01	3.11E-01	3.91E-01
TCGA_44_8117_01A	5.39E-01	0.00E+00	3.73E-01	5.09E-01
TCGA_44_A47G_01A	8.65E-02	2.38E-01	1.71E-01	2.33E-01
TCGA_44_A4SU_01A	2.07E-01	6.72E-02	5.45E-02	2.11E-01
TCGA_49_4487_01A	5.00E-01	0.00E+00	3.32E-01	5.70E-01
TCGA_49_4488_01A	3.89E-01	9.54E-02	2.08E-01	2.96E-01
TCGA_49_4490_01A	1.08E-01	0.00E+00	1.47E-01	1.33E-01
TCGA_49_4505_01A	3.16E-01	1.01E-01	1.87E-01	3.32E-01
TCGA_49_4506_01A	2.12E-01	2.13E-01	9.01E-02	2.38E-01
TCGA_49_4507_01A	2.49E-01	9.62E-02	1.37E-01	2.45E-01
TCGA_49_6744_01A	3.26E-01	0.00E+00	2.48E-01	3.11E-01
TCGA_49_6761_01A	1.59E-01	7.47E-02	1.63E-01	2.00E-01
TCGA_49_6767_01A	4.00E-01	8.51E-02	2.03E-01	3.53E-01
TCGA_50_5051_01A	2.76E-01	5.09E-02	2.59E-01	2.92E-01
TCGA_50_5941_01A	7.99E-01	4.11E-02	3.79E-01	7.43E-01
TCGA_50_5942_01A	1.84E-01	9.69E-02	9.60E-02	1.90E-01
TCGA_50_6590_01A	6.42E-01	0.00E+00	4.47E-01	6.22E-01
TCGA_50_6592_01A	3.05E-01	1.10E-01	3.56E-01	2.95E-01
TCGA_50_6593_01A	3.78E-01	2.17E-01	1.98E-01	3.62E-01
TCGA_50_6595_01A	1.43E-01	0.00E+00	8.39E-02	1.59E-01
TCGA_53_7624_01A	5.64E-01	0.00E+00	2.60E-01	5.42E-01
TCGA_53_7813_01A	2.29E-01	0.00E+00	1.64E-01	2.33E-01
TCGA_55_6543_01A	5.06E-02	0.00E+00	8.08E-02	8.16E-02
TCGA_55_6970_01A	1.36E-01	1.00E-02	5.98E-02	1.25E-01
TCGA_55_6971_01A	1.89E-01	2.00E-02	1.24E-01	1.62E-01
TCGA_55_6979_01A	2.27E-01	0.00E+00	1.82E-01	2.07E-01
TCGA_55_6981_01A	1.36E-01	4.00E-02	9.76E-02	1.57E-01
TCGA_55_6985_01A	3.93E-01	0.00E+00	2.56E-01	3.56E-01
TCGA_55_7281_01A	4.13E-01	0.00E+00	3.17E-01	3.52E-01
TCGA_55_7573_01A	2.15E-01	0.00E+00	1.10E-01	2.21E-01
TCGA_55_7574_01A	2.61E-01	1.06E-01	1.53E-01	2.45E-01
TCGA_55_7725_01A	3.35E-01	0.00E+00	2.13E-01	2.88E-01
TCGA_55_7726_01A	1.31E-01	1.71E-02	1.20E-01	1.38E-01
TCGA_55_7728_01A	5.20E-02	2.61E-02	8.44E-02	8.97E-02
TCGA_55_7911_01A	3.46E-01	0.00E+00	1.82E-01	3.55E-01
TCGA_55_7914_01A	1.48E-01	0.00E+00	1.78E-01	1.49E-01
TCGA_55_7995_01A	5.24E-01	1.41E-02	3.60E-01	4.84E-01
TCGA_55_8096_01A	1.82E-01	1.22E-01	9.20E-02	1.96E-01
TCGA_55_8097_01A	2.20E-01	1.21E-01	9.10E-02	2.05E-01
TCGA_55_8203_01A	3.63E-01	9.62E-02	3.06E-01	3.16E-01
TCGA_55_8208_01A	3.30E-01	0.00E+00	1.91E-01	3.62E-01
TCGA_55_8299_01A	2.05E-01	0.00E+00	8.95E-02	1.94E-01
TCGA_55_8506_01A	9.18E-01	0.00E+00	1.60E+00	1.31E+00
TCGA_55_8510_01A	4.78E-01	0.00E+00	3.54E-01	4.28E-01
TCGA_55_8511_01A	6.66E-01	5.51E-02	4.59E-01	5.90E-01
TCGA_55_8616_01A	1.06E-01	1.06E-01	0.00E+00	0.00E+00
TCGA_55_A48X_01A	2.07E-01	3.02E-01	1.51E-01	3.20E-01
TCGA_55_A48Z_01A	3.59E-02	0.00E+00	2.56E-02	4.16E-02
TCGA_55_A492_01A	5.36E-01	4.64E-01	3.81E-01	5.54E-01
TCGA_55_A493_01A	2.48E-01	4.44E-01	2.27E-01	4.03E-01
TCGA_55_A494_01A	2.41E-01	0.00E+00	2.33E-01	2.66E-01
TCGA_62_A46O_01A	7.77E-01	6.40E-01	6.52E-01	6.87E-01
TCGA_62_A46R_01A	3.49E-01	1.19E-01	2.57E-01	2.48E-01
TCGA_64_1679_01A	5.15E-01	0.00E+00	2.01E-01	5.01E-01
TCGA_64_1681_01A	1.02E-01	0.00E+00	1.78E-01	1.66E-01
TCGA_64_5781_01A	8.12E-01	3.30E-02	5.29E-01	7.51E-01
TCGA_67_3770_01A	2.78E-01	1.26E-01	1.67E-01	2.25E-01
TCGA_67_3774_01A	1.78E-01	2.81E-02	2.35E-01	2.58E-01
TCGA_67_6217_01A	2.48E-01	1.27E-01	1.95E-01	2.55E-01
TCGA_69_7973_01A	3.72E-01	0.00E+00	3.55E-01	3.49E-01
TCGA_69_7974_01A	4.99E-01	0.00E+00	4.57E-01	5.14E-01
TCGA_69_7979_01A	7.33E-01	2.80E-01	2.73E-01	7.39E-01
TCGA_69_7980_01A	6.05E-01	1.21E-01	3.60E-01	6.13E-01
TCGA_73_4662_01A	3.48E-01	0.00E+00	1.78E-01	3.44E-01
TCGA_73_4666_01A	3.95E-01	0.00E+00	2.03E-01	4.14E-01
TCGA_73_4670_01A	7.72E-01	1.28E-01	4.66E-01	7.46E-01
TCGA_73_7498_01A	1.81E-01	0.00E+00	1.68E-01	2.07E-01
TCGA_78_7145_01A	1.66E-01	0.00E+00	1.93E-01	1.56E-01
TCGA_78_7146_01A	3.36E-01	1.01E-01	1.68E-01	3.03E-01
TCGA_78_7147_01A	5.78E-01	0.00E+00	2.86E-01	5.30E-01
TCGA_78_7153_01A	2.40E-01	0.00E+00	1.58E-01	2.71E-01
TCGA_78_7158_01A	4.37E-01	0.00E+00	1.64E-01	4.50E-01
TCGA_78_7159_01A	5.07E-01	1.00E-02	4.72E-01	5.39E-01
TCGA_78_7161_01A	2.55E-01	0.00E+00	2.35E-01	2.42E-01
TCGA_78_7220_01A	6.53E-01	1.35E-01	2.52E-01	5.88E-01
TCGA_83_5908_01A	2.65E-01	0.00E+00	8.95E-02	2.63E-01
TCGA_86_6851_01A	6.90E-01	0.00E+00	3.14E-01	7.04E-01
TCGA_86_7954_01A	2.53E-01	9.53E-02	1.55E-01	2.34E-01
TCGA_86_8056_01A	1.81E-01	0.00E+00	2.05E-01	2.07E-01
TCGA_86_8074_01A	6.72E-02	9.40E-02	1.50E-01	1.68E-01
TCGA_91_6830_01A	2.42E-01	0.00E+00	2.73E-01	2.52E-01
TCGA_91_6836_01A	3.72E-01	0.00E+00	3.10E-01	3.06E-01
TCGA_91_6840_01A	1.37E-01	0.00E+00	1.80E-01	1.86E-01
TCGA_91_6847_01A	1.77E-01	0.00E+00	1.63E-01	2.29E-01
TCGA_95_7039_01A	1.01E+00	1.52E-01	6.08E-01	1.07E+00
TCGA_95_7043_01A	1.01E+00	1.14E-01	4.90E-01	8.75E-01
TCGA_95_7948_01A	2.14E-01	0.00E+00	1.71E-01	2.36E-01
TCGA_95_A4VK_01A	1.63E-01	9.58E-02	2.00E-02	1.33E-01
TCGA_95_A4VN_01A	5.31E-01	0.00E+00	3.15E-01	5.40E-01
TCGA_95_A4VP_01A	1.81E-01	9.78E-02	1.41E-02	1.89E-01
TCGA_97_7547_01A	2.02E-01	0.00E+00	1.64E-01	2.43E-01
TCGA_97_7553_01A	1.82E-01	1.15E-01	8.09E-02	2.00E-01
TCGA_97_7941_01A	1.73E-01	9.04E-02	1.53E-01	2.22E-01
TCGA_97_8175_01A	7.32E-02	0.00E+00	7.51E-02	9.14E-02
TCGA_97_A4M0_01A	4.28E-01	0.00E+00	4.06E-01	3.37E-01
TCGA_97_A4M1_01A	3.59E-02	0.00E+00	2.56E-02	4.16E-02
TCGA_97_A4M3_01A	2.22E-01	1.16E-01	1.14E-01	2.17E-01
TCGA_99_7458_01A	5.22E-01	6.60E-02	2.60E-01	5.12E-01
TCGA_J2_8194_01A	1.79E-01	0.00E+00	6.77E-02	1.83E-01
TCGA_J2_A4AD_01A	4.48E-01	0.00E+00	1.58E-01	4.59E-01
TCGA_J2_A4AG_01A	2.75E-01	2.00E-02	2.34E-01	3.25E-01
TCGA_L4_A4E5_01A	1.25E-01	0.00E+00	5.00E-02	1.17E-01
TCGA_L9_A443_01A	3.08E-01	2.70E-01	2.88E-01	3.36E-01
TCGA_L9_A444_01A	5.32E-01	3.00E-01	5.12E-01	3.92E-01
TCGA_MP_A4T4_01A	5.32E-01	4.45E-02	3.38E-01	4.67E-01
TCGA_MP_A4T9_01A	3.59E-02	0.00E+00	2.56E-02	4.16E-02
TCGA_MP_A4TF_01A	4.12E-01	0.00E+00	2.67E-01	4.54E-01
TCGA_MP_A4TH_01A	2.07E-01	0.00E+00	9.05E-02	1.89E-01
TCGA_NJ_A4YQ_01A	9.58E-01	0.00E+00	5.91E-01	8.01E-01
TCGA_NJ_A55O_01A	2.14E-01	1.00E-02	7.37E-02	2.14E-01
TCGA_O1_A52J_01A	2.54E-01	0.00E+00	1.99E-01	2.69E-01
