Samples	ID83A	ID83B	ID83C	ID83D
TCGA_78_7220_01A	25	1	0	6
TCGA_83_5908_01A	7	0	0	2
TCGA_86_6851_01A	32	0	2	3
TCGA_86_7954_01A	7	1	0	0
TCGA_86_8056_01A	1	0	3	3
TCGA_86_8074_01A	0	0	0	4
TCGA_91_6830_01A	4	0	5	0
TCGA_91_6836_01A	2	0	8	2
TCGA_91_6840_01A	0	0	2	4
TCGA_91_6847_01A	0	0	0	6
TCGA_95_7039_01A	44	2	21	0
TCGA_95_7043_01A	53	0	9	0
TCGA_95_7948_01A	0	0	0	7
TCGA_95_A4VK_01A	6	1	0	0
TCGA_95_A4VN_01A	10	0	5	9
TCGA_95_A4VP_01A	3	0	0	2
TCGA_97_7547_01A	0	0	0	7
TCGA_97_7553_01A	0	1	0	7
TCGA_97_7941_01A	1	1	0	5
TCGA_97_8175_01A	0	0	0	2
TCGA_97_A4M0_01A	11	0	6	0
TCGA_97_A4M1_01A	0	0	0	1
TCGA_97_A4M3_01A	4	2	0	0
TCGA_99_7458_01A	12	0	4	7
TCGA_J2_8194_01A	1	0	0	4
TCGA_J2_A4AD_01A	10	0	0	7
TCGA_J2_A4AG_01A	8	0	0	0
TCGA_L4_A4E5_01A	7	0	0	0
TCGA_L9_A443_01A	5	6	0	3
TCGA_L9_A444_01A	11	10	15	0
TCGA_MP_A4T4_01A	12	0	5	0
TCGA_MP_A4T9_01A	0	0	0	1
TCGA_MP_A4TF_01A	8	0	2	8
TCGA_MP_A4TH_01A	5	0	1	1
TCGA_NJ_A4YQ_01A	33	0	15	0
TCGA_NJ_A55O_01A	7	0	0	0
TCGA_O1_A52J_01A	1	0	1	7
