Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA_44_5645_01A	0	0	0	0	0	41
TCGA_44_A479_01A	247	27	0	72	0	0
TCGA_49_4510_01A	9	9	5	18	0	13
TCGA_49_AARE_01A	626	368	28	226	37	113
TCGA_49_AARN_01A	7	0	1	0	912	0
TCGA_49_AARO_01A	490	145	0	31	0	0
TCGA_49_AARQ_01A	0	531	171	117	4	0
TCGA_4B_A93V_01A	62	0	0	1	12	83
TCGA_50_8457_01A	10	0	0	16	0	39
TCGA_55_7910_01A	119	0	133	0	0	77
TCGA_55_7913_01B	130	0	23	156	3	81
TCGA_55_8508_01A	27	1	0	31	8	139
TCGA_55_8514_01A	0	0	273	15	0	34
TCGA_69_8253_01A	6	45	0	32	14	82
TCGA_69_A59K_01A	113	59	338	58	4	0
TCGA_86_7714_01A	0	0	0	2	2	81
TCGA_99_8025_01A	17	0	0	532	6	0
TCGA_99_8028_01A	450	0	0	0	0	63
TCGA_99_AA5R_01A	15	0	41	0	0	0
TCGA_L9_A5IP_01A	110	0	186	12	15	0
TCGA_L9_A8F4_01A	0	682	0	24	38	171
TCGA_NJ_A4YF_01A	46	527	145	0	0	0
TCGA_S2_AA1A_01A	0	71	55	0	0	14
