MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
1:Del:C:1	0.007837029805705857	0.0475081591370387	0.44296683973257245	0.009070481051308426	0.020688361035274463	0.014022805515944724	0.019960397946395415
1:Del:C:2	9.058201073913543e-07	0.00859363564756311	0.016029402734322098	0.033745356043210405	0.06893051502256246	0.1272423702818556	0.04972563992653474
1:Del:C:3	0.001281163393920517	0.008163369706454083	0.012282908924236509	0.03872877253354261	0.02140603452965296	0.014983121370070194	0.042170065207621406
1:Del:C:4	1.7995491204203517e-06	0.00038675468577594076	0.015867793665170212	0.00463676079984225	0.0011317875122045962	0.007388405888559646	0.02907733478543264
1:Del:C:5	1.7877481997885524e-06	0.001176424333881414	0.010418228524908955	0.005938100865469096	0.0010007242145684359	0.00511935434649331	0.01660427097767865
1:Del:T:0	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
1:Del:T:1	0.021867633517624087	0.01134079142013355	0.009382337815854437	0.21013483584112577	0.03402436334648439	0.015895809649486635	0.005538472312167808
1:Del:T:2	1.2383023729256592e-06	0.003038977795908977	0.00743706772321886	0.03790023822808734	0.01831332154384654	0.012761691416596933	0.008588518910206061
1:Del:T:3	0.0006794661944044171	0.02273168003040853	0.032463939337001195	0.022849064286667504	0.02252059597945484	0.043444676058496154	0.013069312826174984
1:Del:T:4	0.00035524968875212616	0.0047981282192449725	0.005383524457251958	0.04435758051183734	0.010372421752068135	0.027429723846771593	0.0023703559061891612
1:Del:T:5	1.8878119988130492e-06	0.0028365163154171567	0.00563532618840938	0.011219652527181552	0.0034496579660117277	0.010794474788572189	0.010957969201114111
1:Ins:C:0	0.016436371221780634	2.0120160688748e-05	1.745834022813142e-05	0.00032852295838324606	2.102397903399833e-05	2.4405231670243666e-05	0.005340754557516902
1:Ins:C:1	0.00783818759588165	0.04941917347760864	0.017814226152034394	0.053031735461535785	0.021451723816356214	0.049539172071143785	0.04218940389034897
1:Ins:C:2	0.010243577127273227	0.0009713654916720316	0.0025168466427874137	0.013760168216770695	0.007743019700706099	0.0064217423772424806	0.011835026751732584
1:Ins:C:3	1.8349087660851637e-06	0.0003049214138718526	0.006082118769443241	0.0062673570028835	0.017790024481528235	0.009753356667993103	0.006111734192990354
1:Ins:C:4	0.0003238049860635783	0.011283686475826471	0.01057806818607053	0.017749742281622502	0.012796288931536424	0.023706877163583613	0.013883459644911228
1:Ins:C:5	1.8997826134395378e-06	0.0008327050971399786	0.008399293520531046	0.0106194983344119	0.004591006250348073	0.008687440904332107	0.006362493597755474
1:Ins:T:0	0.0224310416282745	0.009815095198158591	0.02404816011237108	0.012993738808664128	0.008781537079944286	0.00823096971536514	0.10246136430896285
1:Ins:T:1	0.0068266935113325666	0.016627676646936606	0.06454201710857842	0.06185549487769963	0.05958246344872761	0.1053961739832289	0.06595934867788572
1:Ins:T:2	1.1179510252112835e-06	0.009446604189145344	0.038138563731140496	0.038352470537725045	0.006584386877906134	0.015850076034655866	0.030437752629168237
1:Ins:T:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
1:Ins:T:4	0.0010967984078281744	0.0035103761903690156	0.0031450421578028908	0.007925959643280293	0.015359789273170464	0.000507150615228511	0.009449000465860991
1:Ins:T:5	8.902255542383828e-07	0.010244383633379912	0.03612855122537328	0.004717286030227124	0.02014577102030533	0.256225303235438	0.004179844185247742
2:Del:R:0	0.007289216170345387	0.004411901038856172	0.01653790182008109	0.024097813951852346	0.005206076561812552	0.029671442884459793	0.015832047046197884
2:Del:R:1	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Del:R:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Del:R:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Del:R:4	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Del:R:5	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Del:R:0	1.2162912452673425e-06	0.0015172259324429404	0.011377889868910009	0.03923097458149613	0.01578924091453473	0.019360376750262275	0.00747182016287482
3:Del:R:1	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Del:R:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Del:R:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Del:R:4	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Del:R:5	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Del:R:0	0.0001697767311262055	0.0029497169558453606	0.0063249930823207024	0.009235315040816658	0.005623299942958511	0.006325104447928425	0.005793006690978277
4:Del:R:1	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Del:R:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Del:R:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Del:R:4	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Del:R:5	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Del:R:0	0.033405691291818584	0.6669112546741962	0.038200418426267556	0.017372830225090456	0.02006932442629859	0.0036694371474250715	0.02060029970108499
5:Del:R:1	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Del:R:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Del:R:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Del:R:4	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Del:R:5	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Ins:R:0	0.08889352982528181	0.0013784630191290542	0.01102745195906209	0.0075603866678090395	7.069596085729578e-06	0.013660632229296619	0.21441599477731416
2:Ins:R:1	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Ins:R:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Ins:R:3	0.000885546508054631	0.013673211456102763	0.0033870294613916486	0.016165817669261742	0.0019418031874738517	0.0026703050893752333	0.005621744645424265
2:Ins:R:4	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Ins:R:5	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Ins:R:0	0.05422550566671816	1.8610165070640506e-05	1.5776287962509543e-05	0.0007348987351542746	1.8034504510069383e-05	2.1981643608341984e-05	0.008601709170244262
3:Ins:R:1	0.0001764621217822082	0.011373823720558214	0.0029251894231293817	0.006436831014783592	0.0016976315100316697	0.005188250877945393	0.02491637408270682
3:Ins:R:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Ins:R:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Ins:R:4	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
3:Ins:R:5	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Ins:R:0	0.039384932875738056	1.9195749391656136e-05	1.619948163923846e-05	0.0006333491678992687	1.875489248050144e-05	2.2767444571627495e-05	0.008501622096922574
4:Ins:R:1	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Ins:R:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Ins:R:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Ins:R:4	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Ins:R:5	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Ins:R:0	0.6468226599693299	0.006546112367080122	0.004320639125316036	0.011946181136913037	0.006495919712928061	0.03007018097828877	0.04033127841798254
5:Ins:R:1	8.622442253259157e-07	0.011549080349685638	0.02767673605822149	0.08437948620226762	0.034153195354971515	0.03279544214642641	0.041294794635299864
5:Ins:R:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Ins:R:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Ins:R:4	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Ins:R:5	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
2:Del:M:1	0.009723859195655677	0.01072255199160005	0.010915795680084559	0.0374286915092307	0.03208861009628359	0.018245689186701063	0.04255842608334319
3:Del:M:1	1.8753628412326862e-06	0.010084296315008033	0.00671121896808927	0.0018845556742252256	0.01358705571435621	0.005851143005279482	1.7028829929301993e-05
3:Del:M:2	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
4:Del:M:1	1.2776570487460636e-06	0.004873552708957151	0.022977294688265603	0.03092902983259801	0.00787441539853262	0.01657512404084798	0.009389784419390139
4:Del:M:2	0.0015957469079333642	0.0028722083967636534	0.0020689036023532024	0.01565151887339198	0.005247177552037101	0.005936793780979315	0.011892175551580522
4:Del:M:3	3.1139373624000653e-06	2.3031727359921205e-05	1.960230940312613e-05	2.4520816384665523e-05	2.5451808023717605e-05	2.9636849958478706e-05	2.13797846174657e-05
5:Del:M:1	0.016165018147710482	0.006018652278321876	0.017580213696332576	0.020539683322785364	0.45595331714510395	0.009281364333138734	0.015138409530388398
