MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	7.25E-07	5.76E-07	1.49E-06	5.06E-07	8.22E-07	6.54E-07	8.79E-07	8.45E-07	9.75E-07	1.39E-06
1:Del:C:1	8.95E-04	7.30E-03	4.70E-03	2.02E-02	4.58E-03	8.10E-03	2.17E-03	1.39E-02	3.41E-03	3.44E-03
1:Del:C:2	1.99E-06	2.73E-04	4.94E-03	4.91E-03	2.40E-02	6.63E-03	3.16E-03	1.30E-02	7.03E-03	3.72E-03
1:Del:C:3	1.29E-06	1.82E-03	3.36E-03	2.04E-03	7.31E-03	7.68E-03	1.35E-02	6.03E-03	5.40E-03	5.98E-03
1:Del:C:4	6.29E-07	8.29E-07	7.91E-03	3.23E-03	1.68E-03	1.56E-03	3.39E-03	4.03E-03	2.42E-03	2.09E-03
1:Del:C:5	6.10E-07	3.25E-04	5.32E-03	3.77E-03	7.85E-04	8.67E-04	2.51E-03	2.65E-03	8.69E-04	2.54E-03
1:Del:T:0	7.25E-07	5.76E-07	1.49E-06	5.06E-07	8.22E-07	6.54E-07	8.79E-07	8.45E-07	9.75E-07	1.39E-06
1:Del:T:1	1.75E-03	3.28E-03	3.47E-03	3.58E-03	2.31E-03	7.45E-03	2.38E-02	2.73E-03	3.78E-03	2.64E-03
1:Del:T:2	4.70E-07	4.88E-04	4.14E-03	9.99E-04	4.55E-03	4.04E-03	6.80E-03	5.82E-03	5.89E-03	2.47E-03
1:Del:T:3	1.91E-03	2.00E-03	6.86E-03	4.36E-03	6.52E-03	7.24E-03	7.47E-03	9.03E-03	1.16E-02	9.82E-03
1:Del:T:4	5.09E-07	1.78E-03	9.00E-03	1.20E-03	9.26E-03	4.02E-03	1.21E-02	1.77E-03	3.58E-03	3.09E-03
1:Del:T:5	5.58E-07	7.15E-07	1.70E-03	7.03E-04	4.89E-03	1.70E-03	3.42E-03	2.87E-03	2.55E-03	9.44E-04
1:Ins:C:0	1.33E-03	5.84E-07	1.76E-03	5.20E-07	8.87E-07	7.95E-07	4.23E-04	9.46E-07	9.36E-07	2.17E-03
1:Ins:C:1	8.13E-04	3.59E-03	6.40E-03	4.03E-03	3.82E-03	4.56E-03	6.07E-03	3.72E-03	2.63E-02	5.00E-03
1:Ins:C:2	8.86E-04	7.79E-07	1.35E-03	7.03E-04	5.66E-03	3.04E-03	1.24E-03	4.07E-03	1.78E-03	2.22E-03
1:Ins:C:3	5.63E-07	7.52E-07	2.81E-03	6.09E-03	3.26E-03	4.34E-03	3.05E-03	1.47E-03	3.77E-03	2.48E-06
1:Ins:C:4	4.13E-07	3.50E-03	1.07E-02	1.88E-03	3.64E-03	8.84E-03	5.24E-03	2.84E-03	1.23E-02	5.11E-03
1:Ins:C:5	6.26E-07	5.50E-04	2.44E-03	2.70E-03	4.64E-03	1.50E-03	1.77E-03	3.05E-03	3.34E-03	1.25E-06
