MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	5.902230116276996e-06	2.4429606046396657e-05	2.4089371825084525e-05	1.697943643648614e-05	2.588061296592059e-05	2.645417277562956e-05	2.7871944521393743e-05	2.2635893201368163e-05	2.612369124108227e-05	1.324873072960031e-05
1:Del:C:1	0.004456404642534016	0.018671121414081605	0.014895963950900785	0.6149892172871683	0.009290489123859422	0.011433451995225268	0.004300346083296962	0.05468028498376553	0.007035387853210225	0.010228221422762624
1:Del:C:2	5.802472965767596e-06	0.00027692206706629943	0.016835102735604936	0.011456774742550463	0.2586082324551808	0.021104334624018138	0.00510743014808036	0.06879720249238115	0.025641825690546405	0.005751890951923473
1:Del:C:3	4.493204733728986e-06	0.0048403590526511844	0.005478420962551039	0.0035424511667770486	0.04111013332337147	0.030733920113456402	0.05047556756803376	0.023886109515112795	0.017116049349263997	0.015630964961493344
1:Del:C:4	3.970981835834664e-06	1.6840096213002197e-05	0.03407146188061347	0.012313856462272668	0.0021963248766542166	0.002226315964085188	0.005695494862662826	0.01517690085053573	0.0037579293648509066	0.003882374709929479
1:Del:C:5	4.189442959017242e-06	0.00034363950990552895	0.021607600715886122	0.01559706526529908	0.0008066616803102988	0.0014935267954251685	0.003907259010074995	0.007967716556986488	0.001239820450273328	0.005562592449019945
1:Del:T:0	5.902230116276996e-06	2.4429606046396657e-05	2.4089371825084525e-05	1.697943643648614e-05	2.588061296592059e-05	2.645417277562956e-05	2.7871944521393743e-05	2.2635893201368163e-05	2.612369124108227e-05	1.324873072960031e-05
1:Del:T:1	0.011582509458407584	0.005570727026204139	0.010018223452244696	0.0064643792457544525	0.004397721615769364	0.02861382681435259	0.33718208440042646	0.006504679871687806	0.01297964650395047	0.015815061216706557
1:Del:T:2	2.8663008495755093e-06	0.0007005541783064472	0.009596281636721073	0.0017199206187069648	0.024639638293886018	0.016200541248814274	0.028910846395497174	0.021769623660280787	0.016282888577468412	0.00382677734217161
1:Del:T:3	0.004184328437631706	0.006198009883550526	0.017477132030451856	0.01918896303355826	0.023273265676714516	0.028167419944611537	0.02897884238523239	0.03017351377600411	0.059363242431729635	0.02974623540528839
1:Del:T:4	3.1439391095118565e-06	0.002538217386177536	0.02232053880195983	0.001689960401492333	0.018676063090941178	0.008806232525835789	0.08991369883733141	0.002537161310809566	0.00931394222818955	0.0060340269105214174
1:Del:T:5	3.99475618365841e-06	1.8498502969350737e-05	0.0028230466480516723	0.0009931914179867362	0.025616516387945012	0.004784969575803757	0.008384332019254544	0.0109437424656835	0.00452209794592477	0.0013341307721663042
1:Ins:C:0	0.00862573276517054	2.2293577608252235e-05	0.004506929296177873	1.5766204517149162e-05	2.2839144351110007e-05	2.2082796597260313e-05	0.00045015560781394017	2.0308994556899052e-05	2.2442111439886503e-05	0.013739624116347215
1:Ins:C:1	0.0037224428413748074	0.01421176513011496	0.018908467513027362	0.008532429192619807	0.004584029757447934	0.00810435239761877	0.01928025169156587	0.008208656300792412	0.29159716736096075	0.01627462792528709
1:Ins:C:2	0.005292334935498957	1.729760896296284e-05	0.003914984422813177	0.0009930344182890849	0.024074875399028316	0.007237823397892953	0.00298986945571869	0.013078727118692655	0.0037404325991337826	0.009707836169260986
1:Ins:C:3	3.857514679224058e-06	1.9523272671904125e-05	0.005507199087542176	0.008547589585376728	0.01362013025181568	0.01376738154315717	0.007306444489293719	0.003094310010786785	0.014747190914074549	1.273677594539896e-05
1:Ins:C:4	2.362434326208529e-06	0.013181035821184175	0.01913312629155872	0.004443451788046889	0.011435827462563566	0.026056882524838443	0.016694519876505755	0.007641831270328794	0.042605240135230246	0.010477777040847194
1:Ins:C:5	4.475893428264044e-06	0.0007961972610769408	0.003444537780428334	0.007620372302437204	0.025008665231213742	0.0028679359159082198	0.002529456464778832	0.008361995268900699	0.006296085377102827	1.0672728607911547e-05
1:Ins:T:0	0.02152185618482747	0.0028705204472978148	0.13607703449026987	0.027848243529977036	0.0012250292987154054	0.011144441855850572	0.005768972205045441	0.03246882479433713	0.006083285249446768	0.06272682669038003
1:Ins:T:1	0.0020344206924575825	0.006074077003896321	0.015279204462694006	0.024424287903015585	0.024201002258822282	0.01857826916468982	0.02136985188562019	0.40453867828277906	0.0024349883220437813	0.00952015178940343
1:Ins:T:2	2.4725185749119316e-06	0.0062958596140292285	0.010450860487949966	0.04667899385050196	0.03765037027765015	0.010668106216731416	0.03438001046659153	0.014703089097663507	0.015811640380126165	0.009996332521294627
1:Ins:T:3	5.902230116276996e-06	2.4429606046396657e-05	2.4089371825084525e-05	1.697943643648614e-05	2.588061296592059e-05	2.645417277562956e-05	2.7871944521393743e-05	2.2635893201368163e-05	2.612369124108227e-05	1.324873072960031e-05
1:Ins:T:4	1.0971836800361956e-05	0.004964203369115694	0.0014457495899750938	0.002777459781030984	0.0031768712020766544	0.013249764737433906	0.0050205002810207585	0.0021297356412378577	0.02058364530506651	0.006841258708561995
1:Ins:T:5	4.886977299030194e-06	0.01771751938163946	0.015619671410029972	0.01573300245386337	0.05252540841460963	0.002534391547979847	0.04758757285233145	0.08273110969602503	0.08105282584022726	0.11061268870407837
2:Del:R:0	0.004070783119905918	0.008028958947940104	0.01476266806180675	0.017697153043494018	0.021422355442798306	0.0045526589700069	0.021930286782980972	0.017533378420629055	0.023197000416846584	0.021543717102972808
2:Del:R:1	5.902230116276996e-06	2.4429606046396657e-05	2.4089371825084525e-05	1.697943643648614e-05	2.588061296592059e-05	2.645417277562956e-05	2.7871944521393743e-05	2.2635893201368163e-05	2.612369124108227e-05	1.324873072960031e-05
2:Del:R:2	5.902230116276996e-06	2.4429606046396657e-05	2.4089371825084525e-05	1.697943643648614e-05	2.588061296592059e-05	2.645417277562956e-05	2.7871944521393743e-05	2.2635893201368163e-05	2.612369124108227e-05	1.324873072960031e-05
