Sample Names	MutationType	ID3	ID8	ID83B
TCGA_05_4402_01A	4:Ins:R:2	0.3137703992306458	0.6862296007693541	0.0
TCGA_05_4402_01A	4:Ins:R:3	0.8811305076941065	0.11886949230589361	0.0
TCGA_05_4402_01A	4:Ins:R:4	0.026402848882656746	0.9735971511173432	0.0
TCGA_05_4402_01A	4:Ins:R:5	0.04721457364354895	0.952785426356451	0.0
TCGA_05_4402_01A	5:Ins:R:0	0.26999198245131895	0.730008017548681	0.0
TCGA_05_4402_01A	5:Ins:R:1	0.08226343713082743	0.9177365628691726	0.0
TCGA_05_4402_01A	5:Ins:R:2	0.06771142191925067	0.9322885780807494	0.0
TCGA_05_4402_01A	5:Ins:R:3	0.38437047898851984	0.61562952101148	0.0
TCGA_05_4402_01A	5:Ins:R:4	0.6088974869220782	0.39110251307792177	0.0
TCGA_05_4402_01A	5:Ins:R:5	0.02377158796860161	0.9762284120313984	0.0
TCGA_05_4402_01A	2:Del:M:1	0.6528591054042786	0.3471408945957214	0.0
TCGA_05_4402_01A	3:Del:M:1	0.04712729927349386	0.9528727007265061	0.0
TCGA_05_4402_01A	3:Del:M:2	0.0857963673195463	0.9142036326804537	0.0
TCGA_05_4402_01A	4:Del:M:1	0.016588938559861162	0.9834110614401389	0.0
TCGA_05_4402_01A	4:Del:M:2	0.22179712846760455	0.7782028715323954	0.0
TCGA_05_4402_01A	4:Del:M:3	0.13672221189745717	0.8632777881025429	0.0
TCGA_05_4402_01A	5:Del:M:1	0.006463195313754665	0.9935368046862454	0.0
TCGA_05_4402_01A	5:Del:M:2	0.018540043520706338	0.9814599564792937	0.0
TCGA_05_4402_01A	5:Del:M:3	0.021908324849814028	0.978091675150186	0.0
TCGA_05_4402_01A	5:Del:M:4	0.04959392632660597	0.9504060736733941	0.0
TCGA_05_4402_01A	5:Del:M:5	0.03639113862681235	0.9636088613731876	0.0
TCGA_05_5715_01A	1:Del:C:0	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:C:1	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:C:2	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:C:3	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:C:4	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:C:5	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:T:0	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:T:1	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:T:2	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:T:3	1.0	0.0	0.0
TCGA_05_5715_01A	1:Del:T:4	1.0	0.0	0.0
