Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA_38_4625_01A	397	31	0	24	139	79	0	0	2
TCGA_38_4626_01A	44	0	124	84	10	7	0	0	0
TCGA_38_4627_01A	0	0	0	0	3	13	0	0	12
TCGA_38_4631_01A	109	324	0	342	8	66	0	0	0
TCGA_38_7271_01A	0	3	0	39	22	0	0	0	0
TCGA_44_2655_01A	63	0	93	15	11	0	0	0	0
TCGA_44_2657_01A	254	0	0	25	38	14	104	0	30
TCGA_44_2659_01A	287	0	56	0	13	7	27	39	34
TCGA_44_3396_01A	0	29	0	33	96	18	0	11	32
TCGA_44_3917_01A	0	0	150	0	18	33	0	44	9
TCGA_44_3918_01A	638	184	0	0	96	0	146	0	23
TCGA_44_4112_01A	177	0	77	30	95	129	0	0	0
TCGA_44_5644_01A	216	287	0	198	36	171	94	0	42
TCGA_44_6145_01A	271	0	0	0	8	7	0	43	17
TCGA_44_6147_01A	0	56	0	73	1	0	0	0	0
TCGA_44_6774_01A	96	14	176	0	0	0	40	0	0
TCGA_44_6775_01A	0	5	0	0	8	6	42	0	11
TCGA_44_6776_01A	99	0	50	0	8	0	0	47	11
TCGA_44_6779_01A	21	15	0	0	2	0	0	39	30
TCGA_44_7661_01A	79	0	0	0	49	123	0	29	9
TCGA_44_7667_01A	80	0	42	349	10	0	0	9	49
TCGA_44_7670_01A	422	83	433	14	161	0	0	98	20
TCGA_44_7672_01A	47	0	0	35	3	81	19	0	3
TCGA_44_8117_01A	355	228	11	128	22	0	58	22	43
TCGA_44_A47G_01A	0	5	0	0	13	0	6	53	7
TCGA_44_A4SU_01A	0	0	90	0	1	36	10	14	20
TCGA_49_4487_01A	68	0	96	52	47	0	124	0	1
TCGA_49_4488_01A	90	63	26	56	24	57	0	0	0
TCGA_49_4490_01A	0	0	0	0	18	0	14	0	22
TCGA_49_4505_01A	52	0	0	136	20	0	0	0	37
TCGA_49_4506_01A	6	54	0	0	6	37	0	0	18
TCGA_49_4507_01A	44	10	1	41	52	10	14	33	25
TCGA_49_6744_01A	0	34	122	70	2	12	0	0	0
TCGA_49_6761_01A	30	0	0	0	71	44	0	45	15
TCGA_49_6767_01A	0	271	150	0	35	0	43	11	26
TCGA_50_5051_01A	11	52	1	30	6	0	4	0	16
TCGA_50_5941_01A	0	143	136	81	22	5	18	3	12
TCGA_50_5942_01A	1	0	0	32	0	4	7	17	4
TCGA_50_6590_01A	209	157	0	58	177	242	138	0	0
TCGA_50_6592_01A	10	0	41	40	51	52	61	61	9
TCGA_50_6593_01A	0	204	15	15	8	0	73	22	11
TCGA_50_6595_01A	0	0	0	0	20	0	16	54	3
TCGA_53_7624_01A	1	345	140	0	155	69	85	90	18
TCGA_53_7813_01A	0	0	94	0	0	58	6	0	19
TCGA_55_6543_01A	0	0	0	0	0	0	3	2	16
TCGA_55_6970_01A	35	0	16	56	9	15	43	0	14
TCGA_55_6971_01A	0	0	21	0	3	23	45	0	0
TCGA_55_6979_01A	10	0	33	34	41	0	1	0	6
TCGA_55_6981_01A	0	0	0	0	6	0	0	21	28
TCGA_55_6985_01A	280	0	0	0	4	103	99	6	17
TCGA_55_7281_01A	0	0	352	0	31	0	62	35	17
TCGA_55_7573_01A	8	6	0	0	5	0	16	22	0
TCGA_55_7574_01A	0	0	71	0	119	0	93	0	1
TCGA_55_7725_01A	0	33	0	98	0	16	0	0	10
TCGA_55_7726_01A	0	0	0	0	76	26	0	0	20
TCGA_55_7728_01A	0	64	22	0	1	0	0	8	13
TCGA_55_7911_01A	0	0	111	92	16	0	0	32	10
TCGA_55_7914_01A	0	15	33	49	24	39	0	3	41
TCGA_55_7995_01A	245	0	0	142	89	43	159	76	0
TCGA_55_8096_01A	67	0	0	19	5	0	33	25	18
TCGA_55_8097_01A	31	0	1	0	8	0	0	44	38
TCGA_55_8203_01A	129	0	156	0	0	154	0	0	41
TCGA_55_8208_01A	29	0	0	31	190	0	114	17	6
TCGA_55_8299_01A	7	0	144	0	6	21	49	0	8
TCGA_55_8506_01A	374	541	176	0	0	56	73	0	677
TCGA_55_8510_01A	51	45	121	42	24	69	0	0	7
TCGA_55_8511_01A	190	209	0	0	71	0	0	136	35
TCGA_55_8616_01A	19	148	326	87	16	0	0	0	32
TCGA_55_A48X_01A	146	2	185	17	23	64	0	17	4
TCGA_55_A48Z_01A	4	0	0	0	4	10	24	5	17
TCGA_55_A492_01A	24	190	0	0	11	2	51	33	21
TCGA_55_A493_01A	16	89	0	36	73	81	0	42	9
TCGA_55_A494_01A	81	0	24	108	6	0	0	0	53
TCGA_62_A46O_01A	350	212	0	0	157	5	161	127	27
TCGA_62_A46R_01A	11	20	22	0	27	53	0	28	28
TCGA_64_1679_01A	243	0	0	225	35	0	53	0	10
TCGA_64_1681_01A	0	0	0	0	19	0	3	57	5
TCGA_64_5781_01A	395	0	0	519	115	13	0	172	19
TCGA_67_3770_01A	91	0	0	49	0	38	11	35	17
TCGA_67_3774_01A	0	0	7	40	3	62	2	0	8
TCGA_67_6217_01A	102	14	9	0	3	0	0	72	12
TCGA_69_7973_01A	30	164	0	52	7	0	0	0	25
TCGA_69_7974_01A	71	134	173	101	26	0	29	0	38
TCGA_69_7979_01A	788	7	600	0	76	146	0	0	60
TCGA_69_7980_01A	165	247	171	0	191	0	145	0	22
TCGA_73_4662_01A	0	26	99	71	13	0	15	0	8
TCGA_73_4666_01A	148	15	3	0	17	161	0	57	9
TCGA_73_4670_01A	54	111	0	32	5	0	0	173	16
TCGA_73_7498_01A	0	0	85	0	0	0	4	22	19
TCGA_78_7145_01A	48	0	0	108	9	38	0	0	16
TCGA_78_7146_01A	77	83	0	29	105	0	77	9	40
TCGA_78_7147_01A	10	38	39	0	51	181	0	51	17
TCGA_78_7153_01A	0	7	0	0	28	0	68	1	22
TCGA_78_7158_01A	103	0	0	24	36	0	58	30	15
TCGA_78_7159_01A	0	198	0	30	8	62	0	0	32
TCGA_78_7161_01A	0	104	53	0	9	0	0	28	15
TCGA_78_7220_01A	66	36	253	181	109	144	0	173	0
TCGA_83_5908_01A	80	0	0	0	104	81	0	0	7
TCGA_86_6851_01A	0	122	325	286	95	86	51	0	0
TCGA_86_7954_01A	10	0	0	93	46	32	0	28	34
TCGA_86_8056_01A	0	0	58	19	155	0	0	41	24
TCGA_86_8074_01A	3	0	0	0	2	0	0	59	8
TCGA_91_6830_01A	0	14	0	0	195	14	0	28	1
TCGA_91_6836_01A	136	0	184	0	17	64	0	75	23
TCGA_91_6840_01A	3	0	0	0	91	7	19	0	24
TCGA_91_6847_01A	0	0	0	24	19	0	7	6	36
TCGA_95_7039_01A	0	539	516	0	52	226	31	0	28
TCGA_95_7043_01A	503	0	348	3	54	143	55	13	36
TCGA_95_7948_01A	0	0	0	0	152	0	0	0	10
TCGA_95_A4VK_01A	179	0	0	16	2	0	0	83	29
TCGA_95_A4VN_01A	197	0	0	230	31	94	0	0	19
TCGA_95_A4VP_01A	0	24	60	0	0	54	0	0	10
TCGA_97_7547_01A	39	0	0	0	46	98	0	0	15
TCGA_97_7553_01A	0	0	17	0	2	0	0	8	20
TCGA_97_7941_01A	24	0	40	0	17	0	0	7	9
TCGA_97_8175_01A	0	0	0	0	2	4	8	13	3
TCGA_97_A4M0_01A	55	143	63	38	85	45	37	0	0
TCGA_97_A4M1_01A	0	1	0	12	13	1	0	0	20
TCGA_97_A4M3_01A	96	72	0	0	36	0	20	0	17
TCGA_99_7458_01A	33	122	208	62	3	50	0	32	6
TCGA_J2_8194_01A	0	23	1	41	7	21	46	0	27
TCGA_J2_A4AD_01A	36	6	0	57	173	0	90	0	19
TCGA_J2_A4AG_01A	13	0	7	34	5	0	0	15	22
TCGA_L4_A4E5_01A	126	154	0	0	7	28	0	69	12
TCGA_L9_A443_01A	73	0	0	133	9	20	44	5	8
TCGA_L9_A444_01A	95	133	86	316	2	0	0	0	11
TCGA_MP_A4T4_01A	0	110	133	131	23	29	0	0	17
TCGA_MP_A4T9_01A	0	0	3	0	5	0	34	0	0
TCGA_MP_A4TF_01A	166	136	0	0	15	35	0	139	6
TCGA_MP_A4TH_01A	6	7	0	34	0	24	27	14	19
TCGA_NJ_A4YQ_01A	271	583	41	256	6	0	122	0	19
TCGA_NJ_A55O_01A	54	77	0	0	9	14	0	0	9
TCGA_O1_A52J_01A	0	74	63	28	8	0	8	0	18
