Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
TCGA_44_8117_01A	4.62E-01	0.00E+00	4.76E-01	2.18E-01	2.74E-01	2.18E-01	2.27E-01
TCGA_44_A47G_01A	4.90E-02	2.51E-01	9.96E-02	1.50E-01	1.91E-01	1.59E-01	1.96E-01
TCGA_44_A4SU_01A	1.72E-01	0.00E+00	6.87E-02	5.77E-02	8.08E-02	1.32E-01	1.16E-01
TCGA_49_4487_01A	3.87E-01	0.00E+00	3.17E-01	9.51E-02	3.69E-01	4.81E-01	3.96E-01
TCGA_49_4488_01A	3.33E-01	9.98E-02	4.03E-01	1.49E-01	1.29E-01	1.99E-01	8.66E-02
TCGA_49_4490_01A	5.87E-02	0.00E+00	1.08E-01	1.28E-01	9.04E-02	9.57E-02	1.07E-01
TCGA_49_4505_01A	2.22E-01	9.64E-02	1.40E-01	1.97E-02	2.20E-01	2.73E-01	2.44E-01
TCGA_49_4506_01A	1.59E-01	1.99E-01	1.82E-01	5.32E-02	1.46E-01	2.02E-01	1.45E-01
TCGA_49_4507_01A	1.55E-01	2.93E-02	2.24E-01	1.18E-01	2.14E-01	1.39E-01	1.15E-01
TCGA_49_6744_01A	2.50E-01	0.00E+00	2.69E-01	1.56E-01	2.23E-01	2.26E-01	8.84E-02
TCGA_49_6761_01A	8.66E-02	2.78E-02	8.24E-02	8.65E-02	1.86E-01	7.95E-02	1.70E-01
TCGA_49_6767_01A	3.75E-01	6.08E-02	3.79E-01	1.10E-01	2.66E-01	2.56E-01	1.87E-01
TCGA_50_5051_01A	1.81E-01	0.00E+00	1.42E-01	1.17E-01	2.13E-01	2.20E-01	1.85E-01
TCGA_50_5941_01A	4.29E-01	3.00E-02	4.90E-01	2.42E-01	5.79E-01	4.75E-01	2.89E-01
TCGA_50_5942_01A	1.32E-01	8.81E-02	1.06E-01	5.06E-02	1.62E-01	1.02E-01	8.61E-02
TCGA_50_6590_01A	4.54E-01	0.00E+00	4.91E-01	2.81E-01	4.94E-01	4.18E-01	3.87E-01
TCGA_50_6592_01A	2.48E-01	4.79E-02	1.94E-01	3.49E-01	2.66E-01	2.79E-01	1.68E-01
TCGA_50_6593_01A	2.94E-01	2.01E-01	2.69E-01	1.35E-01	2.60E-01	2.44E-01	1.32E-01
TCGA_50_6595_01A	1.10E-01	0.00E+00	4.90E-02	1.00E-02	1.30E-01	1.44E-01	1.30E-01
TCGA_53_7624_01A	4.23E-01	0.00E+00	4.26E-01	2.69E-01	3.77E-01	2.64E-01	2.34E-01
TCGA_53_7813_01A	2.12E-01	0.00E+00	1.96E-01	1.24E-01	1.61E-01	1.63E-01	1.55E-01
TCGA_55_6543_01A	3.79E-02	0.00E+00	3.55E-02	6.42E-02	3.83E-02	6.21E-02	7.93E-02
TCGA_55_6970_01A	1.83E-01	0.00E+00	1.74E-01	5.37E-02	1.04E-01	9.46E-02	4.29E-02
TCGA_55_6971_01A	1.33E-01	0.00E+00	1.72E-01	2.19E-02	1.08E-01	1.11E-01	1.12E-01
