Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
TCGA_38_4628_01A	4.09E-02	0.00E+00	1.00E-02	1.00E-02	0.00E+00	1.00E-02	0.00E+00	3.27E-02	1.00E-02
TCGA_49_AAQV_01A	0.00E+00	0.00E+00	0.00E+00	1.00E-02	2.56E-02	3.38E-02	2.19E-02	0.00E+00	0.00E+00
TCGA_50_6591_01A	0.00E+00	0.00E+00	8.45E-02	8.30E-02	0.00E+00	1.00E-02	0.00E+00	1.41E-02	2.00E-02
TCGA_62_8394_01A	4.35E-02	0.00E+00	1.00E-02	0.00E+00	0.00E+00	1.00E-02	0.00E+00	3.49E-02	1.00E-02
TCGA_62_8397_01A	0.00E+00	2.73E-02	0.00E+00	0.00E+00	0.00E+00	1.00E-02	0.00E+00	0.00E+00	2.39E-02
TCGA_86_7953_01A	4.29E-02	0.00E+00	1.00E-02	1.41E-02	0.00E+00	1.41E-02	0.00E+00	3.59E-02	1.00E-02
TCGA_86_8278_01A	3.86E-02	0.00E+00	1.00E-02	0.00E+00	0.00E+00	1.00E-02	0.00E+00	3.27E-02	1.00E-02
TCGA_86_8280_01A	0.00E+00	0.00E+00	1.41E-02	0.00E+00	3.14E-02	0.00E+00	2.56E-02	1.00E-02	1.00E-02
TCGA_97_8552_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_99_8033_01A	5.62E-02	1.18E-01	3.12E-02	1.25E-01	2.23E-02	3.26E-02	0.00E+00	7.12E-02	1.43E-01
