Sample Names	MutationType	ID83A	ID83B
TCGA_38_4625_01A	1:Del:C:0	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	1:Del:C:1	0.9970235267834464	0.0029764732165536434
TCGA_38_4625_01A	1:Del:C:2	0.9945967514624685	0.005403248537531442
TCGA_38_4625_01A	1:Del:C:3	0.999999687470724	3.12529276006784e-07
TCGA_38_4625_01A	1:Del:C:4	0.9936003183792868	0.0063996816207132394
TCGA_38_4625_01A	1:Del:C:5	0.9999007804013722	9.921959862788382e-05
TCGA_38_4625_01A	1:Del:T:0	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	1:Del:T:1	0.9872282773049009	0.012771722695099061
TCGA_38_4625_01A	1:Del:T:2	0.999637830293632	0.00036216970636798913
TCGA_38_4625_01A	1:Del:T:3	0.9999989708099192	1.0291900809424549e-06
TCGA_38_4625_01A	1:Del:T:4	0.9934975052424511	0.0065024947575490774
TCGA_38_4625_01A	1:Del:T:5	0.9918838228244443	0.008116177175555657
TCGA_38_4625_01A	1:Ins:C:0	0.6507373835575223	0.34926261644247775
TCGA_38_4625_01A	1:Ins:C:1	0.9244705196080543	0.07552948039194576
TCGA_38_4625_01A	1:Ins:C:2	0.9938278103092392	0.006172189690760861
TCGA_38_4625_01A	1:Ins:C:3	0.9999981912623166	1.8087376833252873e-06
TCGA_38_4625_01A	1:Ins:C:4	0.9683674019846077	0.0316325980153924
TCGA_38_4625_01A	1:Ins:C:5	0.9988728564923982	0.0011271435076018056
TCGA_38_4625_01A	1:Ins:T:0	0.8654130198970061	0.13458698010299383
TCGA_38_4625_01A	1:Ins:T:1	0.9782327861638693	0.02176721383613064
TCGA_38_4625_01A	1:Ins:T:2	0.9885240167087286	0.011475983291271441
TCGA_38_4625_01A	1:Ins:T:3	0.9756788270910847	0.024321172908915282
TCGA_38_4625_01A	1:Ins:T:4	0.99459264228132	0.005407357718679852
TCGA_38_4625_01A	1:Ins:T:5	0.9999991288927387	8.711072612418727e-07
TCGA_38_4625_01A	2:Del:R:0	0.9665153392433573	0.03348466075664275
TCGA_38_4625_01A	2:Del:R:1	0.9999974441999985	2.555800001522883e-06
TCGA_38_4625_01A	2:Del:R:2	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	2:Del:R:3	0.9999071448692333	9.285513076672852e-05
TCGA_38_4625_01A	2:Del:R:4	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	2:Del:R:5	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	3:Del:R:0	0.990771667004729	0.009228332995271099
TCGA_38_4625_01A	3:Del:R:1	0.994784610140955	0.0052153898590450495
TCGA_38_4625_01A	3:Del:R:2	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	3:Del:R:3	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	3:Del:R:4	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	3:Del:R:5	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	4:Del:R:0	0.9097290709455924	0.09027092905440756
TCGA_38_4625_01A	4:Del:R:1	0.990638665018316	0.00936133498168393
TCGA_38_4625_01A	4:Del:R:2	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	4:Del:R:3	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	4:Del:R:4	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	4:Del:R:5	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	5:Del:R:0	0.9730863835771958	0.026913616422804182
TCGA_38_4625_01A	5:Del:R:1	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	5:Del:R:2	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	5:Del:R:3	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	5:Del:R:4	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	5:Del:R:5	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	2:Ins:R:0	0.36138977962358465	0.6386102203764153
TCGA_38_4625_01A	2:Ins:R:1	0.9624330841435013	0.03756691585649875
TCGA_38_4625_01A	2:Ins:R:2	0.9959483249567124	0.004051675043287644
TCGA_38_4625_01A	2:Ins:R:3	0.9999291457153132	7.08542846867492e-05
TCGA_38_4625_01A	2:Ins:R:4	0.9999294486272667	7.055137273321785e-05
TCGA_38_4625_01A	2:Ins:R:5	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	3:Ins:R:0	0.0019382848908737517	0.9980617151091262
TCGA_38_4625_01A	3:Ins:R:1	0.9999858968372854	1.4103162714577455e-05
TCGA_38_4625_01A	3:Ins:R:2	0.9167660491883913	0.08323395081160878
TCGA_38_4625_01A	3:Ins:R:3	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	3:Ins:R:4	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	3:Ins:R:5	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	4:Ins:R:0	0.0009314412150971028	0.9990685587849029
TCGA_38_4625_01A	4:Ins:R:1	0.3857255855401307	0.6142744144598694
TCGA_38_4625_01A	4:Ins:R:2	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	4:Ins:R:3	0.9939590796593486	0.006040920340651336
TCGA_38_4625_01A	4:Ins:R:4	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	4:Ins:R:5	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	5:Ins:R:0	7.373820170333522e-08	0.9999999262617983
