MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	6.960420293466996e-06	6.890363842160241e-06	7.0962018787668055e-06	1.324254328551433e-05	8.527506995292811e-06	4.6075760087660455e-06	8.86166520295717e-06
1:Del:C:1	0.20675228877653354	0.21606412683229792	0.4723979200422764	0.019490939375582456	0.1506124668614998	0.10446974125907615	0.16139228083011403
1:Del:C:2	0.41392626710236075	0.02757373699960425	0.029117755811651023	0.013690736784556066	0.06533449429309371	0.10160169739905711	0.026251468561316233
1:Del:C:3	0.01628595745292074	0.21621489230543375	0.04916243639750794	0.016942510441694817	0.05101934482032326	0.030286912353850896	0.04242063987941947
1:Del:C:4	0.005058284718235768	0.033735226358509604	0.04255300953631604	0.0076415064414732115	0.03535154912472535	0.02566468078205208	0.02727785767433602
1:Del:C:5	0.003487289006479557	0.005933277988193839	0.013404130736300885	0.043929167691752015	0.020729957168471175	0.005072998149051595	0.04371948861924921
1:Del:T:0	6.960420293466996e-06	6.890363842160241e-06	7.0962018787668055e-06	1.324254328551433e-05	8.527506995292811e-06	4.6075760087660455e-06	8.86166520295717e-06
1:Del:T:1	0.06950972993687628	0.04339660675844925	0.018093649827335412	0.00832640276331935	0.1255959002148967	0.12615221421522618	0.03208399771388884
1:Del:T:2	0.0066378705605536934	0.027494169074834644	0.0046481791242725555	0.0513780517990017	0.017422145090174795	0.004559625655398704	0.015781463648826842
1:Del:T:3	0.00031691997771758905	0.005652528751091666	0.00686109093020491	0.002361259558446136	6.9377124890479535e-06	0.0006957882592047327	0.008777920655377329
1:Del:T:4	6.960420293466996e-06	6.890363842160241e-06	7.0962018787668055e-06	1.324254328551433e-05	8.527506995292811e-06	4.6075760087660455e-06	8.86166520295717e-06
1:Del:T:5	0.004103190003456376	0.008559180656342846	0.0023456497422300517	0.01048809146502549	0.005846223969286441	0.004556924948373524	0.007140013528397731
1:Ins:C:0	0.008484806958520039	0.013073793623134407	0.004123383713952648	0.0017476298796151469	0.008969167190839471	0.0017170900099515052	0.0029879889069673025
1:Ins:C:1	0.005603994821006211	0.006179861113319021	0.0015292959705388398	0.0017408401315788069	0.013109790289992134	0.02796900345542575	0.0028742340949787604
1:Ins:C:2	0.0020411993144522	0.0007870254804903709	0.0038621742290735027	0.01543812186582386	0.0027973379140777866	0.0004907701164157174	0.006187456995174898
1:Ins:C:3	0.0014108809894588603	0.006026929173946398	0.009115330437541615	0.02760913767075408	0.004784087183150803	0.0009356228801050292	0.007263116042348656
1:Ins:C:4	0.0038888948758622633	0.020479625547259985	0.013875921659856658	0.00465257704922692	0.016412035078552663	0.0024212975193273678	0.003705251247831427
1:Ins:C:5	0.013165629664251242	0.00019313101504401687	0.004572911908096273	0.0005629229632813803	0.0003047402045311287	0.0006518420263154212	7.673056696262393e-06
1:Ins:T:0	0.007600422479864335	0.030664038725149965	0.037718436979906185	0.007000448080257548	0.018814214019994467	0.029659426737788975	0.05159356996825977
1:Ins:T:1	0.01538973166877847	0.03272169136282798	0.012756283771735029	0.017873537062891885	0.17303678292791916	0.029501570289066876	0.03450391582746192
1:Ins:T:2	0.047839954580321094	0.03134777950032998	0.03299364063327971	0.030637078318953286	0.01853859172278817	0.006429724523181132	0.045131371602683996
1:Ins:T:3	0.0024328201613974445	0.013154219900790735	0.002709289698120756	0.002233455504875792	0.0036992487340505743	0.0021698928197440635	0.004315318750191182
1:Ins:T:4	0.004101878015025164	0.014037363898174816	0.002481146190161212	0.001708496287003527	0.005153095635521084	0.000986039248010968	0.0033841634874126215
1:Ins:T:5	0.019793064779221367	0.026614317458450217	0.02882183085832054	0.008211127247346895	0.01620219040256316	0.0017391158092152676	0.032137882663236327
2:Del:R:0	0.006741987508595599	0.0006566734244773897	0.0005286120534181302	0.003659655702284681	0.0016420366835959044	0.13560116062187377	0.0017138948274567443
2:Del:R:1	0.0009131813712201619	4.9634184360058955e-06	0.0004958646088675778	1.1496234833430208e-05	6.7697734838390035e-06	0.030332571336756473	7.75298323901552e-06
2:Del:R:2	6.960420293466996e-06	6.890363842160241e-06	7.0962018787668055e-06	1.324254328551433e-05	8.527506995292811e-06	4.6075760087660455e-06	8.86166520295717e-06
2:Del:R:3	6.960420293466996e-06	6.890363842160241e-06	7.0962018787668055e-06	1.324254328551433e-05	8.527506995292811e-06	4.6075760087660455e-06	8.86166520295717e-06
2:Del:R:4	6.960420293466996e-06	6.890363842160241e-06	7.0962018787668055e-06	1.324254328551433e-05	8.527506995292811e-06	4.6075760087660455e-06	8.86166520295717e-06
2:Del:R:5	6.960420293466996e-06	6.890363842160241e-06	7.0962018787668055e-06	1.324254328551433e-05	8.527506995292811e-06	4.6075760087660455e-06	8.86166520295717e-06
3:Del:R:0	0.0012478933863690144	4.400908434085693e-06	0.00033198805631968754	1.0488441203975185e-05	0.0004941148536605056	0.05067592329653991	0.0001878308124201835
3:Del:R:1	0.0038473355119657527	0.00041103790409778183	0.0005750869497353505	0.01180379638582508	0.0032741932683698137	0.004277960356694166	0.006132622901360491
3:Del:R:2	6.960420293466996e-06	6.890363842160241e-06	7.0962018787668055e-06	1.324254328551433e-05	8.527506995292811e-06	4.6075760087660455e-06	8.86166520295717e-06
