MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
1:Del:C:1	1.37E-02	1.46E-02	1.65E-02	5.99E-03	1.28E-02	8.67E-03	1.40E-02
1:Del:C:2	1.45E-02	6.03E-03	7.57E-03	5.22E-03	9.79E-03	7.92E-03	5.82E-03
1:Del:C:3	3.67E-03	1.34E-02	6.41E-03	5.42E-03	5.78E-03	3.58E-03	6.13E-03
1:Del:C:4	1.45E-03	4.86E-03	5.60E-03	2.35E-03	4.95E-03	3.08E-03	4.78E-03
1:Del:C:5	1.29E-03	2.51E-03	2.78E-03	7.51E-03	4.10E-03	2.33E-03	7.10E-03
1:Del:T:0	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
1:Del:T:1	7.08E-03	6.81E-03	3.94E-03	3.29E-03	1.30E-02	1.00E-02	4.61E-03
1:Del:T:2	2.21E-03	4.75E-03	1.57E-03	5.65E-03	4.55E-03	1.97E-03	4.74E-03
1:Del:T:3	2.20E-04	1.44E-03	1.77E-03	1.01E-03	4.24E-07	5.23E-04	2.29E-03
1:Del:T:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
1:Del:T:5	1.18E-03	1.76E-03	8.64E-04	2.20E-03	1.48E-03	1.31E-03	1.94E-03
1:Ins:C:0	2.09E-03	2.13E-03	1.41E-03	7.53E-04	1.96E-03	9.16E-04	1.12E-03
1:Ins:C:1	1.37E-03	1.22E-03	5.70E-04	7.22E-04	1.93E-03	3.34E-03	9.93E-04
1:Ins:C:2	9.60E-04	5.52E-04	1.61E-03	2.55E-03	1.22E-03	3.43E-04	1.97E-03
1:Ins:C:3	7.47E-04	2.01E-03	2.18E-03	4.42E-03	1.83E-03	4.68E-04	2.42E-03
1:Ins:C:4	1.12E-03	3.70E-03	2.77E-03	1.70E-03	2.98E-03	1.06E-03	1.21E-03
1:Ins:C:5	1.78E-03	1.87E-04	1.47E-03	5.52E-04	2.10E-04	6.48E-04	6.04E-07
1:Ins:T:0	4.26E-03	4.30E-03	5.06E-03	2.49E-03	3.54E-03	3.14E-03	6.70E-03
1:Ins:T:1	3.87E-03	5.08E-03	2.96E-03	6.12E-03	1.23E-02	4.05E-03	6.00E-03
1:Ins:T:2	5.83E-03	4.62E-03	5.57E-03	4.42E-03	3.95E-03	2.55E-03	8.77E-03
1:Ins:T:3	8.48E-04	2.29E-03	1.07E-03	1.14E-03	1.12E-03	9.54E-04	1.48E-03
1:Ins:T:4	1.21E-03	2.59E-03	1.17E-03	8.52E-04	1.49E-03	5.37E-04	1.14E-03
1:Ins:T:5	3.46E-03	4.02E-03	5.08E-03	2.66E-03	5.32E-03	8.95E-04	5.06E-03
2:Del:R:0	1.92E-03	4.96E-04	3.80E-04	2.03E-03	1.05E-03	7.10E-03	1.23E-03
2:Del:R:1	5.49E-04	3.89E-07	4.90E-04	4.20E-07	4.59E-07	2.62E-03	4.14E-07
2:Del:R:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Del:R:3	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Del:R:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Del:R:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
3:Del:R:0	6.82E-04	3.65E-07	3.27E-04	4.33E-07	4.88E-04	4.04E-03	1.81E-04
3:Del:R:1	1.50E-03	2.95E-04	4.22E-04	2.80E-03	1.33E-03	1.42E-03	2.32E-03
3:Del:R:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
3:Del:R:3	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
3:Del:R:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
3:Del:R:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Del:R:0	1.84E-03	2.93E-03	1.87E-03	2.34E-03	4.55E-03	3.43E-03	2.24E-03
4:Del:R:1	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Del:R:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Del:R:3	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Del:R:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Del:R:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
5:Del:R:0	5.26E-03	6.11E-03	8.49E-03	1.64E-02	1.00E-02	4.42E-03	9.97E-03
5:Del:R:1	6.73E-04	3.39E-07	1.63E-04	4.15E-07	2.44E-04	2.51E-03	1.81E-04
5:Del:R:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
5:Del:R:3	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
5:Del:R:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
5:Del:R:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Ins:R:0	1.08E-03	2.24E-03	2.11E-03	3.28E-03	1.18E-03	8.25E-04	1.21E-03
2:Ins:R:1	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Ins:R:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Ins:R:3	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Ins:R:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Ins:R:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
3:Ins:R:0	1.35E-03	2.48E-03	1.69E-03	8.93E-04	1.81E-03	1.36E-03	6.25E-03
3:Ins:R:1	7.22E-04	2.59E-03	2.56E-03	3.51E-03	3.59E-03	1.40E-03	3.69E-03
3:Ins:R:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
3:Ins:R:3	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
3:Ins:R:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
3:Ins:R:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Ins:R:0	3.28E-04	1.14E-03	1.95E-03	1.17E-03	1.20E-03	1.03E-03	2.69E-03
4:Ins:R:1	2.63E-04	3.30E-07	3.00E-07	4.38E-07	4.88E-04	2.69E-03	5.42E-04
4:Ins:R:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Ins:R:3	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Ins:R:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Ins:R:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
5:Ins:R:0	8.53E-03	6.17E-03	5.47E-03	7.65E-03	6.01E-03	4.14E-03	5.45E-03
5:Ins:R:1	1.08E-03	4.12E-03	3.77E-03	3.93E-03	6.33E-03	6.84E-04	2.82E-03
5:Ins:R:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
5:Ins:R:3	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
5:Ins:R:4	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
5:Ins:R:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
2:Del:M:1	1.98E-03	3.70E-03	4.14E-03	3.43E-03	2.96E-03	6.25E-03	1.42E-02
3:Del:M:1	1.10E-03	8.97E-04	9.17E-04	3.23E-03	1.16E-03	3.61E-04	1.47E-03
3:Del:M:2	2.58E-04	1.71E-03	1.00E-03	6.96E-04	1.27E-03	5.58E-04	2.15E-03
4:Del:M:1	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Del:M:2	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
4:Del:M:3	1.71E-04	1.60E-03	1.38E-03	7.26E-04	2.22E-03	5.90E-04	1.40E-03
5:Del:M:1	3.72E-03	4.27E-03	4.40E-03	9.66E-03	4.10E-03	2.48E-03	9.51E-03
5:Del:M:2	6.86E-04	1.84E-03	1.60E-03	9.14E-04	1.83E-03	2.57E-03	2.65E-03
5:Del:M:3	2.19E-03	9.22E-04	1.38E-03	6.96E-03	3.24E-03	3.41E-03	5.39E-03
5:Del:M:4	8.38E-04	1.16E-03	4.74E-04	4.32E-04	1.07E-03	3.07E-04	8.73E-04
5:Del:M:5	2.98E-07	4.00E-07	2.95E-07	3.91E-07	4.09E-07	2.25E-07	4.35E-07
