Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA_95_7948_01A	0	0	0	153	0	0	0	9
TCGA_95_A4VK_01A	169	0	0	4	0	57	50	29
TCGA_95_A4VN_01A	181	0	196	33	60	77	0	24
TCGA_95_A4VP_01A	0	86	0	0	50	0	0	12
TCGA_97_7547_01A	42	0	0	47	92	0	0	17
TCGA_97_7553_01A	6	6	0	2	0	0	13	20
TCGA_97_7941_01A	48	0	0	17	0	5	18	9
TCGA_97_8175_01A	0	0	0	2	0	19	6	3
TCGA_97_A4M0_01A	56	184	53	87	66	17	0	3
TCGA_97_A4M1_01A	0	0	13	14	0	0	0	20
TCGA_97_A4M3_01A	148	0	0	38	22	6	7	20
TCGA_99_7458_01A	89	211	74	3	27	50	54	8
TCGA_J2_8194_01A	0	32	0	7	2	98	0	27
TCGA_J2_A4AD_01A	0	43	79	185	30	21	0	23
TCGA_J2_A4AG_01A	11	0	28	5	0	15	15	22
TCGA_L4_A4E5_01A	182	70	0	9	68	15	37	15
TCGA_L9_A443_01A	54	0	94	8	4	120	6	6
TCGA_L9_A444_01A	112	45	431	4	30	0	0	21
TCGA_MP_A4T4_01A	0	151	190	24	56	0	0	22
TCGA_MP_A4T9_01A	0	6	0	6	7	0	23	0
TCGA_MP_A4TF_01A	252	5	10	16	75	0	132	7
TCGA_MP_A4TH_01A	0	0	30	0	7	69	6	19
TCGA_NJ_A4YQ_01A	477	371	57	5	100	266	0	22
TCGA_NJ_A55O_01A	91	21	0	9	21	11	0	10
TCGA_O1_A52J_01A	25	102	19	9	0	23	0	21
