Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
TCGA_38_4625_01A	2.21E-01	2.17E-01	1.75E-01	7.93E-02	1.35E-01
TCGA_38_4626_01A	8.61E-02	8.10E-02	9.73E-02	7.70E-02	7.09E-02
TCGA_38_4631_01A	2.82E-01	1.64E-01	3.23E-01	3.40E-01	1.73E-01
TCGA_38_7271_01A	1.97E-02	3.78E-02	4.65E-02	4.73E-02	3.59E-02
TCGA_44_2655_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_2657_01A	1.56E-01	5.64E-02	6.42E-02	6.50E-02	1.29E-01
TCGA_44_2659_01A	2.39E-01	2.98E-01	2.49E-01	1.97E-01	2.36E-01
TCGA_44_3396_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_3917_01A	1.29E-01	1.52E-01	1.28E-01	1.24E-01	1.29E-01
TCGA_44_3918_01A	4.56E-01	4.34E-01	2.04E-01	2.36E-01	1.78E-01
TCGA_44_4112_01A	2.88E-02	4.35E-02	4.41E-02	3.59E-02	4.35E-02
TCGA_44_5644_01A	2.45E-01	2.45E-01	3.91E-01	3.65E-01	2.49E-01
TCGA_44_6145_01A	1.32E-01	7.46E-02	1.37E-01	1.04E-01	5.39E-02
TCGA_44_6147_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6774_01A	1.60E-01	1.93E-01	6.75E-02	8.30E-02	1.22E-01
TCGA_44_6776_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6779_01A	7.28E-02	5.79E-02	7.00E-02	5.95E-02	4.09E-02
TCGA_44_7661_01A	8.99E-02	7.92E-02	9.90E-02	8.19E-02	9.37E-02
TCGA_44_7667_01A	1.43E-01	2.44E-01	1.66E-01	1.60E-01	2.66E-01
TCGA_44_7670_01A	2.14E-01	2.25E-01	1.95E-01	1.70E-01	1.24E-01
TCGA_44_7672_01A	9.21E-02	8.40E-02	8.58E-02	9.93E-02	7.76E-02
TCGA_44_8117_01A	2.88E-01	2.60E-01	2.08E-01	2.57E-01	2.52E-01
TCGA_44_A4SU_01A	7.04E-02	2.00E-02	0.00E+00	0.00E+00	7.06E-02
TCGA_49_4487_01A	1.21E-01	6.53E-02	7.34E-02	6.68E-02	1.09E-01
TCGA_49_4488_01A	6.94E-02	7.24E-02	0.00E+00	0.00E+00	3.39E-02
TCGA_49_4505_01A	6.55E-02	5.26E-02	6.50E-02	5.24E-02	5.48E-02
TCGA_49_4506_01A	1.26E-01	5.74E-02	8.75E-02	1.63E-01	9.09E-02
TCGA_49_4507_01A	1.10E-01	9.76E-02	1.50E-01	1.08E-01	1.71E-01
TCGA_49_6744_01A	1.74E-01	9.52E-02	1.43E-01	1.41E-01	1.67E-01
