MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
1:Del:C:1	4.01E-04	1.14E-02	8.63E-03	1.97E-03	1.36E-02	5.94E-03	7.49E-03	1.35E-06	6.59E-03	5.63E-03
1:Del:C:2	5.47E-04	6.20E-03	2.08E-02	4.36E-03	8.23E-03	4.32E-03	8.43E-03	1.04E-06	2.99E-03	5.22E-03
1:Del:C:3	3.48E-08	2.66E-03	8.75E-03	3.06E-03	3.80E-03	7.98E-03	2.32E-02	6.08E-03	2.59E-03	4.87E-03
1:Del:C:4	2.13E-04	2.18E-03	4.86E-03	1.44E-02	2.36E-02	1.19E-02	1.74E-02	5.42E-03	7.80E-03	6.31E-03
1:Del:C:5	2.33E-07	6.64E-04	2.32E-03	8.98E-03	1.60E-03	5.63E-03	6.00E-03	2.96E-07	4.20E-03	1.54E-03
1:Del:T:0	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
1:Del:T:1	5.72E-04	8.32E-04	1.66E-03	1.79E-03	4.08E-03	2.07E-02	6.46E-03	8.75E-03	3.72E-03	7.42E-03
1:Del:T:2	6.44E-09	1.43E-03	3.62E-03	2.95E-07	5.37E-03	4.71E-03	8.01E-03	5.58E-03	1.21E-02	6.95E-03
1:Del:T:3	1.03E-08	1.16E-03	1.81E-03	3.79E-03	7.48E-03	5.29E-03	7.78E-03	1.86E-03	7.00E-03	6.85E-03
1:Del:T:4	1.66E-04	1.71E-03	3.48E-03	2.05E-03	3.75E-03	3.87E-03	1.79E-03	4.02E-03	6.41E-03	7.10E-03
1:Del:T:5	2.64E-04	1.89E-07	1.61E-04	5.32E-03	4.35E-04	1.26E-03	1.91E-03	3.22E-03	3.40E-03	3.03E-03
1:Ins:C:0	1.10E-03	2.65E-04	1.11E-03	6.06E-08	9.04E-04	2.73E-03	4.08E-03	1.95E-03	7.18E-03	2.86E-03
1:Ins:C:1	4.46E-04	6.05E-04	9.36E-04	2.14E-03	2.25E-03	2.05E-03	2.21E-03	2.11E-03	5.34E-03	4.02E-03
1:Ins:C:2	5.03E-05	1.12E-03	1.72E-03	1.55E-03	2.43E-03	3.06E-03	3.52E-03	5.15E-07	5.52E-03	3.31E-03
1:Ins:C:3	4.58E-09	7.19E-04	1.43E-03	1.46E-04	2.47E-03	2.00E-03	4.04E-03	2.36E-03	3.13E-03	2.65E-03
1:Ins:C:4	2.35E-04	6.67E-04	1.08E-03	2.88E-03	3.35E-03	1.39E-03	1.94E-03	1.07E-03	3.21E-03	1.87E-03
1:Ins:C:5	4.55E-05	7.29E-04	4.07E-03	5.96E-03	6.18E-03	4.38E-03	5.54E-03	9.81E-04	6.71E-03	6.84E-03
1:Ins:T:0	1.99E-03	1.16E-03	3.16E-03	1.10E-03	5.39E-03	7.06E-03	6.00E-03	3.37E-03	2.04E-02	1.62E-03
1:Ins:T:1	8.66E-04	3.56E-03	9.66E-03	7.97E-04	2.60E-02	1.01E-02	9.92E-03	1.40E-03	4.15E-03	5.50E-03
1:Ins:T:2	3.95E-04	3.50E-03	4.24E-03	1.43E-03	1.12E-02	1.16E-02	1.15E-02	4.82E-03	1.04E-02	6.02E-03
1:Ins:T:3	2.68E-04	9.67E-04	1.07E-03	2.01E-03	4.01E-03	1.93E-03	3.57E-03	7.67E-07	2.74E-03	3.70E-03
1:Ins:T:4	7.05E-05	3.09E-04	1.09E-03	1.62E-03	2.30E-03	1.79E-03	2.12E-03	1.80E-03	1.98E-03	2.87E-03
1:Ins:T:5	9.12E-09	1.74E-04	2.08E-03	7.30E-03	3.61E-03	4.19E-03	5.01E-03	5.48E-04	5.14E-03	6.57E-03
2:Del:R:0	3.97E-04	2.77E-04	7.13E-04	3.76E-03	6.48E-03	3.38E-03	6.12E-03	4.10E-03	9.19E-03	4.57E-03
2:Del:R:1	7.62E-09	6.43E-04	1.19E-03	1.61E-03	1.90E-03	9.90E-04	2.22E-03	1.62E-03	2.34E-03	3.46E-03
2:Del:R:2	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
2:Del:R:3	1.28E-08	2.11E-07	2.33E-07	4.48E-04	3.81E-07	3.85E-05	3.71E-05	3.63E-07	9.95E-05	3.85E-07
2:Del:R:4	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
2:Del:R:5	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
3:Del:R:0	4.03E-08	3.21E-04	2.41E-03	2.75E-03	3.14E-03	4.64E-03	4.42E-03	2.54E-03	4.09E-03	4.16E-03
3:Del:R:1	1.06E-08	1.63E-04	3.69E-04	3.00E-04	4.99E-04	5.16E-04	2.38E-04	2.16E-04	5.75E-04	6.20E-04
3:Del:R:2	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
3:Del:R:3	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
3:Del:R:4	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
3:Del:R:5	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
4:Del:R:0	3.50E-04	1.75E-07	1.27E-03	1.98E-03	2.41E-03	2.25E-03	2.66E-03	2.90E-03	7.77E-03	4.65E-03
4:Del:R:1	1.30E-08	1.67E-04	1.05E-04	1.73E-04	4.40E-04	8.60E-04	4.39E-04	7.07E-04	4.95E-04	8.73E-04
4:Del:R:2	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
4:Del:R:3	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
4:Del:R:4	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
4:Del:R:5	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
5:Del:R:0	1.03E-03	1.14E-03	1.42E-03	1.49E-03	1.35E-03	4.13E-03	5.53E-07	1.78E-02	3.40E-03	3.26E-03
5:Del:R:1	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
5:Del:R:2	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
5:Del:R:3	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
5:Del:R:4	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
5:Del:R:5	1.81E-08	1.46E-07	2.24E-07	1.32E-07	3.77E-07	3.54E-07	3.64E-07	3.10E-07	4.87E-07	3.85E-07
2:Ins:R:0	1.22E-03	7.01E-04	1.26E-03	9.58E-08	5.20E-03	3.14E-03	3.59E-03	2.07E-03	1.38E-02	2.36E-03
2:Ins:R:1	1.88E-04	3.14E-04	6.04E-04	5.52E-04	1.96E-03	6.02E-04	1.07E-03	7.81E-04	1.70E-03	1.65E-03
2:Ins:R:2	1.72E-08	3.10E-07	1.02E-04	1.64E-04	1.10E-04	3.99E-04	5.70E-04	8.27E-05	5.79E-04	3.51E-04
