Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA_05_4402_01A	2.64E+00	1.69E+00	4.78E-01	2.90E-01	2.18E+00	1.55E-01
TCGA_05_5715_01A	2.41E+00	9.44E-01	1.45E+00	6.47E-01	2.27E+00	8.23E-02
TCGA_38_4628_01A	9.30E-01	4.35E+00	1.84E+00	3.39E+00	3.73E+00	7.82E-01
TCGA_38_6178_01A	3.91E-01	1.46E+00	1.70E+00	1.84E+00	1.66E+00	5.87E-01
TCGA_44_2661_01A	3.07E-01	1.34E+00	1.24E+00	1.45E+00	4.31E-01	1.06E+00
TCGA_44_2665_01A	7.26E-01	1.06E+00	8.28E-01	9.17E-01	1.06E+00	1.19E+00
TCGA_44_3919_01A	7.35E-01	1.22E+00	9.94E-01	1.09E+00	1.25E+00	4.19E-01
TCGA_49_4501_01A	3.29E-01	1.08E+00	2.29E+00	1.20E+00	2.04E+00	6.49E-01
TCGA_49_4512_01A	6.84E-01	1.20E+00	1.26E+00	7.28E-01	9.23E-01	5.55E-01
TCGA_49_AAQV_01A	1.23E+00	1.62E+00	8.51E-01	6.17E-01	1.50E+00	2.11E-01
TCGA_50_6591_01A	6.52E-01	1.34E+00	1.45E+00	1.32E+00	1.26E+00	8.27E-01
TCGA_55_6986_01A	2.60E-01	9.24E-01	7.22E-01	5.82E-01	7.92E-01	5.36E-01
TCGA_55_7816_01A	0.00E+00	7.64E-02	9.27E-02	3.94E-02	9.09E-02	6.13E-02
TCGA_55_8087_01A	4.96E-01	9.40E-01	1.08E+00	5.30E-01	8.57E-01	1.68E-01
TCGA_55_8619_01A	1.61E-01	5.56E-01	9.32E-01	2.87E-01	7.70E-01	0.00E+00
TCGA_62_8394_01A	1.90E+00	6.04E+00	2.97E+00	3.63E+00	3.65E+00	1.84E+00
TCGA_62_8397_01A	1.14E-01	6.30E-01	9.95E-01	6.42E-01	8.37E-01	4.58E-01
TCGA_62_8402_01A	4.45E-01	2.01E+00	2.30E+00	6.97E-01	2.00E+00	5.70E-01
TCGA_62_A46U_01A	5.15E-01	1.28E+00	1.68E+00	1.49E+00	1.34E+00	6.58E-01
TCGA_62_A46Y_01A	2.24E-01	9.90E-01	1.14E+00	9.87E-01	7.38E-01	1.13E+00
TCGA_67_6215_01A	1.55E+00	5.00E-02	1.80E-01	0.00E+00	0.00E+00	1.67E+00
TCGA_67_6216_01A	5.35E-01	8.29E-01	8.75E-01	5.57E-01	9.38E-01	1.36E-01
TCGA_71_8520_01A	9.16E-01	2.32E+00	2.93E+00	2.27E+00	2.50E+00	7.05E-01
TCGA_78_7540_01A	8.08E-02	9.11E-01	1.16E+00	8.23E-01	5.46E-01	3.99E-01
TCGA_86_7953_01A	3.41E-01	2.06E+00	1.29E+00	1.38E+00	1.95E+00	2.24E-01
TCGA_86_8075_01A	3.34E-01	1.86E+00	1.52E+00	8.81E-01	9.67E-01	6.81E-01
TCGA_86_8278_01A	1.81E+00	2.59E-01	5.67E-01	0.00E+00	1.70E+00	4.37E-01
TCGA_86_8280_01A	1.85E-01	6.46E-01	1.69E+00	6.85E-01	1.80E+00	1.53E-01
TCGA_86_8668_01A	2.74E-01	1.51E+00	1.42E+00	3.63E-01	1.18E+00	8.64E-01
TCGA_86_8671_01A	3.53E-01	9.28E-01	1.18E+00	4.74E-01	1.18E+00	4.98E-01
TCGA_86_A4P7_01A	1.09E+00	1.64E+00	1.32E+00	9.90E-01	1.21E+00	1.83E-01
TCGA_91_8496_01A	4.36E-01	1.37E+00	1.19E+00	1.04E+00	9.62E-01	5.96E-01
TCGA_97_8177_01A	5.82E-01	1.13E+00	1.14E+00	7.88E-01	1.36E+00	8.27E-01
TCGA_97_8552_01A	5.00E-01	1.02E+00	1.39E+00	8.57E-01	1.94E+00	5.40E-01
TCGA_97_A4M6_01A	2.92E-01	1.05E+00	1.21E+00	1.23E+00	1.36E+00	7.10E-01
TCGA_99_8033_01A	3.77E-01	2.35E+00	2.11E+00	3.61E+00	1.23E+00	1.43E+00
TCGA_J2_8192_01A	5.60E-01	2.02E+00	2.57E+00	1.76E+00	2.04E+00	6.01E-01
