Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA_05_4402_01A	4.24E+00	2.63E-01	5.59E-01	2.59E+00	8.17E-01	3.83E+00	8.06E-01	0.00E+00
TCGA_05_5715_01A	1.95E+00	1.19E+00	4.43E-01	1.43E+00	1.24E+00	8.55E-01	5.44E-01	0.00E+00
TCGA_38_4628_01A	7.11E-01	1.83E+00	3.29E+00	4.29E+00	2.18E+00	5.11E+00	3.25E+00	4.80E-01
TCGA_38_6178_01A	3.70E-01	1.76E+00	1.88E+00	1.18E+00	1.39E+00	1.70E+00	1.17E+00	0.00E+00
TCGA_44_2661_01A	2.25E-01	1.01E+00	1.40E+00	8.73E-01	1.34E+00	1.14E+00	4.35E-01	7.38E-01
TCGA_44_2665_01A	7.52E-01	8.06E-01	5.97E-01	1.26E+00	6.81E-01	1.40E+00	8.67E-01	1.05E+00
TCGA_44_3919_01A	7.77E-01	9.69E-01	9.49E-01	9.38E-01	7.65E-01	1.33E+00	1.05E+00	1.58E-01
TCGA_49_4501_01A	2.90E-01	2.46E+00	6.44E-01	6.81E-01	1.98E+00	1.47E+00	1.68E+00	2.45E-01
TCGA_49_4512_01A	7.37E-01	1.15E+00	3.84E-01	9.79E-01	1.34E+00	7.00E-01	3.58E-01	2.76E-01
TCGA_49_AAQV_01A	1.42E+00	8.95E-01	4.36E-01	1.89E+00	6.26E-01	1.45E+00	1.43E+00	6.31E-02
TCGA_50_6591_01A	5.52E-01	1.48E+00	1.23E+00	7.27E-01	1.44E+00	1.32E+00	1.26E+00	7.37E-01
TCGA_55_6986_01A	1.11E-01	5.05E-01	4.50E-01	7.24E-01	8.52E-01	7.65E-01	5.09E-01	4.68E-01
TCGA_55_7816_01A	0.00E+00	6.13E-02	3.94E-02	5.26E-02	9.69E-02	4.72E-02	7.06E-02	3.94E-02
TCGA_55_8087_01A	4.83E-01	9.76E-01	3.43E-01	7.12E-01	1.00E+00	7.32E-01	6.52E-01	6.30E-02
TCGA_55_8619_01A	1.47E-01	9.65E-01	2.81E-01	4.46E-01	9.02E-01	2.78E-01	6.63E-01	0.00E+00
TCGA_62_8394_01A	1.90E+00	2.11E+00	3.01E+00	6.05E+00	1.13E+00	1.35E+00	2.18E+00	1.71E+00
TCGA_62_8397_01A	8.52E-02	1.05E+00	5.27E-01	5.10E-01	7.88E-01	7.91E-01	9.03E-01	3.07E-01
TCGA_62_8402_01A	3.20E-01	1.87E+00	9.10E-01	1.62E+00	2.21E+00	1.38E+00	1.95E+00	1.89E-01
TCGA_62_A46U_01A	4.85E-01	1.66E+00	1.19E+00	9.88E-01	1.29E+00	1.12E+00	1.58E+00	5.28E-01
TCGA_62_A46Y_01A	1.29E-01	7.95E-01	7.56E-01	6.14E-01	1.35E+00	7.12E-01	7.61E-01	1.17E+00
TCGA_67_6215_01A	0.00E+00	0.00E+00	3.90E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.90E-01
TCGA_67_6216_01A	5.58E-01	6.73E-01	3.91E-01	6.74E-01	7.24E-01	9.16E-01	8.98E-01	2.01E-01
TCGA_71_8520_01A	8.60E-01	3.62E+00	1.60E+00	1.69E+00	1.90E+00	2.89E+00	2.39E+00	3.82E-01
TCGA_78_7540_01A	6.40E-02	1.30E+00	5.34E-01	3.58E-01	1.31E+00	6.37E-01	4.74E-01	0.00E+00
TCGA_86_7953_01A	2.47E-01	1.07E+00	1.22E+00	1.67E+00	9.00E-01	2.15E+00	1.55E+00	3.74E-01
TCGA_86_8075_01A	2.49E-01	9.78E-01	3.75E-01	1.63E+00	1.89E+00	1.07E+00	7.46E-01	2.25E-01
TCGA_86_8278_01A	2.01E+00	4.04E-01	0.00E+00	1.33E+00	5.06E-01	1.40E+00	9.00E-02	1.91E-01
TCGA_86_8280_01A	1.33E-01	1.46E+00	7.12E-01	5.92E-01	9.17E-01	1.12E+00	1.85E+00	0.00E+00
TCGA_86_8668_01A	2.97E-01	1.20E+00	2.44E-01	7.72E-01	1.59E+00	1.07E+00	7.49E-01	4.07E-01
TCGA_86_8671_01A	2.27E-01	1.27E+00	1.94E-01	7.63E-01	7.43E-01	8.97E-01	1.14E+00	2.51E-01
TCGA_86_A4P7_01A	1.04E+00	8.65E-01	7.92E-01	1.52E+00	1.29E+00	1.30E+00	1.12E+00	6.00E-02
TCGA_91_8496_01A	1.93E-01	1.23E+00	6.40E-01	7.67E-01	1.39E+00	1.03E+00	6.43E-01	3.06E-01
TCGA_97_8177_01A	4.94E-01	8.22E-01	4.54E-01	1.22E+00	9.35E-01	1.01E+00	1.32E+00	6.16E-01
TCGA_97_8552_01A	3.68E-01	1.17E+00	8.43E-01	4.95E-01	9.37E-01	9.89E-01	1.94E+00	3.63E-01
TCGA_97_A4M6_01A	2.41E-01	1.07E+00	8.72E-01	7.34E-01	1.07E+00	1.16E+00	1.33E+00	4.22E-01
TCGA_99_8033_01A	3.55E-01	9.80E-01	3.48E+00	1.71E+00	1.13E+00	1.79E+00	8.06E-01	1.68E+00
TCGA_J2_8192_01A	3.28E-01	2.79E+00	1.15E+00	1.20E+00	2.35E+00	2.11E+00	1.53E+00	0.00E+00
