Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA_05_4402_01A	114	0	11	0	0	0	7	0
TCGA_05_5715_01A	94	35	0	0	0	0	0	0
TCGA_38_4628_01A	0	0	20	26	0	91	0	1
TCGA_38_6178_01A	4	16	29	1	11	0	0	0
TCGA_44_2661_01A	3	0	22	0	10	1	0	9
TCGA_44_2665_01A	8	0	0	0	0	28	0	4
TCGA_44_3919_01A	15	0	15	0	0	0	18	0
TCGA_49_4501_01A	4	56	0	0	0	0	1	0
TCGA_49_4512_01A	10	0	0	0	31	0	0	4
TCGA_49_AAQV_01A	22	0	0	31	0	0	16	0
TCGA_50_6591_01A	3	0	16	0	26	0	4	8
TCGA_55_6986_01A	0	0	0	8	5	10	0	2
TCGA_55_7816_01A	0	0	0	0	2	0	0	0
TCGA_55_8087_01A	4	27	0	0	0	1	0	0
TCGA_55_8619_01A	0	10	0	0	15	0	0	0
TCGA_62_8394_01A	10	0	0	144	0	0	0	7
TCGA_62_8397_01A	0	26	2	0	0	0	1	1
TCGA_62_8402_01A	0	0	0	16	27	0	23	1
TCGA_62_A46U_01A	5	32	0	0	0	0	14	1
TCGA_62_A46Y_01A	0	0	5	0	27	0	0	7
TCGA_67_6215_01A	0	0	0	0	0	0	0	119
TCGA_67_6216_01A	9	0	0	0	4	12	9	0
TCGA_71_8520_01A	12	64	8	0	0	9	0	2
TCGA_78_7540_01A	0	29	0	0	4	0	0	0
TCGA_86_7953_01A	0	0	0	1	0	45	9	0
TCGA_86_8075_01A	0	0	0	18	30	0	0	0
TCGA_86_8278_01A	119	0	0	0	0	0	0	4
TCGA_86_8280_01A	0	0	0	0	0	0	49	0
TCGA_86_8668_01A	4	0	0	0	37	0	0	0
TCGA_86_8671_01A	0	17	0	1	0	12	6	0
TCGA_86_A4P7_01A	20	0	0	24	12	13	0	0
TCGA_91_8496_01A	0	0	0	9	29	0	0	0
TCGA_97_8177_01A	5	2	0	4	0	0	29	2
TCGA_97_8552_01A	0	0	0	0	0	0	51	0
TCGA_97_A4M6_01A	0	1	7	4	3	11	10	2
TCGA_99_8033_01A	0	0	190	0	0	0	0	0
TCGA_J2_8192_01A	0	43	10	0	6	20	0	0
