MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
1:Del:C:1	0.008918152802171803	0.055002586265718495	0.007196816529007944	0.010372810286042186	0.3967274290098953	0.025979554765474325
1:Del:C:2	0.0008035727104419256	0.007855844748114248	0.08300039990064331	0.06904516614770674	0.04437498086952549	0.04174924401344977
1:Del:C:3	0.0001663005388845562	0.009349021233693975	0.03340411613042881	0.02988916621120552	0.011221006234821593	0.030364064076965448
1:Del:C:4	8.394685515378697e-05	0.004286174769831632	0.0018480999971779966	0.006120585345324798	0.012712546620127085	0.02303197072124078
1:Del:C:5	8.413556762121744e-05	0.0032170188811346634	0.0018851721191185788	0.0036262376564081935	0.008274573125139994	0.020395832638251933
1:Del:T:0	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
1:Del:T:1	0.021202482560167938	0.011537343521787827	0.0825495030699137	0.06199236359126457	0.020878600104792363	0.05646694866701733
1:Del:T:2	1.0028078239820992e-06	0.0029722640198156115	0.02408266261852077	0.02358914297808326	0.014126589353739121	0.010843023986583376
1:Del:T:3	0.00010760657179798018	0.014464363074669109	0.05226431728474836	0.028929907684155865	0.02457321002853998	0.015905640351646894
1:Del:T:4	0.0013073250506880996	0.0022423314277557438	0.03275235010750748	0.009134234128688093	0.009842864814385167	0.024889752321976745
1:Del:T:5	1.7540381806213646e-06	0.001973933963295167	0.01326136002567182	0.009987227289448697	0.005828715043039665	0.007460678560928997
1:Ins:C:0	0.017596595751936093	2.084418731101323e-05	2.373020985032781e-05	2.039098191744415e-05	0.0002165850211815723	0.0016818805694174444
1:Ins:C:1	0.008243431322845201	0.035022326193433886	0.07702985730154012	0.02733352139213988	0.01187167484274279	0.04765198200460989
1:Ins:C:2	0.00990847748504649	0.0025444027024776263	0.011331530143945657	0.011162029490601527	0.003753675172556541	0.004321777738847459
1:Ins:C:3	1.984420405745091e-06	0.001875106352185867	0.008831713664653762	0.014873700967392552	0.0036538002340580533	0.005010741347489329
