MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	6.22E-07	5.93E-07	1.05E-06	5.71E-07	9.13E-07	1.01E-06	5.99E-07	8.90E-07	9.56E-07
1:Del:C:1	1.02E-03	7.16E-03	5.98E-03	2.13E-02	3.59E-03	6.66E-03	7.11E-03	6.23E-03	2.46E-03
1:Del:C:2	6.77E-04	7.50E-07	1.21E-03	2.85E-03	4.06E-03	5.75E-03	5.83E-03	7.35E-03	2.05E-02
1:Del:C:3	1.24E-06	2.31E-03	1.48E-03	1.38E-03	7.96E-03	1.36E-02	5.64E-03	6.35E-03	5.69E-03
1:Del:C:4	4.79E-07	8.51E-07	6.59E-03	2.78E-03	1.63E-03	3.81E-03	4.17E-04	6.09E-03	2.45E-03
1:Del:C:5	5.10E-07	3.23E-04	5.60E-03	3.91E-03	1.28E-03	2.19E-03	8.70E-07	3.24E-03	1.48E-03
1:Del:T:0	6.22E-07	5.93E-07	1.05E-06	5.71E-07	9.13E-07	1.01E-06	5.99E-07	8.90E-07	9.56E-07
1:Del:T:1	1.83E-03	1.73E-03	5.00E-03	4.43E-03	2.75E-02	7.39E-03	1.11E-02	6.84E-03	6.49E-03
1:Del:T:2	3.06E-07	5.34E-04	1.67E-03	3.08E-03	3.63E-03	7.38E-03	4.62E-03	2.97E-03	4.11E-03
1:Del:T:3	1.40E-03	3.05E-03	4.89E-03	4.52E-03	1.35E-02	3.31E-03	6.79E-03	7.62E-03	6.68E-03
1:Del:T:4	5.05E-07	1.85E-03	2.95E-03	2.59E-03	8.91E-03	8.34E-03	3.57E-03	6.65E-03	2.67E-03
1:Del:T:5	4.82E-07	3.89E-04	9.88E-07	9.67E-04	2.55E-03	4.61E-03	1.56E-03	1.43E-03	4.09E-03
1:Ins:C:0	1.54E-03	5.78E-07	1.62E-03	5.41E-07	9.80E-04	4.73E-04	6.85E-07	9.92E-07	8.66E-04
1:Ins:C:1	8.53E-04	4.95E-03	6.71E-03	4.26E-03	2.14E-02	9.69E-03	7.56E-03	9.66E-03	5.38E-03
1:Ins:C:2	9.97E-04	5.48E-04	9.91E-04	1.65E-03	2.09E-03	4.79E-03	2.06E-03	1.28E-03	3.76E-03
1:Ins:C:3	6.67E-07	9.06E-04	1.09E-03	2.40E-03	2.95E-03	3.99E-03	2.21E-03	1.40E-03	4.14E-03
1:Ins:C:4	1.36E-04	3.89E-03	2.49E-03	1.02E-02	4.37E-03	8.78E-03	2.81E-03	3.76E-03	6.89E-03
1:Ins:C:5	5.25E-07	7.60E-07	7.14E-04	2.11E-03	2.79E-03	7.02E-03	6.85E-04	8.81E-04	4.42E-03
1:Ins:T:0	2.85E-03	4.41E-03	1.91E-02	6.71E-03	6.03E-03	6.30E-03	3.13E-03	8.14E-03	4.32E-03
1:Ins:T:1	7.19E-04	3.28E-03	1.09E-02	1.10E-02	8.54E-03	7.04E-03	1.23E-02	2.66E-02	1.89E-02
1:Ins:T:2	3.45E-07	2.18E-03	2.83E-03	5.73E-03	2.34E-03	8.35E-03	5.44E-03	3.80E-03	7.24E-03
1:Ins:T:3	6.22E-07	5.93E-07	1.05E-06	5.71E-07	9.13E-07	1.01E-06	5.99E-07	8.90E-07	9.56E-07
1:Ins:T:4	7.55E-04	1.58E-03	1.36E-03	6.91E-07	2.20E-03	4.99E-03	3.44E-03	2.19E-03	1.83E-03
1:Ins:T:5	9.33E-04	7.30E-03	7.68E-03	5.23E-03	8.28E-03	2.12E-03	4.99E-03	2.34E-02	8.53E-03
2:Del:R:0	7.28E-04	2.20E-03	4.68E-03	2.78E-03	5.98E-03	5.94E-03	8.80E-07	1.12E-02	4.47E-03
2:Del:R:1	6.22E-07	5.93E-07	1.05E-06	5.71E-07	9.13E-07	1.01E-06	5.99E-07	8.90E-07	9.56E-07
2:Del:R:2	6.22E-07	5.93E-07	1.05E-06	5.71E-07	9.13E-07	1.01E-06	5.99E-07	8.90E-07	9.56E-07
2:Del:R:3	6.22E-07	5.93E-07	1.05E-06	5.71E-07	9.13E-07	1.01E-06	5.99E-07	8.90E-07	9.56E-07
2:Del:R:4	6.22E-07	5.93E-07	1.05E-06	5.71E-07	9.13E-07	1.01E-06	5.99E-07	8.90E-07	9.56E-07
